Begünstigte,Bezeichnung des Vorhabens,öffentliche Beteiligung(EU+nationale Kofinanzierung),Status - G genehmigt - A ausbezahlt
"""Altesse"" Zigarettenhüllenerzeugung und Papierverarbeitung Gesellschaft
m.b.H.",Unternehmensinvestition mit Innovationsbezug,"580.501,39",A
"""Altesse"" Zigarettenhüllenerzeugung und Papierverarbeitung GmbH",Unternehmensinvestition mit Innovationsbezug,"596.960,00",A
"""CONLOG"" Consulting & Logistik GmbH",Innovationsdienstleistung für Unternehmen,"21.120,00",A
"""Komex"" - Abfallentsorgungsgesellschaft m.b.H.",Innovationsdienstleistung für Unternehmen,"16.800,00",A
"""lnterforst"" Österreich Handelsgesellschaft mbH",Innovationsdienstleistung für Unternehmen,"17.500,00",A
"""sms.at"" mobile internet services GmbH",Innovationsdienstleistung für Unternehmen,"28.200,00",A
"""the cell project"" Mobil Marketing GmbH",Innovationsdienstleistung für Unternehmen,"52.000,00",A
2be1 Consulting KG,Innovationsdienstleistung für Unternehmen,"2.996,00",A
3S Schnecken+Spindeln+Spiralen Bearbeitungs GmbH,Unternehmensinvestition mit Forschungs-/Technologiebezug,"297.816,96",A
4a engineering GmbH,ESF cross-financing,"642,00",A
4a engineering GmbH,ESF cross-financing,"768,00",A
4a manufacturing GmbH; 4a engineering GmbH; 4a technology GmbH,Unternehmensinvestition mit Forschungs-/Technologiebezug,"55.964,08",A
4a medicom GmbH,Betriebliches Forschungs- und Entwicklungsprojekt,"529.196,00",A
4a medicom GmbH,Betriebliches Forschungs- und Entwicklungsprojekt,"636.870,00",A
4a medicom GmbH,Innovationsdienstleistung für Unternehmen,"87.750,00",A
4a medicom GmbH,ESF cross-financing,"3.318,60",A
4a medicom GmbH,Innovationsdienstleistung für Unternehmen,"22.080,00",A
4activeSystems GmbH,Betriebliches Forschungs- und Entwicklungsprojekt,"112.489,00",A
4activeSystems GmbH,Betriebliches Forschungs- und Entwicklungsprojekt,"125.874,00",G
7iD Technologies GmbH,Innovationsdienstleistung für Unternehmen,"6.930,00",A
7TEC Medical Technologies GmbH,Innovationsdienstleistung für Unternehmen,"59.561,00",A
A & L Beschaffungsmanagement GmbH,Innovationsdienstleistung für Unternehmen,"1.200,00",A
"A.M.P Consulting GmbH; ROTO FRANK AUSTRIA GmbH; pewag
Schneeketten GmbH & Co KG",ESF cross-financing,"21.562,50",A
A.Plank-Bachselten Ziviltechniker GmbH,Innovationsdienstleistung für Unternehmen,"2.692,62",A
A400 Montagepersonal GmbH,Innovationsdienstleistung für Unternehmen,"4.254,06",A
Abwasserverband Leibnitzerfeld-Süd,Maßnahme / Projekt zur Mobilisierung der regionalen Poteniale,"33.300,00",A
AC styria Autocluster GmbH,Projekt im Bereich Technologietransfer / KMU-Kooperation,"351.236,95",A
ACC Austria GmbH,Innovationsdienstleistung für Unternehmen,"17.550,00",A
ACC Austria GmbH,ESF cross-financing,"40.152,28",A
ACC Austria GmbH,ESF cross-financing,"26.661,68",A
ACC Austria GmbH,ESF cross-financing,"18.031,92",A
ACC Austria GmbH,ESF cross-financing,"6.355,08",A
ACC Austria GmbH,Innovationsdienstleistung für Unternehmen,"3.008,24",A
ACC Austria GmbH,Innovationsdienstleistung für Unternehmen,"519,77",A
"Accu Power Forschungs-, Entwicklungs- und Vertriebsgesellschaft mbH",Innovationsdienstleistung für Unternehmen,"7.200,00",A
ace Apparatebau construction & engineering GmbH,Innovationsdienstleistung für Unternehmen,"3.600,00",A
ACstyria Autocluster GmbH,Projekt im Bereich Technologietransfer / KMU-Kooperation,"170.114,36",A
ACstyria Autocluster GmbH,Projekt im Bereich Technologietransfer / KMU-Kooperation,"133.721,50",A
ACstyria Autocluster GmbH,Projekt im Bereich Technologietransfer / KMU-Kooperation,"108.848,16",A
ACstyria Autocluster GmbH,Projekt im Bereich Technologietransfer / KMU-Kooperation,"29.992,50",A
ACstyria Autocluster GmbH,Projekt im Bereich Technologietransfer / KMU-Kooperation,"661.829,04",A
ACstyria Autocluster GmbH,Projekt im Bereich Technologietransfer / KMU-Kooperation,"542.115,34",A
ACstyria Autocluster GmbH,Projekt im Bereich Technologietransfer / KMU-Kooperation,"455.306,08",A
Acstyria Autocluster GmbH,Projekt im Bereich Technologietransfer / KMU-Kooperation,"256.810,60",A
activeIT Software & Consulting GmbH,ESF cross-financing,"14.394,00",A
activeIT Software & Consulting GmbH,Innovationsdienstleistung für Unternehmen,"8.400,00",A
ACTUAL Holz-Alu Fenster GmbH,Unternehmensinvestition mit Forschungs-/Technologiebezug,"399.812,76",A
ADA Möbelfabrik GmbH,Unternehmensinvestition mit Forschungs-/Technologiebezug,"116.970,55",A
ADA Möbelfabrik GmbH,Innovationsdienstleistung für Unternehmen,"17.062,50",A
ADA Möbelfabrik GmbH,Innovationsdienstleistung für Unternehmen,"9.600,00",A
"ADFM Unternehmensberatung und Forschungsgesellschaft für
Umweltfragen mbH",ESF cross-financing,"2.574,00",A
Adolf Heuberger Eloxieranstalt GmbH,Innovationsdienstleistung für Unternehmen,"21.420,00",A
Adolf Heuberger Eloxieranstalt GmbH,ESF cross-financing,"17.280,00",A
Adolf Heuberger Eloxieranstalt GmbH,Innovationsdienstleistung für Unternehmen,"15.000,00",A
Agentur Weber & Binder OG,ESF cross-financing,"11.250,00",A
Agentur Weber & Binder OG,Innovationsdienstleistung für Unternehmen,"1.575,00",A
AGLYCON DR. SPREITZ KG,ESF cross-financing,"5.280,00",A
AGNOSYS GmbH,Innovationsdienstleistung für Unternehmen,"6.930,00",A
AGNOSYS GmbH,Innovationsdienstleistung für Unternehmen,"1.890,00",A
Agro Power Düngemittel GmbH + C & M Handels GmbH,Unternehmensinvestition in umweltfreundliche Produkte/Verfahren,"494.503,37",A
AHT Cooling Systems GmbH,Innovationsdienstleistung für Unternehmen,"5.325,00",A
AHT Cooling Systems GmbH,Innovationsdienstleistung für Unternehmen,"24.000,00",A
AHT Cooling Systems GmbH,Unternehmensinvestition mit Innovationsbezug,"707.550,00",A
AIT Austrian Institute of Technology GmbH,Innovationsdienstleistung für Unternehmen,"8.900,00",A
activeIT Software & Consulting GmbH,ESF cross-financing,"14.394,00",A
activeIT Software & Consulting GmbH,Innovationsdienstleistung für Unternehmen,"8.400,00",A
ACTUAL Holz-Alu Fenster GmbH,Unternehmensinvestition mit Forschungs-/Technologiebezug,"399.812,76",A
ADA Möbelfabrik GmbH,Unternehmensinvestition mit Forschungs-/Technologiebezug,"116.970,55",A
ADA Möbelfabrik GmbH,Innovationsdienstleistung für Unternehmen,"17.062,50",A
ADA Möbelfabrik GmbH,Innovationsdienstleistung für Unternehmen,"9.600,00",A
"ADFM Unternehmensberatung und Forschungsgesellschaft für
Umweltfragen mbH",ESF cross-financing,"2.574,00",A
Adolf Heuberger Eloxieranstalt GmbH,Innovationsdienstleistung für Unternehmen,"21.420,00",A
Adolf Heuberger Eloxieranstalt GmbH,ESF cross-financing,"17.280,00",A
Adolf Heuberger Eloxieranstalt GmbH,Innovationsdienstleistung für Unternehmen,"15.000,00",A
Agentur Weber & Binder OG,ESF cross-financing,"11.250,00",A
Agentur Weber & Binder OG,Innovationsdienstleistung für Unternehmen,"1.575,00",A
AGLYCON DR. SPREITZ KG,ESF cross-financing,"5.280,00",A
AGNOSYS GmbH,Innovationsdienstleistung für Unternehmen,"6.930,00",A
AGNOSYS GmbH,Innovationsdienstleistung für Unternehmen,"1.890,00",A
Agro Power Düngemittel GmbH + C & M Handels GmbH,Unternehmensinvestition in umweltfreundliche Produkte/Verfahren,"494.503,37",A
AHT Cooling Systems GmbH,Innovationsdienstleistung für Unternehmen,"5.325,00",A
AHT Cooling Systems GmbH,Innovationsdienstleistung für Unternehmen,"24.000,00",A
AHT Cooling Systems GmbH,Unternehmensinvestition mit Innovationsbezug,"707.550,00",A
AIT Austrian Institute of Technology GmbH,Innovationsdienstleistung für Unternehmen,"8.900,00",A
"AIT Austrian Institute of Technology GmbH; Salomon Automation GmbH,
Ventrex Automotive GmbH, Brigl&Bergmeister GmbH, APUS Softw. GmbH,
DVF Dienstl- ,Verwaltungs- u. ForschungsgmbH, Siemens Transformers
Aus. GmbH & CO KG, WO&WO Sonnenlichtd.GmbH&C0 KG",ESF cross-financing,"80.729,54",A
AKG Plastics GmbH,Unternehmensinvestition mit Forschungs-/Technologiebezug,"92.547,54",A
"Albin Sorger ""zum Weinrebenbäcker""  GmbH & Co KG",Innovationsdienstleistung für Unternehmen,"20.124,84",A
"Albin Sorger ""zum Weinrebenbäcker""  GmbH & Co KG",Innovationsdienstleistung für Unternehmen,"30.420,00",A
"Albin Sorger ""zum Weinrebenbäcker"" GmbH & Co KG",Innovationsdienstleistung für Unternehmen,"5.937,76",A
"Albin Sorger ""zum Weinrebenbäcker"" GmbH & Co KG",Innovationsdienstleistung für Unternehmen,"18.000,00",A
Alexander Wohlmuth,Innovationsdienstleistung für Unternehmen,"2.647,76",A
Alexander Wohlmuth,Unternehmensinvestition mit Forschungs-/Technologiebezug,"5.120,00",A
Alfred Ebenwalder,Innovationsdienstleistung für Unternehmen,"1.000,00",A
Alfred Moser GmbH,Innovationsdienstleistung für Unternehmen,"6.750,00",A
Alfred Moser GmbH,Innovationsdienstleistung für Unternehmen,"9.000,00",A
Alicona Imaging GmbH,Betriebliches Forschungs- und Entwicklungsprojekt,"253.774,00",A
Allnex Austria GmbH,Innovationsdienstleistung für Unternehmen,"6.000,00",A
Allnex Austria GmbH,ESF cross-financing,"7.636,64",A
Allnex Austria GmbH,Innovationsdienstleistung für Unternehmen,"18.300,00",A
Almholz VertriebsgmbH.,Innovationsdienstleistung für Unternehmen,"73.196,04",A
Almholz VertriebsgmbH.,Unternehmensinvestition mit Innovationsbezug,"309.739,59",A
Alois Arch,ESF cross-financing,"7.500,00",A
Alois Arch,Innovationsdienstleistung für Unternehmen,"960,00",A
Alois Grabner K.G.,Innovationsdienstleistung für Unternehmen,"6.000,00",A
"Alpenländische Schilderfabrik Dipl. Ing. Peter-Heinz Gebell GmbH Nfg. & Co
KG",ESF cross-financing,"2.457,00",A
AKG Plastics GmbH,Unternehmensinvestition mit Forschungs-/Technologiebezug,"92.547,54",A
"Albin Sorger ""zum Weinrebenbäcker""  GmbH & Co KG",Innovationsdienstleistung für Unternehmen,"20.124,84",A
"Albin Sorger ""zum Weinrebenbäcker""  GmbH & Co KG",Innovationsdienstleistung für Unternehmen,"30.420,00",A
"Albin Sorger ""zum Weinrebenbäcker"" GmbH & Co KG",Innovationsdienstleistung für Unternehmen,"5.937,76",A
"Albin Sorger ""zum Weinrebenbäcker"" GmbH & Co KG",Innovationsdienstleistung für Unternehmen,"18.000,00",A
Alexander Wohlmuth,Innovationsdienstleistung für Unternehmen,"2.647,76",A
Alexander Wohlmuth,Unternehmensinvestition mit Forschungs-/Technologiebezug,"5.120,00",A
Alfred Ebenwalder,Innovationsdienstleistung für Unternehmen,"1.000,00",A
Alfred Moser GmbH,Innovationsdienstleistung für Unternehmen,"6.750,00",A
Alfred Moser GmbH,Innovationsdienstleistung für Unternehmen,"9.000,00",A
Alicona Imaging GmbH,Betriebliches Forschungs- und Entwicklungsprojekt,"253.774,00",A
Allnex Austria GmbH,Innovationsdienstleistung für Unternehmen,"6.000,00",A
Allnex Austria GmbH,ESF cross-financing,"7.636,64",A
Allnex Austria GmbH,Innovationsdienstleistung für Unternehmen,"18.300,00",A
Almholz VertriebsgmbH.,Innovationsdienstleistung für Unternehmen,"73.196,04",A
Almholz VertriebsgmbH.,Unternehmensinvestition mit Innovationsbezug,"309.739,59",A
Alois Arch,ESF cross-financing,"7.500,00",A
Alois Arch,Innovationsdienstleistung für Unternehmen,"960,00",A
Alois Grabner K.G.,Innovationsdienstleistung für Unternehmen,"6.000,00",A
"Alpenländische Schilderfabrik Dipl. Ing. Peter-Heinz Gebell GmbH Nfg. & Co
KG",ESF cross-financing,"2.457,00",A
"Alpenländische Schilderfabrik Dipl. Ing. Peter-Heinz Gebell GmbH Nfg. & Co
KG",Innovationsdienstleistung für Unternehmen,"4.500,00",A
"Alpenländische Schilderfabrik Dipl. Ing. Peter-Heinz Gebell GmbH Nfg. & Co
KG",Innovationsdienstleistung für Unternehmen,"1.881,26",A
ALPEN-MAYKESTAG GmbH,Unternehmensinvestition mit Innovationsbezug,"127.050,00",A
Alt & Walch KG,Innovationsdienstleistung für Unternehmen,"4.800,00",A
Amberhive Integrated Systems GmbH,Innovationsdienstleistung für Unternehmen,"4.200,00",A
AME - Allgemeine Maschinenentwicklungs-Gesellschaft m.b.H.,Innovationsdienstleistung für Unternehmen,"3.136,38",A
AME - Allgemeine Maschinenentwicklungs-Gesellschaft m.b.H.,Innovationsdienstleistung für Unternehmen,"7.644,92",A
"AMES Aerospace and Mechinaca Engineering Services Ing. Walter
Starzarcher GesmbH",Innovationsdienstleistung für Unternehmen,"18.063,14",A
ams AG,Projekt im Bereich Informations- und Kommunikationstechnologien,"310.026,00",A
ams AG,Projekt im Bereich Informations- und Kommunikationstechnologien,"166.728,00",A
ams AG,Betriebliches Forschungs- und Entwicklungsprojekt,"157.360,00",A
ams AG,Betriebliches Forschungs- und Entwicklungsprojekt,"616.519,00",A
ams AG,Betriebliches Forschungs- und Entwicklungsprojekt,"162.166,00",A
ams AG,Betriebliches Forschungs- und Entwicklungsprojekt,"370.250,00",A
ams AG,Betriebliches Forschungs- und Entwicklungsprojekt,"453.168,00",A
ams AG,Innovationsdienstleistung für Unternehmen,"16.374,16",A
ams AG,Innovationsdienstleistung für Unternehmen,"10.550,00",A
AMT Anlagen-Montagetechnik GmbH,Innovationsdienstleistung für Unternehmen,"6.872,69",A
