"Bezeichnung des Vorhabens/
operation name","Name des Begünstigten/
name of beneficiary","Zusammenfassung des Vorhabens/
operation summary","Datum des Beginns des Vorhabens/
operation start date","Datum des Endes des Vorhabens/
operation end date","Gesamtbetrag der förderfähigen Ausgaben des Vorhabens/
total eligible expenditure allocated to the operation*","Unions-Kofinanzierungssatz pro Prioritätsachse/
Union co-financing rate, as per priority axis**","Regionalcode des Vorhabens/
location indicator","Land/
country","Bezeichnung der Interventionskategorie für das Vorhaben/
name of category of intervention for the operation"
Ankauf einer Doppelbiegeanlage,TR Flachdachbau GmbH,"Das Projekt führt zu einer Erweiterung des bestehenden Produktportfolios, begünstigt das Vordringen in einen neuen Nischenmarkt und verbessert die Produktionsprozesse im Unternehmen.",27.06.2016,30.06.2017,"403514,06","18,13 %",60660 - Dobl-Zwaring,AUSTRIA,1 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
b2e - business2excellence,Tech2b Inkubator GmbH,"„b2e - business2excellence"" ist ein Unterstützungsprogramm für junge Hightech-Unternehmen. Ziel ist es, diese Unternehmen auf die zukünftigen Herausforderungen vorzubereiten und dadurch die Innovationskraft des Standorts OÖ zu heben. ",01.01.2015,31.03.2019,1050000,"18,13 %",40101 - Linz,AUSTRIA,"66 - Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse (einschließlich Dienstleistungen für Management, Marketing und Design)"
"BIOCARB-K, Biobasierte Carbonwerkstoffe und Keramiken",JKU Linz Zentrum für Oberflächen- und Nanoanalytik (JKU ZONA),"Es sollen innovative, zukunftsweisende Verfahren und Materialien zur Herstellung von Carbonfasern, porösen Kohlenstoffmaterialien und biobasierten Keramiken auf Basis von biogenen Rohstoffen wie Lignin und Cellulose entwickelt werden.",01.10.2015,31.12.2021,322030,"30,37 %",40101 - Linz,AUSTRIA,60 - Forschungs- und Innovationstätigkeiten in öffentlichen Forschungseinrichtungen und Kompetenzzentren einschließlich Vernetzung
"BIOCARB-K, Biobasierte Carbonwerkstoffe und Keramiken",Kompetenzzentrum Holz GmbH,"Es sollen innovative, zukunftsweisende Verfahren und Materialien zur Herstellung von Carbonfasern, porösen Kohlenstoffmaterialien und biobasierten Keramiken auf Basis von biogenen Rohstoffen wie Lignin und Cellulose entwickelt werden. ",01.10.2015,31.12.2021,3735010,"30,37 %",40101 - Linz,AUSTRIA,60 - Forschungs- und Innovationstätigkeiten in öffentlichen Forschungseinrichtungen und Kompetenzzentren einschließlich Vernetzung
BioRest - Herstellung von Biopolymeren aus biogenen Roh- und Reststoffen,"JKU Linz, Institut für Chemische Technologie Organischer Stoffe",Dieses Projekt baut als Grundlage auf den Konzepten für eine Technologieplattform aus dem Regio13 Projekt „Biopol“ auf. ,01.09.2015,31.03.2021,202500,"30,37 %",40101 - Linz,AUSTRIA,60 - Forschungs- und Innovationstätigkeiten in öffentlichen Forschungseinrichtungen und Kompetenzzentren einschließlich Vernetzung
BioRest - Herstellung von Biopolymeren aus biogenen Roh- und Reststoffen,Kompetenzzentrum Holz GmbH,Dieses Projekt baut als Grundlage auf den Konzepten für eine Technologieplattform aus dem Regio13 Projekt „Biopol“ auf. ,01.09.2015,31.03.2021,2009836,"30,37 %",40101 - Linz,AUSTRIA,60 - Forschungs- und Innovationstätigkeiten in öffentlichen Forschungseinrichtungen und Kompetenzzentren einschließlich Vernetzung
BioRest - Herstellung von Biopolymeren aus biogenen Roh- und Reststoffen,Energieinstitut JKU Linz,Dieses Projekt baut als Grundlage auf den Konzepten für eine Technologieplattform aus dem Regio13 Projekt „Biopol“ auf. ,01.09.2015,31.03.2021,208750,"30,37 %",40101 - Linz,AUSTRIA,58 - Forschungs- und Innovationsinfrastruktur (öffentlich)
CAFB - Combined Agro-Forest Biorefinery,FH OÖ Forschungs-und Entwicklungs GmbH,Ziel des Projekts ist die Entwicklung von Prozessen zur optimierten und effizienten Nutzung heimischer Rest- und Abfallstoffe aus der Papier und Zellstoffindustrie sowie der Landwirtschaft. ,01.09.2015,30.11.2020,750000,"30,37 %",40301 - Wels,AUSTRIA,60 - Forschungs- und Innovationstätigkeiten in öffentlichen Forschungseinrichtungen und Kompetenzzentren einschließlich Vernetzung
CAFB - Combined Agro-Forest Biorefinery,Kompetenzzentrum Holz GmbH,Ziel des Projekts ist die Entwicklung von Prozessen zur optimierten und effizienten Nutzung heimischer Rest- und Abfallstoffe aus der Papier und Zellstoffindustrie sowie der Landwirtschaft. ,01.09.2015,30.11.2020,749956,"30,37 %",40301 - Wels,AUSTRIA,60 - Forschungs- und Innovationstätigkeiten in öffentlichen Forschungseinrichtungen und Kompetenzzentren einschließlich Vernetzung
Chefansage.at / Employer Branding (de-minimis),"Regio-Tech Hochfilzen, Pillerseetal Regionalentwicklungs GmbH",Im Projekt chefansage.at/Employer Branding soll der diverse Arbeitsmarkt der Region regio3 zeitgemäß dargestellt werden. Es wird eine Plattform geschaffen und es werden Leitbetriebe bzw. deren Geschäftsführungen in Kurzsequenzen filmisch dargestellt.,15.12.2015,31.12.2017,120000,"49,36 %",70405 - Hochfilzen,AUSTRIA,97 - Von der örtlichen Bevölkerung betriebene Initiativen für lokale Entwicklung in städtischen und ländlichen Gebieten
Connected Vehicles,FH OÖ Forschungs- und Entwicklungs GmbH,"Connected Vehicles beleuchtet das Thema Straßenverkehr in den drei Themenbereichen effiziente Nutzung eines Straßennetzes, Kommunikationsstrecke Car-2-Car und Auswirkung von Security-Maßnahmen auf Safety-Anforderungen in Car-2-Car-Kommunikation. ",01.09.2015,30.09.2019,793900,"30,37 %",40604 - Hagenberg im Mühlkreis,AUSTRIA,60 - Forschungs- und Innovationstätigkeiten in öffentlichen Forschungseinrichtungen und Kompetenzzentren einschließlich Vernetzung
ECO²HEAT,Solarfocus GmbH,Experimentelle Entwicklung zu neuartigen Technologien für die thermische Nutzung pelletierter Biomasse-Brennstoffe von minderer Qualität und deren Einsatz für eine günstige Wärmebereitstellung. ,01.07.2016,31.12.2017,"349856,4","29,12 %",41514 - Sankt Ulrich bei Steyr,AUSTRIA,"65 - Forschungs- und Innovationsinfrastruktur, Prozesse, Technologietransfer und Zusammenarbeit in Unternehmen mit Schwerpunkt auf der CO 2 -armen Wirtschaft und der Verstärkung der Widerstandsfähigkeit gegenüber dem Klimawandel"
"EFREtop EE: Elektrisches Antriebssystem: E-Motor, Inverter (P2000)",MAGNA Powertrain GmbH & Co KG,"Langfristiges Ziel der EU ist es die Mobilität mit Zero Emission Kraftfahrzeugen zu realisieren. Im
eDrive Projekt wird ein effizienter und kosteneffektiver elektrischer Achsantrieb (E-Motor, Inverter,
Getriebe) für den globalen Einsatz entwickelt.",01.07.2016,30.06.2017,1339988,"30,37 %",30639 - Traiskirchen,AUSTRIA,2 - Forschungs- und Innovationsprozesse in großen Unternehmen
