"ProjektCode / 
code of operation",Name des Begünstigten / name of beneficiary,Bezeichnung des Vorhabens / operation name,Zusammenfassung des Vorhabens / operation summary,Datum des Beginns des Vorhabens / operation start date,Datum des Endes des Vorhabens/ operation end date,Gesamtbetrag der förderfähigen Ausgaben des Vorhabens / total eligible expenditure allocated to the operation,"Unions-Kofinanzierungssatz pro Prioritätsachse / Union co-financing rate, as per priority axis",Regionalcode des Vorhabens / location indicator,Land / country,Bezeichnung der Interventionskategorie für das Vorhaben / name of category of intervention for the operation
2CADAC_00089,Bundeshandelsakademie und Bundeshandelsschule Wolfsberg,"S-1.6 KOEL ""Kompetenzorientiertes eigenverantwortliches Lernen"" ",Verringerung und Verhütung des vorzeitigen Schulabbruchs und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarausbildung,05.09.2016,31.08.2017,65450,"50,00 %",213 - Unterkärnten (NUTS),AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2CADAC_00111,BHAK/BHAS Wien 13,"S-1.6 KOEL ""Kompetenzorientiertes eigenverantwortliches Lernen"" ",Verringerung der Zahl der SchulabbrecherInnen im Bereich des berufsbildenden Schulwesens in der 9. Schulstufe,05.09.2016,31.08.2017,38500,"50,00 %",131 - Wien (NUTS),AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2CAEAA_00233,CHANCE PLUS GEMEINNÜTZIGE GMBH,Jugendcoaching Mostviertel,"Junge Menschen im Ausbildungssystem zu halten bzw. die individuell passenden Angebote zu finden, um entweder eine Rückschleife ins Ausbildungssystem zu ziehen oder eine bestmögliche Integration in den Arbeitsmarkt zu erreichen",01.01.2016,31.12.2016,"980268,92","50,00 %",32327 - Sollenau,AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2BAABA_00045,ppc training Rath & Artner GmbH,BBE Deutsch 2015,Die BBE Deutsch bietet sozialpädagogische Beratung und Betreuung sowie Lernunterstützung und Prüfvorbereitung. Durch Beratung und Lernunterstützung sollen Lern- und Vermittlungshindernisse abgebaut werden. ,01.07.2015,30.06.2016,"565106,65","50,00 %",131 - Wien (NUTS),AUSTRIA,"109 - Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit"
2CAEAA_00226,BERUFSFOERDERUNGSINSTITUT STEIERMARK,Produktionsschule Murtal/Murau,"Regional angepasste Umsetzung des Konzeptes Produktionsschule mit der Zielsetzung der individuell angepassten Nachreifung zur Erlangung der persönlichen Ausbildungsfitness der Teilnehmerinnen mit verschiedenen Schwerpunkten (Holz, Büro/Verwaltung)",01.01.2016,31.12.2016,"410752,55","50,00 %",60101 - Graz,AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2CADAC_00081,Bundeshandelsakademie und Bundesshandelsschule Feldkirch,"S-1.5 USD ""Förderung der Unterrichtssprache Deutsch""","Dieses Projekt dient zur Verringerung und Verhütung des vorzeitigen Schulabbruchs und Förderung des
gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und
Sekundarausbildung",05.09.2016,31.08.2017,15400,"50,00 %",340 - VORARLBERG (NUTS),AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2CADAC_00116,Handelsschule und HAK-Aufbaulehrgang SSND Wien-15,"S-1.6 KOEL ""Kompetenzorientiertes eigenverantwortliches Lernen"" ",Verringerung und Verhütung des vorzeitigen Schulabbruchs und Förderung des gleichen Zugangs zu einer hochwertigen Sekundarbildung mittels Durchführung und Weiterentwicklung von Beratungs- und Unterstützungsangeboten,05.09.2016,31.08.2017,103950,"50,00 %",131 - Wien (NUTS),AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2BABHA_00011,DLG gemeinnützige Dienstleistungsgesellschaft G.m.b.H.,ENTRY - Einstieg durch niederschwellige Beschäftigung,"Mit diesem Netzwerkprojekt werden zusätzliche stundenweise Transitarbeitsplätze für BezieherInnen der bedarfsorientierten Mindestsicherung, sowie für weitere besonders arbeitsmarktferne Zielgruppen beim Beschäftigungsträger DLG geschaffen.",01.04.2016,31.12.2016,"38807,47","50,00 %",224 - Oststeiermark (NUTS),AUSTRIA,"109 - Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit"
2CADAC_00088,BHAK/BHAS Völkermarkt,"S-1.6 KOEL ""Kompetenzorientiertes eigenverantwortliches Lernen"" ",Durchführung einer ganzjährig durchgeführten standortbezogenen verbindlichen Übung „KOEL“ in der 9. und 10. Schulstufe Handelsschule und Handelsakademie mit dem Ziel eines positiven Abschlusses und dem Verbleib im Schulsystem.  ,05.09.2016,31.08.2017,50050,"50,00 %",213 - Unterkärnten (NUTS),AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2BAAIA_00034,"""Mädchenzentrum Klagenfurt"", Kärnten","Auf dem Weg - Begleitung, Beratung, Unterstützung und Qualifizierung von (bildungs-)benachteiligten, ausgegrenzten jungen Frauen in ein selbst bestimmtes Erwerbsleben","Auf dem Weg - ein Projekt zur Begleitung, Beratung, Unterstützung und Qualifizierung von benachteiligten, ausgegrenzten Frauen zwischen 18 und 25.",01.10.2016,30.09.2017,"237990,18","50,00 %",210 - KÄRNTEN (NUTS),AUSTRIA,"109 - Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit"
