N¡;Programme op_rationnel / Operationneel programma ;Priorite/Prioriteit;Sub-Priorite/Sub-Prioriteit;B_n_ficiaire / Begunstigde;FEDER;Financement public sans FEDER;Op_ration / Actie;Site web / Website;Ann_e d'allocation / Jaar van toewijzing;Ann_e d'allocation 2/ Jaar van toewijzing 2;Ann_e d'allocation 3/ Jaar van toewijzing 3;Financement total du projet / Totale projectfinanciering (Û);Financement public / Publieke financiering (Û) ;Financement FEDER (UE) / EFRO-financiering (EU) (Û)
P11-01;Objectif 2013 : Investissons ensemble dans le d_veloppement urbain! / Doelstelling 2013 : Samen investeren in stedelijke ontwikkeling!;SOUTENIR LA COMPETITIVITE TERRITORIALE / HET TERRITORIALE CONCURRENTIEVERMOGEN ONDERSTEUNEN;Soutien au d_veloppement et ˆ la cr_ation d'activit_s _conomiques / Hulp bij de ontwikkeling en oprichting van economische activiteiten ;Brusoc SA;2.818.594;2.818.594;Brusoc;http://www.srib.be/fr/brusoc;2008;;;5.637.188,00;5.637.188,00;2.818.594,00
P11-02;Objectif 2013 : Investissons ensemble dans le d_veloppement urbain! / Doelstelling 2013 : Samen investeren in stedelijke ontwikkeling!;SOUTENIR LA COMPETITIVITE TERRITORIALE / HET TERRITORIALE CONCURRENTIEVERMOGEN ONDERSTEUNEN;Soutien au d_veloppement et ˆ la cr_ation d'activit_s _conomiques / Hulp bij de ontwikkeling en oprichting van economische activiteiten ;Commune d'Anderlecht;3.837.500;6.137.500;Port Sud - Canal d'innovation;http://www.portsud.be/;2010;;;9.339.000,00;9.339.000,00;3.837.500,00
P11-03;Objectif 2013 : Investissons ensemble dans le d_veloppement urbain! / Doelstelling 2013 : Samen investeren in stedelijke ontwikkeling!;SOUTENIR LA COMPETITIVITE TERRITORIALE / HET TERRITORIALE CONCURRENTIEVERMOGEN ONDERSTEUNEN;Soutien au d_veloppement et ˆ la cr_ation d'activit_s _conomiques / Hulp bij de ontwikkeling en oprichting van economische activiteiten ;Agence bruxelloise pour l'Entreprise (ABE), Unizo, Jeunes Entreprises, Groupe One et Ichec PME;390.784;1.172.352;Boost your talent;http://www.boostyourtalent.be/;2008;;;1.702.095,90;1.702.095,90;470.773,98
P11-04;Objectif 2013 : Investissons ensemble dans le d_veloppement urbain! / Doelstelling 2013 : Samen investeren in stedelijke ontwikkeling!;SOUTENIR LA COMPETITIVITE TERRITORIALE / HET TERRITORIALE CONCURRENTIEVERMOGEN ONDERSTEUNEN;Soutien au d_veloppement et ˆ la cr_ation d'activit_s _conomiques / Hulp bij de ontwikkeling en oprichting van economische activiteiten ;Village Finance ;369.500;369.500;Village Finance;http://www.villagefinance.be/;2008;;;739.000,00;739.000,00;369.500,00
;Objectif 2013 : Investissons ensemble dans le d_veloppement urbain! / Doelstelling 2013 : Samen investeren in stedelijke ontwikkeling!;SOUTENIR LA COMPETITIVITE TERRITORIALE / HET TERRITORIALE CONCURRENTIEVERMOGEN ONDERSTEUNEN;Soutien au d_veloppement et ˆ la cr_ation d'activit_s _conomiques / Hulp bij de ontwikkeling en oprichting van economische activiteiten ;Bruxelles Environnement;Bruxelles Environnement;;Brussels Green Fields;http://www.bruxellesenvironnement.be/templates/professionnels/niveau2.aspx?maintaxid=11680&taxid=12033;2009;;;10.364.474,00;10.364.474,00;5.182.237,00
;Objectif 2013 : Investissons ensemble dans le d_veloppement urbain! / Doelstelling 2013 : Samen investeren in stedelijke ontwikkeling!;SOUTENIR LA COMPETITIVITE TERRITORIALE / HET TERRITORIALE CONCURRENTIEVERMOGEN ONDERSTEUNEN;Soutien au d_veloppement et ˆ la cr_ation d'activit_s _conomiques / Hulp bij de ontwikkeling en oprichting van economische activiteiten ;Commune d'Anderlecht;AC Anderlecht;;Ecole des v_t_rinaires;http://www.bruplus.irisnet.be/fr/content/espace-lumi%C3%A8re-accueil-dentreprises;2009;;;11.548.620,30;9.505.620,30;2.043.000,00
;Objectif 2013 : Investissons ensemble dans le d_veloppement urbain! / Doelstelling 2013 : Samen investeren in stedelijke ontwikkeling!;SOUTENIR LA COMPETITIVITE TERRITORIALE / HET TERRITORIALE CONCURRENTIEVERMOGEN ONDERSTEUNEN;Soutien au d_veloppement et ˆ la cr_ation d'activit_s _conomiques / Hulp bij de ontwikkeling en oprichting van economische activiteiten ;Soci_t_ de D_veloppement pour la R_gion de Bruxelles-Capitale;SDRB;;Espace PME Paepsem;http://www.bruplus.irisnet.be/fr/content/espace-pme-paepsem-accueil-d%E2%80%99entreprises;2009;;;7.187.400,00;7.187.400,00;2.514.544,00
;Objectif 2013 : Investissons ensemble dans le d_veloppement urbain! / Doelstelling 2013 : Samen investeren in stedelijke ontwikkeling!;SOUTENIR LA COMPETITIVITE TERRITORIALE / HET TERRITORIALE CONCURRENTIEVERMOGEN ONDERSTEUNEN;Soutien au d_veloppement et ˆ la cr_ation d'activit_s _conomiques / Hulp bij de ontwikkeling en oprichting van economische activiteiten ;Centre public d'aide sociale de Bruxelles-Ville;CPAS Bruxelles;;P™le d'activit_s _conomiques urbaines;http://www.bruplus.irisnet.be/fr/content/byrrh-demain-p%C3%B4le-dactivit%C3%A9s-%C3%A9conomiques-et-creche;2009;2010;;25.997.413,00;20.608.276,00;5.389.137,00
P12-01;Objectif 2013 : Investissons ensemble dans le d_veloppement urbain! / Doelstelling 2013 : Samen investeren in stedelijke ontwikkeling!;SOUTENIR LA COMPETITIVITE TERRITORIALE / HET TERRITORIALE CONCURRENTIEVERMOGEN ONDERSTEUNEN;Soutien ˆ la mise en place d'un p™le de d_veloppement urbain li_ aux secteurs _conomique de l'environnement / Hulp bij de oprichting van een stadsontwikkelingsplatform verbonden met  economische sectoren die ijveren voor het milieu;Soci_t_ de D_veloppement pour la R_gion de Bruxelles-Capitale;5.529.689;5.529.689;Brussels GreenBizz - Incubateur;http://www.cstc.be/homepage/index.cfm?cat=services&sub=innov_support&pag=13&art=documents&niv01=actionplans_in_brussels;2010;;;16.042.502,00;16.042.502,00;7.419.924,50
P12-02;Objectif 2013 : Investissons ensemble dans le d_veloppement urbain! / Doelstelling 2013 : Samen investeren in stedelijke ontwikkeling!;SOUTENIR LA COMPETITIVITE TERRITORIALE / HET TERRITORIALE CONCURRENTIEVERMOGEN ONDERSTEUNEN;Soutien ˆ la mise en place d'un p™le de d_veloppement urbain li_ aux secteurs _conomique de l'environnement / Hulp bij de oprichting van een stadsontwikkelingsplatform verbonden met  economische sectoren die ijveren voor het milieu;Agence R_gionale pour la Propret_;2.046.317;2.046.317;Bruxelles Ecop™le;http://www.bruplus.irisnet.be/fr/content/bruxelles-ecop%C3%B4le-r%C3%A9cup%C3%A9ration-des-d%C3%A9chets;2010;;;8.582.184,14;8.017.739,83;3.368.374,00
