N°,Bénéficiaire / Begunstigde,FEDER,Financement public sans FEDER,Opération / Actie,Site web / Website,Année d'allocation / Jaar van toewijzing,Financement total du projet / Totale projectfinanciering (€),Financement public / Publieke financiering (€) ,Financement FEDER (UE) / EFRO-financiering (EU) (€),Priority Label 
P11-01,Brusoc SA,2818594,2818594,Brusoc,http://www.srib.be/fr/brusoc,2008,5637188,5637188,2818594,SOUTENIR LA COMPETITIVITE TERRITORIALE / HET TERRITORIALE CONCURRENTIEVERMOGEN ONDERSTEUNEN
P11-02,Commune d'Anderlecht,3837500,6137500,Port Sud - Canal d'innovation,http://www.portsud.be/,2010,9339000,9339000,3837500,SOUTENIR LA COMPETITIVITE TERRITORIALE / HET TERRITORIALE CONCURRENTIEVERMOGEN ONDERSTEUNEN
P11-03,Agence bruxelloise pour l'Entreprise (ABE) Unizo Jeunes Entreprises Groupe One et Ichec PME,390784,1172352,Boost your talent,http://www.boostyourtalent.be/,2008,"1702095,9","1702095,9","470773,98",SOUTENIR LA COMPETITIVITE TERRITORIALE / HET TERRITORIALE CONCURRENTIEVERMOGEN ONDERSTEUNEN
P11-04,Village Finance ,369500,369500,Village Finance,http://www.villagefinance.be/,2008,739000,739000,369500,SOUTENIR LA COMPETITIVITE TERRITORIALE / HET TERRITORIALE CONCURRENTIEVERMOGEN ONDERSTEUNEN
P11-04,Bruxelles Environnement,,,Brussels Green Fields,http://www.bruxellesenvironnement.be/templates/professionnels/niveau2.aspx?maintaxid=11680&taxid=12033,2009,10364474,10364474,5182237,SOUTENIR LA COMPETITIVITE TERRITORIALE / HET TERRITORIALE CONCURRENTIEVERMOGEN ONDERSTEUNEN
P11-04,Commune d'Anderlecht,,,Ecole des vétérinaires,http://www.bruplus.irisnet.be/fr/content/espace-lumi%C3%A8re-accueil-dentreprises,2009,"11548620,3","9505620,3",2043000,SOUTENIR LA COMPETITIVITE TERRITORIALE / HET TERRITORIALE CONCURRENTIEVERMOGEN ONDERSTEUNEN
P11-04,Société de Développement pour la Région de Bruxelles-Capitale,,,Espace PME Paepsem,http://www.bruplus.irisnet.be/fr/content/espace-pme-paepsem-accueil-d%E2%80%99entreprises,2009,7187400,7187400,2514544,SOUTENIR LA COMPETITIVITE TERRITORIALE / HET TERRITORIALE CONCURRENTIEVERMOGEN ONDERSTEUNEN
P11-04,Centre public d'aide sociale de Bruxelles-Ville,,,Pôle d'activités économiques urbaines,http://www.bruplus.irisnet.be/fr/content/byrrh-demain-p%C3%B4le-dactivit%C3%A9s-%C3%A9conomiques-et-creche,2009,25997413,20608276,5389137,SOUTENIR LA COMPETITIVITE TERRITORIALE / HET TERRITORIALE CONCURRENTIEVERMOGEN ONDERSTEUNEN
P12-01,Société de Développement pour la Région de Bruxelles-Capitale,5529689,5529689,Brussels GreenBizz - Incubateur,http://www.cstc.be/homepage/index.cfm?cat=services&sub=innov_support&pag=13&art=documents&niv01=actionplans_in_brussels,2010,16042502,16042502,"7419924,5",Soutien à la mise en place d'un pôle de développement urbain lié aux secteurs économique de l'environnement
P12-02,Agence Régionale pour la Propreté,2046317,2046317,Bruxelles Ecopôle,http://www.bruplus.irisnet.be/fr/content/bruxelles-ecop%C3%B4le-r%C3%A9cup%C3%A9ration-des-d%C3%A9chets,2010,"8582184,14","8017739,83",3368374,Soutien à la mise en place d'un pôle de développement urbain lié aux secteurs économique de l'environnement
P12-03,Centre scientifique et technique de la construction,560000,560000,Centre d'excellence construction durable,http://www.competentiecentrum-duurzaambouwen.be/index.cfm?n01=compdubo&n02=presentation,2008,1120000,1120000,560000,Soutien à la mise en place d'un pôle de développement urbain lié aux secteurs économique de l'environnement
P12-04,Bruxelles environnement-ABE-Groupe One,981169,981169,Brussels sustainable economy,http://www.bruplus.irisnet.be/fr/content/brussels-sustainable-economy,2008,2181338,2181338,1090669,Soutien à la mise en place d'un pôle de développement urbain lié aux secteurs économique de l'environnement
P12-04,Erasmushogeschool,,,EMOVO,http://emovo.be/,2009,3733000,875000,237500,Soutien à la mise en place d'un pôle de développement urbain lié aux secteurs économique de l'environnement
P21-01,Abattoirs,2076967,2477869,Agro - Parc - Abattoirs,http://www.abatan.be/fr/projets,2008,"16968803,54","9489736,54",3739534,RENFORCER LA COHESION TERRITORIALE / DE TERRITORIALE COHESIE VERSTERKEN
P21-02,Centre d'entreprise Dansaert,1750000,5250000,Mode and Design (MAD) Brussels ,http://www.madbrussels.be/fr/MAD,2010,7005000,7005000,1750000,RENFORCER LA COHESION TERRITORIALE / DE TERRITORIALE COHESIE VERSTERKEN
P21-06,Agence de développement territorial,1613330,1613330,Marketing urbain,http://www.adt-ato.irisnet.be/fr/marketing-urbain,2008,"3166954,73","3166954,73","1583477,37",RENFORCER LA COHESION TERRITORIALE / DE TERRITORIALE COHESIE VERSTERKEN
P21-07,Atrium,1450749,1851651,Pôle d'innovation commerciale - Opensoon,http://www.opensoon.be/blog/?lang=fr,2008,3250000,3250000,1625000,RENFORCER LA COHESION TERRITORIALE / DE TERRITORIALE COHESIE VERSTERKEN
P22-01,Commune de Schaerbeek,944423,944423,"Crèche Gaucheret 'Etoile du Nord""",http://www.creches-de-schaerbeek.be/index.php?option=com_content&view=article&id=71:une-creche-exemplaire-pour-schaerbeek&catid=39:lasbl-creches-de-schaerbeek&Itemid=28,2009,2860822,2860822,944423,Renforcement des infrastructures de proximité en lien avec l'emploi et la formation /  Versterking van de nabijheidsdiensten gekoppeld aan de tewerkstelling en de opleiding
P22-02,Centre public d'aide sociale de Bruxelles-Ville,410362,1315786,"Crèche quartier ""Maison rouge"" Laeken",http://www.bruplus.irisnet.be/fr/content/accueil-de-la-petite-enfance,2009, -     , -     , -     ,Renforcement des infrastructures de proximité en lien avec l'emploi et la formation /  Versterking van de nabijheidsdiensten gekoppeld aan de tewerkstelling en de opleiding
P22-03,Commune de Saint-Gilles,305556,430556,Crèche Lily,http://www.stgilles.irisnet.be/fr/services-administratifs/creches-et-petite-enfance/creches/les-creches/,2008,"1039376,35","1039376,35",305556,Renforcement des infrastructures de proximité en lien avec l'emploi et la formation /  Versterking van de nabijheidsdiensten gekoppeld aan de tewerkstelling en de opleiding
P22-04,Elmer vzw,160325,645668,Elmer in de stad,http://www.elmer.be/FicheStad.htm,2008,1002225,1002225,116113,Renforcement des infrastructures de proximité en lien avec l'emploi et la formation /  Versterking van de nabijheidsdiensten gekoppeld aan de tewerkstelling en de opleiding
P22-05,Commune d'Anderlecht,288000,288000,Crèche Les Tulipes,http://www.bruplus.irisnet.be/fr/content/accueil-de-la-petite-enfance,2010,747895,747895,144000,Renforcement des infrastructures de proximité en lien avec l'emploi et la formation /  Versterking van de nabijheidsdiensten gekoppeld aan de tewerkstelling en de opleiding
