Name des Begünstigten/beneficiary name,Bezeichnung des Vorhabens/operation name,Zusammenfassung des Vorhabens/operation summary,Datum des Beginns des Vorhabens/operation start date,Datum des Endes des Vorhabens/operation end date,Gesamtbetrag der förderfähigen Ausgaben des Vorhabens/total eligible expenditure allocated to the operation,Postleitzahl des Vorhabens/operation postcode,Land/country,Bezeichnung der Interventionskategorie für das Vorhaben/name of category of intervention for the operation,Spezifisches Ziel/specific objective,Internet-Adresse des Vorhabens/website of the operation
"""Les Graveur"" Münz- und Medaillengestaltung und Gravuren GmbH",Coaching,Förderprogramm Coaching 2016,17.03.2016,31.03.2017,"9.000,00",71296,Deutschland,106,A 5.1,www.les-graveurs.de
"""Les Graveur"" Münz- und Medaillengestaltung und Gravuren GmbH",Coaching,Förderprogramm Coaching 2015,22.04.2015,21.04.2016,"12.000,00",71296,Deutschland,106,A 5.1,www.les-graveurs.de
3D Laser GbR Axel Wendt und Oliver Wagner,Coaching,Förderprogramm Coaching 2015,28.08.2015,28.08.2016,"12.000,00",73235,Deutschland,106,A 5.1,www.3-d-laser.de
48DESIGN  ,Coaching,Förderprogramm Coaching 2016,29.02.2016,31.12.2016,"3.000,00",76133,Deutschland,106,A 5.1,www.48design.de
48° Süd gGmbH  ,Fair-Fair 2015-2016,"Fair-Fair
    Beschäftigung, Qualifizierung, Vermittlung langzeitarbeitsloser Frauen und Männer in differenzierten arbeitsmarktnahen Beschäftigungsfeldern. Begleitende sozialpädagogische Betreuung.",01.01.2015,31.12.2016,"324.695,05",79336,Deutschland,109,B 1.1,www.48gradsued.de
4e solutions GmbH  ,Coaching,Förderprogramm Coaching 2015,19.08.2015,10.08.2016,"12.000,00",70794,Deutschland,106,A 5.1,www.ajaa.de
5ter Stock Medienproduktion GmbH ,Coaching,Förderprogramm Coaching 2016,29.01.2016,29.01.2017,"9.000,00",70176,Deutschland,106,A 5.1,www.5terstock.de
A 2000 Industrie-Elektronik GmbH ,Coaching,Förderprogramm Coaching 2015,30.04.2015,30.04.2016,"12.000,00",77948,Deutschland,106,A 5.1,www.a2000elektronik.com
ADE Mechanik GmbH  ,Coaching,Förderprogramm Coaching 2015,01.09.2015,31.08.2016,"12.000,00",73730,Deutschland,106,A 5.1,www.ade-mechanik.de
AERA Limited  ,Coaching,Förderprogramm Coaching 2016,01.03.2016,31.12.2016,"9.000,00",73066,Deutschland,106,A 5.1,www.aera-company.de
