"Name des Begünstigten / beneficiary name","Bezeichnung des Vorhabens / operation name","Zusammenfassung des Vorhabens / operation summary","Datum des Beginns des Vorhabens / operation start date","Datum des Endes des Vorhabens / operation end date","Gesamtbetrag der förderfähigen Ausgaben des Vorhabens / total eligible expenditure allocated to the operation","Unions-Kofinanzierungssatz pro Prioritätsachse / Union co-financing rate, as per priority axis","Postleitzahl des Vorhabens / operation postcode","Land / country","Interventionsbereich / intervention field","Finanzierungsform / form of finance","Art des Gebiets / territorial dimension","Territoriale Umsetzungsmechanismen / territorial delivery mechanism","Thematisches Ziel / thematic objective dimension"
APM GmbH und Anita Ramerseder,Neuansiedlung,"Neuansiedlung, APM GmbH und Anita Ramerseder IN Waldkirchen , Niederbay",27.05.2014,31.03.2015,459000,25%*,94065,"Waldkirchen , Niederbay",001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“),01 - Nicht rückzahlbare Finanzhilfe,04 - Gebiete der makroregionalen Zusammenarbeit,07 - Nicht zutreffend,03 - Stärkung der Wettbewerbsfähigkeit von kleinen und mittleren Unternehmen
ATP Autoteile Pöllath Handels GmbH u. Peter Pöllath gewerbliche Vermietung und Verpachtung e.K.,Erweiterung,"Erweiterung, ATP Autoteile Pöllath Handels GmbH u. Peter  Pöllath gewerbliche Vermietung und Verpachtung e.K. IN Kirchenthumbach",01.07.2015,31.12.2017,35518400,25%*,92690,Pressath,001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“),01 - Nicht rückzahlbare Finanzhilfe,03 - Ländliche Gebiete (dünn besiedelt),07 - Nicht zutreffend,03 - Stärkung der Wettbewerbsfähigkeit von kleinen und mittleren Unternehmen
"Bayer. Staatsministerium des Innern, für Bau und Verkehr, vertreten durch das Staatliche Bauamt Erlangen-Nürnberg",Energetische Sanierung des Lehrsaalgebäudes und des Flachbaus zum Hochhaus der IV. Bereitschaftspolizeiabteilung Nürnberg,Energetische Sanierung der Hüllflächen und Austausch der Lüftungsanlage mit Anbindung an die zentrale GLT-Technik,18.02.2016,31.12.2019,4226000,50%*,90469,Nürnberg,"013 - Energieeffiziente Renovierung öffentlicher Infrastrukturen, Demonstrationsprojekte und Begleitmaßnahmen",01 - Nicht rückzahlbare Finanzhilfe,"01 - Städtische Ballungsgebiete (dicht besiedelt, Bevölkerung > 50 000)",07 - Nicht zutreffend,04 - Förderung der Bestrebungen zur Verringerung der CO2-Emissionen in allen Branchen der Wirtschaft
"Bayer. Staatsministerium des Innern, für Bau und Verkehr, vertreten durch das Staatliche Bauamt Erlangen-Nürnberg",Energetische Sanierung des Stabsgebäudes und der Kleiderkammer der IV. Bereitschaftspolizeiabteilung Nürnberg,Energetische Sanierung der Hüllflächen sowie Arbeiten an der MSR-Technik,18.02.2016,31.12.2020,2717000,50%*,90469,Nürnberg,"013 - Energieeffiziente Renovierung öffentlicher Infrastrukturen, Demonstrationsprojekte und Begleitmaßnahmen",01 - Nicht rückzahlbare Finanzhilfe,"01 - Städtische Ballungsgebiete (dicht besiedelt, Bevölkerung > 50 000)",07 - Nicht zutreffend,04 - Förderung der Bestrebungen zur Verringerung der CO2-Emissionen in allen Branchen der Wirtschaft
"Bayer. Staatsministerium für Ernährung, Landwirtschaft und Forsten, vertreten durch das Staatliche Bauamt Rosenheim",Errichtung einer Hackschnitzelanlage mit Nahwärmeversorgung in der Landesanstalt für Landwirtschaft in Grub (LfL),Errichtung einer Hackschnitzelanlage mit Nahwärmeversorgung,22.03.2016,31.12.2019,2950000,50%*,85586,Poing b München,"013 - Energieeffiziente Renovierung öffentlicher Infrastrukturen, Demonstrationsprojekte und Begleitmaßnahmen",01 - Nicht rückzahlbare Finanzhilfe,"02 - Kleinstädtische Gebiete (mittlere Bevölkerungsdichte, Bevölkerung > 5 000)",07 - Nicht zutreffend,04 - Förderung der Bestrebungen zur Verringerung der CO2-Emissionen in allen Branchen der Wirtschaft
Bayerische Beteiligungsgesellschaft mbH (BayBG),EFRE-Projekt 2014 B,"Mit dem EFRE-Projekt 2014 B soll die BayBG geeignete bayerische KMU mit Eigenkapital versorgen und so das weitere Wachstum dieser KMU unterstützen. Die Projektmittel sollen dabei vorrangig in innovative KMU in der Start-up und Expansionsphase, insbes. im EFRE-Schwerpunktgebiet, investiert werden.",01.01.2015,31.12.2023,20000000,25%*,,,001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“),"03 - Unterstützung durch Finanzinstrumente: Risikokapital, Beteiligungskapital oder Gleichwertiges",03 - Ländliche Gebiete (dünn besiedelt),07 - Nicht zutreffend,03 - Stärkung der Wettbewerbsfähigkeit von kleinen und mittleren Unternehmen
Bayerisches Landesamt für Umwelt,BodenAtlas Bayern,"Aufbau eines Kompetenzzentrums zur Bereitstellung anforderungsgerechter, wissensbasierter Geoinformationen als Grundlage für die Entscheidungsfindung und Beantwortung aktueller praxisrelevanter Fragestellungen vieler Nutzergruppen in Wirtschaft und Politik sowie Wissenschaft und Forschung.",01.01.2016,31.12.2020,14400000,50%*,95030,"Hof , Saale",058 - Forschungs- und Innovationsinfrastruktur (öffentlich),01 - Nicht rückzahlbare Finanzhilfe,"02 - Kleinstädtische Gebiete (mittlere Bevölkerungsdichte, Bevölkerung > 5 000)",07 - Nicht zutreffend,"01 - Stärkung von Forschung, technologischer Entwicklung und Innovation"
"Bayerisches Staatsministerium für Wirtschaft und Medien, Energie und Technologie, Ref. 51",Technische Hilfe Ziel IWB - Projekt TH 1,"Vorbereitung, Durchführung, Überwachung und Prüfung; im Wesentlichen Personalkosten und Datenbankkosten",01.01.2014,31.12.2023,16000000,50%*,,,"121 - Vorbereitung, Durchführung, Begleitung und Kontrolle",01 - Nicht rückzahlbare Finanzhilfe,03 - Ländliche Gebiete (dünn besiedelt),07 - Nicht zutreffend,12 - Nicht zutreffend (nur technische Hilfe)
"Bayerisches Staatsministerium für Wirtschaft und Medien, Energie und Technologie, Ref. 51",Technische Hilfe Ziel IWB - Projekt TH 2,"Evaluation und Studien, BGA; im Wesentlichen Kosten für die Vorbereitung und Durchführung des BGA und für die Erstellung der Jahresberichte und weiterer Gutachten,
Studien und Bewertungen",01.01.2014,31.12.2023,1200000,50%*,,,122 - Bewertung und Studien,01 - Nicht rückzahlbare Finanzhilfe,03 - Ländliche Gebiete (dünn besiedelt),07 - Nicht zutreffend,12 - Nicht zutreffend (nur technische Hilfe)
"Bayerisches Staatsministerium für Wirtschaft und Medien, Energie und Technologie, Ref. 51",Technische Hilfe Ziel IWB - Projekt TH 3,"Information und Kommunikation, Sitzungen und Veranstaltungen; im Wesentlichen Internet- und Druckkosten, Kosten für IuK-Maßnahmen und Besprechungen",01.01.2014,31.12.2023,566332,50%*,,,123 - Information und Kommunikation,01 - Nicht rückzahlbare Finanzhilfe,03 - Ländliche Gebiete (dünn besiedelt),07 - Nicht zutreffend,12 - Nicht zutreffend (nur technische Hilfe)
