Name,Bezeichnung des Vorhabens,"Zusammenfassung des Vorhabens","Datum des Beginns des Vorhabens","Datum des Endes des Vorhabens","Gesamtbetrag der förderfähigen Ausgaben des Vorhabens in €","Unions-Kofinanzierungssatz","Kofinanzierung aus anderen öffentlichen Mitteln",PLZ,Land,Interventionsbereich,"Finanzierungsform",Art des Gebietes,"Territoriale Umsetzungsmechanismen","Sekundäres ESF-Thema"
ARGE der VHSn im Landkreis Hof e. V.,AKTIV - Aktivierung und berufsbezogene Grundqualifizierung von Migranten,"Durch Kompetensfeststellung, Aktivierung und Motivierung sowie durch Vermittlung und Verbesserung der Schlüsselkompetenzen soll eine gesteigerte Beschäftigungsfähigkeit der Zielgruppe für den Arbeitsmarkt erreicht werden. Die Teilnehmer/Teilnehmerinnen werden in ihrer Fähigkeit bestärkt, sich im beruflichen Alltag adäquater zu verständigen.",14.09.2015,13.01.2016,"100.715,41",45%,50%,95028,Bayern/DE,109,1,2,7,1
Berufsbildungs-zentrum Augsb.d.Lehmbaugr.gGmbH,„AKTIVA I“ - Fit für den Arbeitsmarkt,Durch verschiedene Module wird die Orientierung am Arbeitsmarkt und in Deutschland gefördert und Schlüsselkompetenzen in verschiedenen Bereichen vermittelt und im Praktikum erprobt und vertieft. Die Arbeitsmarktintegration wird unterstützt durch Bewerbungstraining und Integrationscoaching. Sozialpädagogische Betreuung trägt zum Abbau persönlicher Handicaps und zur Stabilisierung bei. ,21.09.2015,18.12.2015,"68.504,30",50%,44%,86199,Bayern/DE,109,1,1,7,1
afz Personalvermittlung und Service GmbH,Arbeiten und Lernen in der Ausbildungswerkstatt,Vermittlung in betriebliche Ausbildung oder Fortführung der Ausbildung zum erfolgreichem Abschluss.,01.04.2015,30.09.2015,"100.447,68",50%,50%,97422,Bayern/DE,103,1,1,7,1
Arbeiterwohlfahrt Kreisverband Mühldorf e.V.,ESF-Ausbildungsprojekt JAGUS,"8 bzw. 11 sozial besonders benachteiligte Jugendliche (entsprechend SGB VIII, § 13 ) werden zu den  anerkannten Berufsabschlüssen Schreiner/Fachpraktiker für Holzverarbeitung oder zur Fachkraft  für Möbel-Küchen- und Umzugsservice ausgebildet und nach Beendigung der Ausbildung in ein festes Arbeitsverhältnis vermittelt.",01.09.2015,31.08.2016,"161.559,58",50%,50%,84478,Bayern/DE,103,1,2,7,1
AWO Straubing Soziale Dienste GmbH,Impuls II - Ausbildung für besonders  benachteiligte junge Menschen,"Ermöglichung einer betriebl. Ausbildung/ggf. EQ unter Berücksichtigung des individ. Förderbedarfs der jungen Menschen; ganzheitl. berufsbezog. Förderung unter Einbeziehung zielgruppengerechter Vermittlungsmethoden; individ. soz.päd. Betreuung, indiv.  Förderplanung; fachpraktische Qualifizierung in eigenen Ausbildungswerkstätten; Stütz- und Förderunterricht begleitend zur Berufsschule.",01.04.2015,31.08.2015,"170.356,00",50%,50%,94315,Bayern/DE,103,1,2,1,1
AWO Straubing Soziale Dienste GmbH,Impuls I - Ausbildung für besonders  benachteiligte junge Menschen,"Ermöglichung einer betriebl. Ausbildung/ EQ unter Berücksichtigung
des individ. Förderbedarfs der jungen Menschen; ganzheitl.
berufsbezog. Förderung unter Einbeziehung zielgruppengerechter
Vermittlungsmethoden; individ. soz.päd. Betreuung, indiv. Förderplanung;
fachpraktische Qualifizierung in eigenen Ausbildungswerkstätten;
Stütz- und Förderunterricht begleitend zur Berufsschule.",12.05.2015,29.02.2016,"86.156,86",50%,50%,94315,Bayern/DE,103,1,2,7,1
AWO Straubing Soziale Dienste GmbH,Impuls II - Ausbildung für besonders benachteiligte junge Menschen,"Ermöglichung einer betriebl. Ausbildung/ggf. EQ unter Berücksichtigung
des individ. Förderbedarfs der jungen Menschen; ganzheitl.
berufsbezog. Förderung unter Einbeziehung zielgruppengerechter
Vermittlungsmethoden; individ. soz.päd. Betreuung, indiv. Förderplanung;
fachpraktische Qualifizierung in eigenen Ausbildungswerkstätten;
Stütz- und Förderunterricht begleitend zur Berufsschule",01.09.2015,31.08.2016,"332.844,00",50%,50%,94315,Bayern/DE,103,1,2,7,1
bfz gGmbH,Savarini / Aschaffenburg / 2015-2016,"Ziel des Projektes ist, besonders sozial benachteilige und/oder individuell beeinträchtigte junge Menschen sowohl fachspezifisch zu qualifizieren als auch sozial und persönlich zu betreuen um den Ausbildungsgang erfolgreich zu absolvieren.",01.04.2015,31.08.2016,"573.080,23",50%,50%,63739,Bayern/DE,103,1,1,7,1
bfz gGmbH,Tilman / Würzburg / 01.09.2015,"Das Projekt gliedert sich in drei Bausteine:
- Ausbildung mit betrieblichen Praktika mit der Ausrichtung Hotel- und Gaststätten
- Pädagogische Betreuung
- Module beruflicher Anpassungshilfen
Die Ausbildungsgänge setzen sich aus Qualifizierungsbausteinen der zugrunde liegenden Ausbildungsberufe Koch/Köchin, Fachkraft im Gastgewerbe sowie Restaurantfachfrau / - mann zusammen.",01.09.2015,31.08.2016,"388.050,76",50%,50%,97084,Bayern/DE,103,1,1,7,1
Carida Kelheim gem. GmbH,Carida: Qualifizierung und Beschäftigung,"Das beantragte Projekt der Trägerin CARIDA führt junge Menschen in vier Berufen zu einem beruflichen Abschluss. 
Die angebotenen Berufe sind Verkäufer/Verkäuferin, Verwaltungsfachleute, Fachkräfte Möbel- Küche-Umzug und Holzfachwerker oder Schreiner. ",01.04.2015,31.07.2015,"159.698,38",50%,50%,93309,Bayern/DE,103,1,2,7,1
