Name des Begünstigten,Bezeichnung des Vorhabens,Zusammenfassung des Vorhabens,Datum des Beginns,Datum des Endes,"Gesamtbetrag förderfähiger 
Ausgaben","Kofinanzierungssatz","PLZ 
Begünstigter",Land,Themenfeld
A & QUA gGmbH,Online-Marketing & Social Media mit integrierter Deutsch-Förderung,"Mit diesem Projekt wird die berufliche Weiterbildung bzw. die Berufsorientierung von arbeitslosen Personen im SGB-II-Bezug zur Integration oder Reintegration in den allgemeinen Arbeitsmarkt gefördert.

Der Zuwendungszweck entspricht den Förderrichtlinien des Instrumentes Fi20A - Qualifizierung vor Beschäftigung.     

 

",04.04.2016,30.09.2016,"91.100,16 €","49,92%",10997,DE300,"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
A & QUA gGmbH,Schneidern & Mode-Design mit integrierter Deutsch-Förderung,"Mit diesem Projekt wird die berufliche Weiterbildung bzw. die Berufsorientierung von arbeitslosen Personen im SGB-II-Bezug zur Integration oder Reintegration in den allgemeinen Arbeitsmarkt gefördert.

Der Zuwendungszweck entspricht den Förderrichtlinien des Instrumentes Fi20A - Qualifizierung vor Beschäftigung.

 

",18.04.2016,14.10.2016,"90.388,44 €","49,92%",10997,DE300,"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
A & QUA gGmbH,Veranstaltungsmanagement mit integrierter Deutsch-Förderung,"Mit diesem Projekt wird die berufliche Weiterbildung bzw. die Berufsorientierung von arbeitslosen Personen im SGB-II-Bezug zur Integration oder Reintegration in den allgemeinen Arbeitsmarkt gefördert.

Der Zuwendungszweck entspricht den Förderrichtlinien des Instrumentes Fi20A - Qualifizierung vor Beschäftigung.

 

",02.05.2016,31.10.2016,"91.100,16 €","49,92%",10997,DE300,"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
A & QUA gGmbH,Online-Marketing & Social Media mit integrierter Deutsch-Förderung,"Mit diesem Projekt wird die berufliche Weiterbildung bzw. die Berufsorientierung von arbeitslosen Personen im SGB-II-Bezug zur Integration oder Reintegration in den allgemeinen Arbeitsmarkt gefördert.

Der Zuwendungszweck entspricht den Förderrichtlinien des Instrumentes Fi20A - Qualifizierung vor Beschäftigung.

 

",20.06.2016,15.12.2016,"91.100,16 €","49,92%",10997,DE300,"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
A & QUA gGmbH,Gästeführer/Stadtführer,"Mit diesem Projekt wird die berufliche Weiterbildung bzw. die Berufsorientierung von arbeitslosen Personen im SGB-II-Bezug zur Integration oder Reintegration in den allgemeinen Arbeitsmarkt gefördert.

Der Zuwendungszweck entspricht den Förderrichtlinien des Instrumentes Fi20A - Qualifizierung vor Beschäftigung.

 

",13.06.2016,12.12.2016,"74.137,50 €","49,92%",10997,DE300,"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
A & QUA gGmbH,Ausbildung in Sicht: Deutsch & Berufsorientierung für junge MigrantInnen,Ausbildung in Sicht: Deutsch & Berufsorientierung für junge MigrantInnen,01.09.2016,30.04.2017,"63.558,00 €",50%,10997,DE300,115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs...
A & QUA gGmbH,Vorbereitung auf Arbeit und Ausbildung in Pflege- und Betreuungsberufen,Vorbereitung auf Arbeit und Ausbildung in Pflege- und Betreuungsberufen,01.09.2016,30.06.2017,"61.632,00 €",50%,10997,DE300,115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs...
A & QUA gGmbH,Vorbereitung auf Erzieherberufe mit integrierter Deutsch-Förderung,"Mit diesem Projekt wird die berufliche Weiterbildung bzw. die Berufsorientierung von arbeitslosen Personen im SGB-II-Bezug zur Integration oder Reintegration in den allgemeinen Arbeitsmarkt gefördert.

Der Zuwendungszweck entspricht den Förderrichtlinien des Instrumentes Fi20A - Qualifizierung vor Beschäftigung.

",12.09.2016,09.03.2017,"87.541,56 €","49,92%",10997,DE300,"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
A & QUA gGmbH,Ausbildung in Sicht: Deutsch & Berufsorientierung für junge Neu-BerlinerInnen,Ausbildung in Sicht: Deutsch & Berufsorientierung für junge Neu-BerlinerInnen,04.10.2016,31.03.2017,"47.764,80 €",50%,10997,DE300,115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs...
A & QUA gGmbH,Online Marketing & Social Media mit integrierter Deutsch-Förderung ,"Mit diesem Projekt wird die berufliche Weiterbildung bzw. die Berufsorientierung von arbeitslosen Personen im SGB-II-Bezug zur Integration oder Reintegration in den allgemeinen Arbeitsmarkt gefördert.

Der Zuwendungszweck entspricht den Förderrichtlinien des Instrumentes Fi20A - Qualifizierung vor Beschäftigung.

 

",17.10.2016,13.04.2017,"88.253,28 €","49,92%",10997,DE300,"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
