Name des Begünstigten,Bezeichnung des Vorhabens,Jahr der Bewilligung,Jahr der Restzahlung,Gewährte Beträge,Bei Abschluss des Vorhabens gezahlte Gesamtbeträge
"""Admiral"" Objekt Wäsche und Arbeitskleidung GmbH","Messeteilnahme ""Alles für den Gast 2013"" in Salzburg (Österr.)",2014,2014,"1.950,00 €","1.950,00 €"
"""Admiral"" Objekt Wäsche und Arbeitskleidung GmbH","Messeteilnahme ""INTERNORGA 2014"" in Hamburg",2014,2015,"4.690,00 €","4.690,00 €"
"""Admiral"" Objekt Wäsche und Arbeitskleidung GmbH","Messeteilnahme: ""Alles für den Gast 2012"" in Salzburg",2013,,"0,00 €",
"""Admiral"" Objekt Wäsche und Arbeitskleidung GmbH","Messeteilnahme: ""Alles für den Gast"" 2011 in Salzburg",2011,2012,"2.030,00 €","2.030,00 €"
"""Admiral"" Objekt Wäsche und Arbeitskleidung GmbH","Messeteilnahme: ""Hotel & Gast Salzburg 2012"" in Salzburg",2012,2013,"1.520,00 €","1.520,00 €"
"""Brandenburg Komplett"" Bau GmbH","Messeteilnahme ""Bau + Energie 2013"" in Frankfurt (Oder)",2013,2013,"1.440,00 €","1.440,00 €"
"""Brandenburg Komplett"" Bau GmbH","Messeteilnahme ""Bauen + Energie 2009"" in Frankfurt/Oder",2009,2011,"1.380,00 €","1.380,00 €"
"""Brandenburg Komplett"" Bau GmbH","Messeteilnahme ""BAUEN + ENERGIE 2010"" in Frankfurt (Oder)",2010,2011,"1.470,00 €","1.470,00 €"
"""Brandenburg Komplett"" Bau GmbH","Messeteilnahme: ""Bau + Energie 2012"" in Frankfurt/Oder",2012,2012,"1.440,00 €","1.440,00 €"
"""Brandenburg Komplett"" Bau GmbH","Messeteilnahme: ""Bauen + Energie 2011"" in Frankfurt/ Oder",2011,2011,"1.440,00 €","1.440,00 €"
"""bring's "" Menüservice GmbH","Erweiterung einer Betriebsstätte zur Speisenproduktion und zum
Catering",2008,,"0,00 €",
"""Diagnostik Netzwerk Berlin-Brandenburg""(DiagnostikNet-
BB) e.V.","Gemeinschaftsstand ""MEDICA 2013"" in Düsseldorf",2013,,"19.976,00 €",
"""Diagnostik Netzwerk Berlin-Brandenburg""(DiagnostikNet-
BB) e.V.","Gemeinschaftsstand ""MEDICA 2013"" in Düsseldorf",2013,,"29.964,00 €",
"""Diagnostik Netzwerk Berlin-Brandenburg""(DiagnostikNet-
BB) e.V.",Medica 2014,2014,,"39.403,20 €",
"""Diagnostik Netzwerk Berlin-Brandenburg""(DiagnostikNet-
BB) e.V.",Medica 2014,2014,,"59.104,80 €",
"""Fleischerei Lehmann"" Trebbiner Fleisch- und
Wurstwaren GmbH","Erweiterung einer Betriebsstätte zur Herstellung von Fleisch- und
Wurstwaren",2008,2013,"105.556,70 €","105.556,70 €"
"""Fritze Bollmann"" Verlags-, EDV- und
Vertriebsgesellschaft mbH","Erweiterung einer Betriebsstätte zur Gravur von Glas, Kunststoff und
Metall",2008,,"0,00 €",
"""Haus am See"" Betriebsgesellschaft mbH",Erweiterung eines Wellness-Hotels,2009,2010,"360.000,00 €","360.000,00 €"
01soft UG (haftungsbeschränkt),Solution Provider in der Informationstechnologie durch Global Sourcing,2013,2014,"16.130,00 €","16.130,00 €"
1a Autoservice Barnim GmbH,"Erweiterung einer Betriebsstätte für die Instandhaltung undReparatur
von Kfz",2014,2014,"25.500,00 €","25.500,00 €"
3B TEC Aufbereitungssysteme GmbH,"Entwicklung und Konstruktion eines ergonomisch optimierten
Sicherheit-Parksystems für Fahrräder mit geringem Flächenbedarf",2009,2014,"259.887,00 €","259.887,00 €"
45info GmbH,"Technologie zur automatischen Erstellung von Informations-Clips für
das Internet und mobile Endgeräte",2010,2012,"74.060,00 €","74.060,00 €"
5N PV Gesellschaft für photovoltaische Produkte mbH,"Errichtung einer Betriebsstätte zur Herstellung von Cadmiumund
Cadmium-Erzeugnissen",2007,2010,"996.253,38 €","996.253,38 €"
A + A Entwicklungs- und Produktions GmbH,"Beratung zur Markterschließung für  hochwertiges  und innovatives
Meßgerät",2008,,"0,00 €",
A + B HIDES GmbH & Co. KG,Erweiterung einer Betriebsstätte zur Herstellung von Leder,2009,2010,"56.600,00 €","56.600,00 €"
A bis Z Oberflächenveredelung GmbH & Co. KG,"Entwicklung eines langfristigen Korrisionsschutz für Schiffe im
Unterwasserbereich",2008,2010,"82.017,00 €","82.017,00 €"
A bis Z Oberflächenveredelung GmbH & Co. KG,"Messeteilnahme ""INNOTrans 2010""",2010,2010,"1.990,00 €","1.990,00 €"
A bis Z Oberflächenveredelung GmbH & Co. KG,"Rationalisierung einer Betriebsstätte der Oberflächenveredlung sowie
des Beherbergungsgewerbes",2007,2009,"82.000,00 €","82.000,00 €"
"A. Schmidt, Lehmann & Co. GmbH","Beratung zur Entwicklung eines Organisationskonzeptes für ein flaches
Hochregal-Lagersystem und Optimierung",2010,2011,"22.500,00 €","22.500,00 €"
"A. Schmidt, Lehmann & Co. GmbH","Beratung zur Optimierung der Organisation im Produktions- ablauf und
der Logistikprozesse",2009,2011,"25.000,00 €","25.000,00 €"
"a.novum Blister Centrum Berlin/Brandenburg GmbH &
Co. KG","Beschäftigung eines Innovationsassistenten im Bereich Innovations-,
Produktions- und Umweltmanagement",2008,2012,"30.000,00 €","30.000,00 €"
"a.novum Blister Centrum Berlin/Brandenburg GmbH &
Co. KG",Errichtung einer Betriebsstätte zur Herstellung von Arzneimitteln,2007,,"0,00 €",
A+S Technigro Arbeitsschutz- und Sicherheit GmbH,Beratung zum Aufbau eines Qualitätsmanagementsystems,2010,2011,"7.200,00 €","7.200,00 €"
Abbundtechnik Müller GmbH,Errichtung einer Betriebsstätte zur Herstellung von Holzelementen,2008,2009,"73.200,00 €","73.200,00 €"
