Name des Begünstigten,Bezeichnung des Vorhabens / Zusammenfassung des Vorhabens,Beginns des Vorhabens,Gesamtbetrag der förderfähigen Ausgaben des Vorhabens  ,Unions-Kofinan-zierungssatz  pro Prioritäts-achse ,Ort des Vorhabens,Land,Bezeichnung der Interventionskategorie
"""Diagnostik Netzwerk Berlin-Brandenburg"" (DiagnostikNet-BB) e.V.","Gemeinschaftsstand ""Medica 2015"" in Düsseldorf ",20.05.2014,"102.691,05 € ",80%,"Hennigsdorf, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
"""Diagnostik Netzwerk Berlin-Brandenburg"" (DiagnostikNet-BB) e.V.",Gemeinschaftsstand AACC 2015 in Atlanta ,20.05.2014,"41.991,00 € ",80%,"Hennigsdorf, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
"""Diagnostik Netzwerk Berlin-Brandenburg"" (DiagnostikNet-BB) e.V.","Gemeinschaftsstand ""AACC 2016"" in Philadelphia ",02.06.2016,"48.100,00 € ",80%,"Hennigsdorf, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
99coaches GmbH ,Entwicklung und Markteintritt der Software 99coaches (Basic- und Personalversion) sowie Entwicklung einer Sportler-App,09.11.2015,"133.333,34 € ",80%,"Potsdam, Stadt",Deutschland,"067 Entwicklung von KMU, Förderung von Unternehmertum und Gründerzentren"
Addisco Education GmbH ,Weiterentwicklung einer Technologie zur Orientierungshilfe bei der Studien- bzw. Ausbildungswahl,23.03.2016,"133.334,00 € ",80%,"Potsdam, Stadt",Deutschland,"067 Entwicklung von KMU, Förderung von Unternehmertum und Gründerzentren"
AEROTOURS GmbH ,"Messeteilnahme: ""ILA 2016"" in Berlin ",22.02.2016,"9.082,00 € ",80%,"Strausberg, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
AGG Anlagen- und Gerätebau GmbH ,"Messeteilnahme: ""InnoTrans 2016"" in Berlin ",23.10.2014,"29.200,00 € ",80%,"Potsdam, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
Air Bamboo Industrial GmbH ,Einrichtung einer Prototypenwerkstatt für innovative Bambus basierte Leichtbauplatten für industrielle Anwendungen,28.01.2016,"133.038,35 € ",80%,"Eberswalde, Stadt",Deutschland,"067 Entwicklung von KMU, Förderung von Unternehmertum und Gründerzentren"
AkoTec Produktionsgesellschaft mbH ,"Messeteilnahme: ""Intersolar Europe 2015"" in München ",11.03.2015,"5.512,28 € ",80%,"Angermünde, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
AKTIF Technology GmbH Software-Entwicklung,"Messeteilnahme: ""E-world energy & water 2016"" in Essen ",24.06.2015,"8.609,80 € ",80%,"Senftenberg, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
AKTIF Technology GmbH Software-Entwicklung,"Messeteilnahme: ""E-world energy & water 2017"" in Essen ",08.06.2016,"11.266,00 € ",80%,"Senftenberg, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
amperetta GmbH ,"Messeteilnahme: ""METS 2015"" in Amsterdam ",05.06.2015,"9.570,19 € ",80%,"Potsdam, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
