Begünstigte/r,Maßnahmebezeichnung,Jahr der Bewilligung / Jahr der Restzahlung,Bewilligte Beträge,Bei Abschluss des Vorhabens gezahlte Gesamtbeträge
"2M Gruppe GmbH -
Gebäudereinigungsunternehmen Potsdam","Qualifizierung in kleinen und mittleren Unternehmen -Fachwirt für Reinigungs- und
Hygienemanagement (FIGR)",2014,"5.124,00",
3 B gemeinnützige Bildungs GmbH Zehdenick,"Ausbildungsplatzprogramm-Ost 2009, Kooperatives Modell",2011,,"43.423,40"
3 B gemeinnützige Bildungs GmbH Zehdenick,"Ausbildungsplatzprogramm-Ost 2009, Kooperatives Modell",2014,,"95.987,06"
3A Kunstguß Lauchhammer GmbH,Qualifizierung in kleinen und mittleren Unternehmen -Englisch,2014,"1.680,00",
3B gemeinnützige Bildungs GmbH Zehdenick,"Qualifizierung in kleinen und mittleren Unternehmen - Sonderpädagogische
Zusazqualifizierung für die Berufsausbildung behinderter Menschen",2012,,"5.222,99"
3B gemeinnützige Bildungs GmbH Zehdenick,"Qualifizierung in kleinen und mittleren Unternehmen - Sonderpädagogische
Zusatzqualifizierung",2012,,"14.497,73"
45info GmbH Potsdam - Internetagentur,"Beschäftigung von Werkstudierenden im Rahmen eines betrieblichen
Innovationsprojektes",2013,"5.602,50",
45info GmbH Potsdam - Internetagentur,Stipendien an Studierende zur Erstellung einer Abschlussarbeit,2014,"2.250,00",
A & O gemeinnützige GmbH 4 you,"Lohnkostenzuschuss für arbeitslose Ältere und Alleinerziehende in Brandenburger
Unternehmen",2014,"11.398,50",
"A & O Handels-, Dienstleistungs- und
Vertriebsgesellschaft mbH","Lohnkostenzuschuss für arbeitslose Ältere und Alleinerziehende in Brandenburger
Unternehmen",2014,"10.585,77",
A & S Schweißtechnik GmbH,Qualifizierung in kleinen und mittleren Unternehmen -Qualitätsbeauftragter,2014,,"1.862,00"
A&M Guestcompany GmbH,"Beschäftigung einer Innovationsassistentin bzw. eines Innovationsassistenten im
Bereich: Weiterentwicklung des Online-Gästemanagement-Systems",2013,"30.360,00",
"A. Schmidt, Lehmann & Co. GmbH","Qualifizierung in kleinen und mittleren Unternehmen -Projektmanagement,
Lieferantenmanagement, Prozessanalysen und Prozessvisualisierungen u. a.",2014,,"13.999,00"
A.A.T. Autohaus Auto-Tech GmbH,"Qualifizierung in kleinen und mittleren Unternehmen -Basis-Schulung, Grundschulung
Teilewesen, Grundschulung Service, Grundschulung Buchhaltungsschnittstelle u. a.",2014,,"12.600,00"
A.G. Gutsche Tiefbau GmbH,"Lohnkostenzuschuss für arbeitslose Ältere und Alleinerziehende in Brandenburger
Unternehmen",2014,"22.737,60",
A.G. Gutsche Tiefbau GmbH,"Lohnkostenzuschuss für arbeitslose Ältere und Alleinerziehende in Brandenburger
Unternehmen",2014,"20.114,19",
A.G. Gutsche Tiefbau GmbH,"Lohnkostenzuschuss für arbeitslose Ältere und Alleinerziehende in Brandenburger
Unternehmen",2014,"19.239,66",
A.G. Gutsche Tiefbau GmbH,"Lohnkostenzuschuss für arbeitslose Ältere und Alleinerziehende in Brandenburger
Unternehmen",2014,"20.114,19",
A.G. Gutsche Tiefbau GmbH,"Lohnkostenzuschuss für arbeitslose Ältere und Alleinerziehende in Brandenburger
Unternehmen",2014,"20.114,19",
A.G. Gutsche Tiefbau GmbH,"Lohnkostenzuschuss für arbeitslose Ältere und Alleinerziehende in Brandenburger
Unternehmen",2014,"22.737,60",
A.G. Gutsche Tiefbau GmbH,"Lohnkostenzuschuss für arbeitslose Ältere und Alleinerziehende in Brandenburger
Unternehmen",2014,"22.737,60",
A.G. Gutsche Tiefbau GmbH,"Lohnkostenzuschuss für arbeitslose Ältere und Alleinerziehende in Brandenburger
Unternehmen",2014,"9.582,30",
A.M.M. Aktionszentrum Multi Media GmbH Potsdam,Bildungsscheck,2012,,"448,20"
A.M.M. Aktionszentrum Multi Media GmbH Potsdam,Bildungsscheck,2012,,"471,96"
A.P.A. Ingenieurgesellschaft GmbH Rathenow,Qualifizierung in kleinen und mittleren Unternehmen - AutoCAD Architekt,2009,,"1.586,90"
"A.S.R - Altbausanierungsunternehmen Schipkau
GmbH","Qualifizierung in kleinen und mittleren Unternehmen - Sachkunde ASI,
Verantwortliche Person § 52 Krw-/AbfG u. a.",2011,,"2.048,00"
"able exist GmbH - Unternehmensberatung und
Projektplanung Neuruppin",Qualifizierung in kleinen und mittleren Unternehmen - Gründungsberater,2013,,"2.625,00"
aboni GmbH für Mess- und Automatisierungstechnik,"Beschäftigung von Werkstudierenden im Rahmen eines betrieblichen
Innovationsprojektes",2014,"3.735,00",
"ABS GmbH Storkow - Aluminium-, Blech-, Edelstahl-,
Stahlbearbeitung",Qualifizierung in kleinen und mittleren Unternehmen - MU - Schweißfachingenieur,2009,,"3.000,00"
"ABS GmbH Storkow - Aluminium-, Blech-, Edelstahl-,
Stahlbearbeitung","Qualifizierung in kleinen und mittleren Unternehmen - moderne
Unternehmenssoftware, Management und Gestaltung der Produktionsprozesse",2014,,"48.671,00"
"ABS Hennigsdorf - Gesellschaft für Arbeitsförderung,
Beschäftigung und Strukturentwicklung mbH",Teilprojekt Regionalbudget Oberhavel,2011,"61.050,00",
"ABS Prignitz GmbH - Arbeit - Bildung - Service
Wittenberge",Schaffung von direkten Beschäftigungsperspektiven für langzeitarbeitslose Personen,2012,"335.525,10",
"ABS Prignitz GmbH - Arbeit - Bildung - Service
Wittenberge",Teilprojekt Regionalbudget Prignitz,2011,"36.593,60",
Abschlepp Günther GmbH,"Lohnkostenzuschuss für arbeitslose Ältere und Alleinerziehende in Brandenburger
Unternehmen",2014,"24.450,00",
Abschleppdienst Bernd Witt KG,"Qualifizierung in kleinen und mittleren Unternehmen -Führungskräfteseminar,
Effektive Fehlersuche Airbag, Gurtstraffer, Korrekte und effektive Reparatur an
Fahrzeugen, Rechnungslegung, Bergungsleiter",2013,"5.377,99",
ABW GmbH Angermünde,"Ausbildungsplatzprogramm-Ost 2009, Kooperatives Modell",2013,,"144.674,35"
"AC & DC Elektroinstallation Vogel, Wolfgang","Qualifizierung in kleinen und mittleren Unternehmen -KNX - Projektierung und
Inbetriebnahme",2014,,"692,30"
Academy of Sports GmbH Backnang,Bildungsscheck,2012,,"249,90"
Academy of Sports GmbH Backnang,Bildungsscheck,2012,,"249,90"
Academy of Sports GmbH Backnang,Bildungsscheck,2012,,"249,90"
Academy of Sports GmbH Backnang,Bildungsscheck,2012,,"500,00"
Academy of Sports GmbH Backnang,Bildungsscheck,2012,,"500,00"
Ackerknecht & Barthel GbR Institut für IT-Ausbildung,Bildungsscheck,2013,,"932,96"
"ACOL Gesellschaft für Arbeitsförderung mbH,
Cottbus","""Tourismus für Alle"" - Verbesserung der sozialen Eingliederung von arbeitslosen
Frauen und Männern",2012,"341.225,00",
