NAME DES BEGÜNSTIGTEN,NAME DES PROJEKTS,JAHR DER BEWILLIGUNG,JAHR DES ABSCHLUSSES,VORGESEHENE ÖFFENTLICHE BETEILIGUNG,ENDGÜLTIGE BETEILIGUNG NACH ABSCHLUSS DES PROJEKTS
A. Weidelt Systemtechnik GmbH & Co. KG,"Einzelbetriebliche Förderung nach dem
Landesinvestitionsförderprogramm (LIP)",2007,2008,,"159.965,00"
ABE-TEC Bremen GmbH,"Einzelbetriebliche Förderung nach dem
Landesinvestitionsförderprogramm (LIP)",2011,2012,,"30.000,00"
"Abraxas Medien, Hamm & Wächter GbR","Förderung der Forschung und Entwicklung in betrieblichen
Innovationsprojekten (FEI-Richtlinie), Gesundheitswirtschaft:
Spiel dich fit und gesund",2011,2013,,"49.960,00"
acousticpearls GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2011,2013,,"6.000,00"
acousticpearls GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2010,2010,,"3.317,00"
Advantec Engineering GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2013,2014,,"5.426,00"
AES Aircraft Elektro/Elektronik System GmbH,"Förderung Forschung und Entwicklung in Innovationsprojekten
(FEI)",2011,2013,,"100.000,00"
AES Aircraft Elektro/Elektronik System GmbH,"Förderung Forschung und Entwicklung in Innovationsprojekten
(FEI)",2011,2013,,"99.774,00"
AES Aircraft Elektro/Elektronik System GmbH,"Einzelbetriebliche Förderung nach dem
Landesinvestitionsförderprogramm (LIP)",2011,,"255.000,00",
Agrochemica GmbH,"Einzelbetriebliche Förderung nach dem
Landesinvestitionsförderprogramm (LIP)",2007,2009,,"75.000,00"
AKON CAD-Service,"Programm zur Förderung anwendungsnaher Umwelttechniken
(PFAU): Composite Structure-Flexible Automated Production",2009,,"60.230,00",
"Alfred-Wegener-Institut für Polar- und
Meeresforschung (AWI)","Förderung Forschung und Entwicklung in Innovationsprojekten
(FEI): FlexiHyp",2010,,"96.978,00",
"Alfred-Wegener-Institut für Polar- und
Meeresforschung (AWI)","Förderprogramm Angewandte Umweltforschung (AUF):
Alternative Futtermittel für die Aquakultur mariner Fischlarven
(Fischfutter)",2009,,"15.000,00",
"Alfred-Wegener-Institut für Polar- und
Meeresforschung (AWI)","Fonds Wissenschaftliche Kongresse: Konferenz zur
Ozeanversauerung 2010",2010,,"16.985,00",
algorithmica technologies GmbH,"Programm zur Förderung anwendungsnaher Umwelttechniken
(PFAU): Ressourceneffizienzsteigerung durch
qualitätsorientierte Prozessüberwachung",2009,2011,,"140.584,00"
algorithmica technologies GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2008,2009,,"10.000,00"
Ambulante Reha Friedehorst gGmbH,"Förderung der Forschung und Entwicklung in betrieblichen
Innovationsprojekten (FEI-Richtlinie),
Gesundheitswirtschaft:Rehabilitation zu Hause",2011,2013,,"17.743,75"
Ambulante Reha Friedehorst gGmbH,"Förderung der Forschung und Entwicklung in betrieblichen
Innovationsprojekten (FEI-Richtlinie),
Gesundheitswirtschaft:Früherkennung und Therapie von
neurodegenerativen Krankheiten",2012,2014,,"4.437,50"
Amt für Straßen und Verkehr,"Stärkung des Stadtteilzentrums Walle - Umbau
Wartburgstraße",2007,2010,,"1.712.164,39"
Amt für Straßen und Verkehr,"Stärkung des Stadtteilzentrums Walle - Umbau und Sanierung
Waller Ring / Osterfeuerberger Ring",2009,,"2.530.000,00",
"Amtliche Materialprüfungsanstalt Bremen
(MPA)","Förderprogramm Angewandte Umweltforschung (AUF):
Einsatz von Hochfrequenz-Ultraschall zur Keimreduktion in
wassergemischten Kühlschmierstoffen (HUSKK)",2012,,"24.262,00",
"Amtliche Materialprüfungsanstalt Bremen
(MPA)",Förderprogramm Angewandte Umweltforschung (AUF): Auster,2011,,"129.000,00",
"Amtliche Materialprüfungsanstalt Bremen
(MPA)","Förderprogramm Angewandte Umweltforschung (AUF): Scale
up des Porenbetonrecyclings (RecyLeichtwand)",2011,,"133.310,00",
aqua consult Ingenieur GmbH,"Förderprogramm Angewandte Umweltforschung (AUF):
Behandlung von Abwässern aus Olivenmühlen in
Griechenland (GreOlive)",2011,2011,,"3.390,50"
Arbeit und Lernzentrum e. V.,Arbeitspolitische Maßnahmen: Bremer Weg-Verkauf,2013,,"4.571,25",
Arbeitnehmerkammer Bremen,"Wissenstransfer zur präventiven Unterstützung von Betrieben
zur Verhinderung von Berufskrankheiten",2011,,"66.416,13",
"Arbeitsförderungs Zentrum im Lande Bremen
GmbH",Ein Ort für Umwelt - Bildung - Begegnung,2010,,"1.600.000,00",
"Arbeitsförderungs Zentrum im Lande Bremen
GmbH",ZiB - Zukunft im Beruf 2011,2011,,"155.000,00",
"Arbeitsförderungs Zentrum im Lande Bremen
GmbH","Revitalisierung von Ortsteilen Lehes - Einrichtung einer
Quartiersmeisterei",2014,,"100.000,00",
"Arbeitsförderungs Zentrum im Lande Bremen
GmbH",Arbeitspolitische Maßnahmen: Schule für Eltern,2013,,"8.393,50",
"Arbeitsförderungs Zentrum im Lande Bremen
GmbH","Revitalisierung ""Alte Bürger"" Bremerhaven - Einrichtung eines
Stadtteilbüros",2010,,"1.343.600,00",
"Arbeitsförderungs Zentrum im Lande Bremen
GmbH",Naturerleben in Leherheide,2012,,"780.200,00",
AREVA Wind GmbH,"Förderung Forschung und Entwicklung in Innovationsprojekten
(FEI): Service-Logistik-Konzepte",2011,,"93.750,00",
AREVA Wind GmbH,"Einzelbetriebliche Förderung nach dem
Landesinvestitionsförderprogramm (LIP)",2011,,"1.579.450,00",
ATACAMA Software GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2012,2012,,"6.698,00"
ATACAMA Software GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2010,2011,,"5.853,00"
ATACAMA Software GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2008,2009,,"4.536,00"
ATACAMA Software GmbH,"Förderung der Forschung und Entwicklung in betrieblichen
Innovationsprojekten (FEI-Richtlinie), Gesundheitswirtschaft:
Entwicklung und Einführung einer Pflege- und
Versorgungssoftware",2009,2011,,"60.200,00"
ATACAMA Software GmbH,"Förderung der Forschung und Entwicklung in betrieblichen
Innovationsprojekten (FEI-Richtlinie), Gesundheitswirtschaft:
Wissensdatenbank für Pflegende",2012,2014,,"99.200,00"
ATO interactive GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2013,2014,,"6.000,00"
ATO interactive GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2009,2009,,"6.000,00"
