Name des Begünstigten,Bezeichnung des Vorhabens,Jahr Bewilligung ,Jahr Projektende,Gewährte Beträge,bei Abschluss des Vorhabens gezahlte Gesamtbeträge
Bürgerhaus Gemeinschaftszentrum Obervieland,Beratungspier,2012,2013,,"9182,78"
Bürgerhaus Gemeinschaftszentrum Obervieland,Berufsorientierendes Beratungsangebot im BGO,2011,2011,,"9133,59"
Bürgerhaus Gemeinschaftszentrum Obervieland,Beratungspier für Berufseinsteiger,2013,2014,10000,
12Rounds GmbH,Self Defence im Jugendhaus,2010,2011,,"750,21"
Abakus-Naturkost,Ausbildungsverhältnis,2013,2014,4000,
Abakus-Naturkost,Ausbildungsverhältnis,2012,2013,,4000
AfJ e.V - Kinder- und Jugendhilfe Bremen,Fit für die Berufsausbildung,2008,2009,,"8328,86"
AfJ e.V - Kinder- und Jugendhilfe Bremen,Mädchen erkunden Medienberufe,2008,2009,,"2224,8"
"AGAB - Aktionsgemeinschaft arbeitsloser
Bürgerinnen und Bürger e.V.","Offene Beratungsstelle für Erwerbslose, Geringverdiener
und von Erwerbslosigkeit Bedrohte",2013,2014,543900,
"AGAB - Aktionsgemeinschaft arbeitsloser
Bürgerinnen und Bürger e.V.","Offene Beratung für Erwerbslose, Geringverdiener und von
Erwerbslosigkeit Bedrohte",2008,2010,"906768,84",
"AGAB - Aktionsgemeinschaft arbeitsloser
Bürgerinnen und Bürger e.V.","Offene Beratungsstelle für Erwerbslose, Geringverdiener
und von Erwerbslosigkeit Berohte 2011 und 2012",2011,2012,"700827,86",
Ahrens Hoch- und Tiefbau GmbH,Ausbildungsverhältnis,2012,2013,,5000
Akademie des Handwerks Unterweser e.V.,Ausbildungsverhältnis,2013,2014,4000,
Akademie Überlingen- N. Glasmeyer GmbH,"Injobs-ESF Akademie Überlingen- N. Glasmeyer GmbH
U65T, geförderte Beschäftigung",2011,2011,232848,
Aktion Kultur u. Freizeit für Huchting u. Grolland e.V.,"Persönliche Geschichten von Huchtinger Jugendlichen zu
den Menschenrechten",2009,2010,,9900
Aktion Kultur u. Freizeit für Huchting u. Grolland e.V.,"Ich kann was dafür tun, dass unsere Zukunft gerechter
wird!",2012,2013,7200,
Aktion Rückenwind für Leher Kinder e. V.,Mitmachbaustelle,2011,2011,,"9352,18"
Aktion Rückenwind für Leher Kinder e. V.,"Langzeitarbeitslose organisieren Mitmachbaustellen für
Kinder",2012,2013,"9983,34",
Ambulante Drogenhilfe gGmbH,"Info- und Psychoedukationsgruppe Kokain und
Amphetamine",2011,2011,,"2548,05"
Ambulante Drogenhilfe gGmbH,"Cannabis-Projekt im jobcenter für junge Arbeitlose bis 26
Jahre",2013,2014,"7392,96",
Ambulante Drogenhilfe gGmbH,"Gesundheitsbeförderung im Offenen Bereich des DHZ-
Nord",2011,2012,,"9965,31"
Anatoli Aman,Bremerhavener Gesichter bei der Arbeit,2013,2013,10000,
Anatoli Aman,Leher gestalten Kindergärten,2008,2009,,"9841,52"
Anatoli Aman,Bremerhaven malen ist ein Experiment,2011,2012,,10000
Anatoli Aman,Leher malen im Zoo,2010,2011,,"9903,87"
Andreas Carsch,Ausbildungsverhältnis,2012,2013,4000,
"Anja Meinl
Frisiersalon",Ausbildungsverhältnis,2012,2013,,1200
Annelen de Mora,"Internetauftritt, Marketing und Büroorganisation",2013,2014,10000,
Annelen de Mora,Neue Perspektiven für Jugendliche ohne Perspektive,2013,2014,10000,
Arbeit und Lernzentrum e.V.,Vier B,2012,2013,"19982,45",
Arbeit und Lernzentrum e.V.,"Bremen produktiv - integrativ Arbeit und Lernzentrum /
Angepackt und losgelegt",2008,2010,,"703134,73"
Arbeit und Lernzentrum e.V.,"Bremen produktiv - integrativ Arbeit und Lernzentrum /
Beschäftigung, Integration, Stadtentwicklung für Bremen-
Nord (BIS Bremen-Nord)",2008,2010,"2152378,87",
Arbeit und Lernzentrum e.V.,"Bremen produktiv - integrativ Arbeit und Lernzentrum /
Soziale Integration (integrativ)",2008,2010,"218706,07",
Arbeit und Lernzentrum e.V.,"Injobs-ESF alz U65SI11, geförderte Beschäftigung",2011,2011,105840,
Arbeit und Lernzentrum e.V.,"MOP. Arbeit und Lernzentrum e. V., ""Bremer Konsens im
Handwerk""; Modellprojekt geförderte Beschäftigung ab
08/2012",2012,2014,"119950,22",
Arbeit und Lernzentrum e.V.,"Injobs-ESF alz U65R11, geförderte Beschäftigung",2011,2011,134064,
Arbeit und Lernzentrum e.V.,AlsoNord,2013,2014,98000,
Arbeit und Lernzentrum e.V.,MiLo alz FAV,2012,2013,"8737,7",
Arbeit und Lernzentrum e.V.,"SVB.Z. Arbeit und Lernzentrum e. V., LaST ""Lager,
Spedition, Transport"", geförderte Beschäftigung",2011,2011,,"194799,32"
Arbeit und Lernzentrum e.V.,"SVB.V. Arbeit und Lernzentrum e. V., LiSa ""Lüssum - im
Stadtteil aktiv"", geförderte Beschäftigung",2011,2011,305592,
Arbeit und Lernzentrum e.V.,"SVB.O. Arbeit und Lernzentrum e. V., ""Stadt-Spiel"",
geförderte Beschäftigung",2011,2012,,"332452,2"
Arbeit und Lernzentrum e.V.,"MAE. Arbeit und Lernzentrum e. V.,  T-Recx ""Textiles
Recycling"", geförderte Beschäftigung",2011,2013,350880,
Arbeit und Lernzentrum e.V.,Dienstleistungszertifikat in Lüssum,2009,2010,,"5903,62"
Arbeit und Lernzentrum e.V.,"Injobs-ESF MAE.U65R. Arbeit und Lernzentrum e. V.,
""Regionales Netzwerk Nord"", geförderte Beschäftigung ab
26.03.2012",2012,2012,88002,
Arbeit und Lernzentrum e.V.,AlsoNord,2011,2012,"133039,02",
Arbeit und Lernzentrum e.V.,Arbeitslosen- und Sozialberatung Nord,2008,2010,,"237394,85"
Arbeit und Lernzentrum e.V.,"MAE. Arbeit und Lernzentrum e. V., ""T-Recx""; geförderte
Beschäftigung ab 02/2013",2013,2014,102339,
Arbeit und Lernzentrum e.V.,"MAE.U65R. Arbeit und Lernzentrum e. V., ""Regionales
Netzwerk - Netz Nord""; geförderte Beschäftigung ab
02/2013",2013,2014,487458,
Arbeiterwohlfahrt Kreisverband Bremerhaven e.V.,SO KO Grünhöfe,2011,2012,,2530
Arbeitsförderungs-Zentrum im Lande Bremen GmbH,ZIB- Frau und Beruf,2012,2014,"500572,12",
Arbeitsförderungs-Zentrum im Lande Bremen GmbH,Projektbüro Tourismus,2008,2010,,"491087,1"
