Zuwendungsempfänger,Projekt,Beginn,Ende,"bereitgestellte
öffentliche Mittel","davon bewilligter
EU-Betrag","bei Abschluss des
Vorhabens
gezahlte
Gesamtbeträge"
Alraune gGmbH,Aktivierung und Begleitung suchtmittelabhängiger LZA,01-Jul-12,30-Jun-14,"1.527.355,79","621.549,53",
Alraune gGmbH,BIA,01-Aug-08,31-Jul-11,,,"511.934,60"
Aqtivus Service gGMBH,Berufschancen Hafen,01-Jan-08,31-Dez-09,,,"214.198,94"
Aqtivus Service gGMBH,Existenzgründungsberatung für Migranten,01-Jan-08,31-Dez-10,,,"421.265,80"
Aqtivus Service gGMBH,Hamburger Business Starter,01-Jan-11,31-Dez-12,,,"709.492,12"
Aqtivus Service gGMBH,ICB,01-Mrz-09,28-Feb-11,,,"649.093,23"
Aqtivus Service gGMBH,Nabucco,01-Jan-10,31-Dez-13,"901.985,91","394.345,58",
Aqtivus Service gGMBH,PE- Ausbildungsagentur,01-Jan-11,31-Jan-14,"848.540,03","425.370,76",
Aqtivus Service gGMBH,Schülercoaching Starthilfe,01-Jan-08,31-Jul-11,,,"940.727,61"
Arbeit und Leben DGB/VHS Hamburg e.V.,Achtung Chancen – Teilhabe stärken,01-Mrz-12,28-Feb-14,"399.998,65","199.436,15",
Arbeit und Leben DGB/VHS Hamburg e.V.,Agentur für regionale Bildungskooperation HH-Mitte,01-Jan-10,31-Dez-13,"397.575,75","201.253,26",
Arbeit und Leben DGB/VHS Hamburg e.V.,Beratungsstelle Arbeitnehmerfreizügigkeit,15-Mrz-12,31-Dez-13,"538.349,49","269.174,74",
Arbeit und Leben DGB/VHS Hamburg e.V.,Förderung der Mobilität durch Partnerschaften,01-Jan-11,31-Dez-13,"2.423.238,93","1.415.780,45",
Arbeit und Leben DGB/VHS Hamburg e.V.,Handicap - Beratung plus Qualifizierung,01-Jan-11,31-Dez-12,,,"567.870,47"
Arbeit und Leben DGB/VHS Hamburg e.V.,Handicap - Integraplus,01-Jan-08,31-Dez-10,,,"899.545,27"
Arbeit und Leben DGB/VHS Hamburg e.V.,Mobilität fördern,01-Jan-08,31-Dez-10,,,"1.483.335,74"
Arbeit und Leben DGB/VHS Hamburg e.V.,Mobilität in der Aus- und Weiterbildung,01-Mrz-09,29-Feb-12,,,"755.089,26"
Arbeit und Leben DGB/VHS Hamburg e.V.,Skills und Innovation,01-Okt-10,31-Dez-13,"528.485,25","263.675,16",
Arbeit und Leben DGB/VHS Hamburg e.V.,Startklar für Europa!,01-Mrz-12,28-Feb-14,"533.394,90","229.988,90",
Arbeit und Leben DGB/VHS Hamburg e.V.,Trampolin - Mobilitätsagentur,01-Mrz-09,29-Feb-12,,,"826.304,29"
Arbeiter-Samariter-Bund Sozialeinrichtungen,Soziale Jungs,01-Jan-10,31-Jan-14,"354.340,04","150.666,37",
Arbeitsgemeinschaft selbständiger Migranten e.V.,Ausbildungsagentur für Handel und Dienstleistungen,01-Jan-08,28-Feb-11,,,"584.012,71"
Arbeitsgemeinschaft selbständiger Migranten e.V.,Dienstleistungszentrum,01-Jan-08,31-Dez-10,,,"390.103,29"
Arbeitsgemeinschaft selbständiger Migranten e.V.,Hamburger Mediationsservice Ausbildung,01-Jan-11,31-Aug-13,"483.961,95","243.081,73",
ARINET Arbeits-Integrations-Netzwerk GmbH,NetQ. - Weiterbildungsnetzwerk und Beratungsstelle,01-Jan-10,31-Dez-12,,,"563.969,55"
ARINET Arbeits-Integrations-Netzwerk GmbH,PiCo - Personenindividuelles Coaching -,01-Mrz-09,31-Dez-13,"1.254.327,81","647.439,16",
autonome Jugendwerkstätten Hamburg e.V.,Modularisierte Ausbildung,01-Sep-08,31-Aug-11,,,"795.965,66"
BASIS & WOGE e.V.,Brückenbau,01-Jan-08,31-Jan-11,,,"396.245,34"
BASIS & WOGE e.V.,Chancen für Flüchtlinge,01-Mrz-11,31-Dez-13,"1.066.651,26","600.625,43",
Behörde für Justiz und Gleichstellung,Fit auf den Weg,01-Jan-08,31-Dez-10,,,"564.866,18"
Behörde für Justiz und Gleichstellung,Fit For The Future,01-Jan-11,31-Dez-13,"2.060.136,68","684.241,46",
Behörde für Justiz und Gleichstellung,Frauen starten,01-Jan-11,31-Dez-13,"2.402.325,28","1.077.413,15",
Behörde für Justiz und Gleichstellung,NEWIPE,01-Jan-11,31-Dez-13,"2.862.118,53","1.119.530,66",
Behörde für Justiz und Gleichstellung,proFit by BASICS,01-Jan-08,31-Dez-10,,,"782.237,83"
Behörde für Justiz und Gleichstellung,Qua-FiT - Qualifizierung und Arbeit - Frauen,01-Jan-08,31-Dez-10,,,"517.970,80"
Berufsbildungswerk Hamburg GmbH,TransFer,01-Jan-08,31-Jul-11,,,"754.632,73"
Berufsfortbildungswerk Gemeinnützige Bildungseinrichtung des DGB GmbH,AQUA IF 2,01-Jan-08,31-Dez-10,,,"903.126,99"
Berufsfortbildungswerk Gemeinnützige Bildungseinrichtung des DGB GmbH,Kenntnisprüfung Gesundheits- u. Krankenpflege,01-Jan-08,31-Dez-10,,,"155.554,81"
Berufsfortbildungswerk Gemeinnützige Bildungseinrichtung des DGB GmbH,Vorbereitung auf die Kenntnisprüfung (KrPflG § 2),01-Jan-11,31-Dez-13,"352.049,30","158.730,09",
Beschäftigung und Bildung e.V.,Ausbildungsagentur „Ausbildung ist Zukunft“,01-Jan-11,31-Jan-14,"613.897,40","308.049,46",
Beschäftigung und Bildung e.V.,Beratungsstelle für Nahversorgungszentren,01-Jan-13,31-Jul-13,"138.441,62","68.906,36",
Beschäftigung und Bildung e.V.,BFN-Bergedorf,01-Aug-10,31-Dez-12,,,"350.750,54"
Beschäftigung und Bildung e.V.,Förderung der lokalen Wirtschaft,01-Jan-08,31-Dez-12,,,"1.388.124,28"
Beschäftigung und Bildung e.V.,Kulturservice Hamburg-Nord,01-Jul-10,31-Dez-11,,,"222.988,25"
Beschäftigung und Bildung e.V.,Teilzeitausbildung in Hamburg,01-Mrz-10,31-Jul-13,"615.688,25","308.944,88",
Beschäftigung und Bildung e.V.,Welt-Gewerbe-Hof,15-Feb-09,31-Dez-12,,,"298.884,16"
bfw Vermittlungskontor GmbH,KOSmos Kompetenz Sehgeschädigter im Job sichtbar,01-Mrz-12,31-Dez-13,"290.669,93","145.334,97",
BI Beruf und Integration Elbinseln gGmbH,Berufsausbildung für unversorgte Jugendliche,01-Sep-08,30-Jun-11,,,"409.203,05"
BI Beruf und Integration Elbinseln gGmbH,MINT Werk,01-Mrz-09,31-Dez-10,,,"239.775,18"
BI Beruf und Integration Elbinseln gGmbH,Selbstverantwortlich in die berufl. Zukunft,01-Jan-08,31-Jul-11,,,"1.203.000,96"
BiBer-Team Hamburg Bildung und Beratung GmbH i.L.,Bausteine im  Dialogmarketing,01-Aug-08,31-Jul-10,,,"401.733,67"
Bildungswerk der Wirtschaft Hamburg e.V.,PE hoch drei,01-Jan-08,31-Dez-10,,,"475.315,09"
Bürgschaftsgemeinschaft Hamburg GmbH,BG-Start!,01-Jan-08,30-Jun-11,,,"694.016,21"
Bürgschaftsgemeinschaft Hamburg GmbH,BG-Start!- Krisenprävention für Existenzgründer,01-Jan-11,31-Dez-13,"1.748.799,12","870.069,52",
Bürgschaftsgemeinschaft Hamburg GmbH,Gründernetzwerk+,01-Feb-08,30-Jun-09,,,"135.384,71"
C1 WPS Work Place Solutions Gesellschaft für DV-Beratung mbH,Schriftspracherwerb für Gehörlose mit Web 2,01-Jul-10,30-Jun-13,,,"308.964,43"
Diakonisches Werk Hamburg - Landesverband der Inneren Mission e.V.,FSJ4You - Freiwillig aktiv sein!,01-Sep-10,31-Jan-13,,,"167.115,96"
Diakonisches Werk Hamburg - Landesverband der Inneren Mission e.V.,ZAA - Zentrale Anlaufstelle Anerkennung,01-Okt-10,31-Dez-13,"753.742,63","380.172,07",
DIBS Dienstleistungen für die berufliche Eingliederung Schwerbehinderter GmbH,INES Integration durch Quali schwerbehinderter M.,01-Jan-08,31-Dez-09,,,"698.002,34"
DIBS Dienstleistungen für die berufliche Eingliederung Schwerbehinderter GmbH,ZUKUNFT-EDV für schwerbehinderte ArbeitnehmerInnen,01-Jan-11,30-Sep-12,,,"483.464,52"
einfal Akademie GmbH,Dia-Log Eimsbüttel,01-Mrz-09,29-Feb-12,,,"324.843,36"
einfal Akademie GmbH,Wir im Norden,01-Aug-10,31-Dez-13,"426.264,11","215.408,64",
einfal GmbH,Hamburger Diversity Netzwerk,01-Mrz-09,30-Jun-11,,,"106.999,05"
einfal GmbH,Hamburger Vermittlungspool,01-Mrz-08,15-Mai-10,,,"219.800,40"
einfal GmbH,Interkulturelle Aufstiegsqualifizierung zum GPA,01-Mrz-09,28-Feb-11,,,"266.974,00"
einfal GmbH,Job Login,01-Jan-08,31-Dez-10,,,"396.651,85"
einfal GmbH,Job Point Hamburg,01-Jan-08,31-Dez-09,,,"87.071,64"
einfal GmbH,Jobclub-Soloturn im Alleinerziehendennetzwerk Nord,01-Mrz-12,31-Dez-13,"656.328,00","453.793,62",
einfal GmbH,Sinfortas,01-Jul-11,31-Dez-12,,,"303.932,28"
