Name des Begünstigten,Bezeichnung des Vorhabens,Jahr der Bewilligung / Jahr der Restzahlung,Gewährte Beträge - ERDF und Nationale Mittel ohne Eigenmittel,Bei Abschluss des Vorhabens gezahlte Gesamtbeträge
"Abwasserverband Bickenbach, Seeheim-Jugenheim","Förderung des Demonstrationsvorhabens ""Mikrogasturbine in der Verbandskläranlage Bickenbach""",2012,,"155.100,00"
"Abwasserverband Main-Taunus, Hofheim","Förderung des Demonstrationsvorhabens ""Mikrogasturbine und BHKW im Klärwerk Kriftel""",2013,,"206.800,00"
"Abwasserverband ""Obere Dietzhölze"", Eschenburg","Förderung des Demonstrationsvorhabens ""Klärgas betriebene Mikrogasturbine in der Kläranlage Eibelshausen""",2014,,"127.400,00"
"ACTI-MED AG, Freiensteinau",Erweiterung einer Betriebsstätte in 36399 Freiensteinau,2013,,"328.733,08"
"Agnieszka Sliwinska, Korbach","Pilot- und Demonstrationsvorhaben ""Brennstoffzelle Viessmann Vitovalor 300-P im Wohnhaus""",2015,,"12.999,85"
"Air-Eltec Luftfahrtelektrik GmbH, Herborn",Erweiterung einer Betriebsstätte in 35745 Herborn,2011,,"637.600,00"
"Albert Koch GmbH Maschinen- und Vorrichtungsbau, Baunatal","Cluster ""DieMaschinenbauPartner"": Initiierungsphase",2008,,"25.000,00"
"Albert Koch GmbH Maschinen- und Vorrichtungsbau, Baunatal","Cluster ""DieMaschinenbauPartner"" Aufbauphase 2010 - 2013",2010,,"217.551,57"
"Albert Koch GmbH Maschinen- und Vorrichtungsbau, Baunatal","Cluster ""DieMaschinenbauPartner"" - Verstetigungsphase, 08-2013 bis 12-2015",2013,,"229.661,60"
"Aleit GmbH, Steffenberg",Einstellung eines/r Innovationsassistenten/in in 35239 Steffenberg,2010,,"28.700,00"
"Alexander Schön, Steinbach","Pilot- und Demonstrationsvorhaben ""Mikro-BHKW-Brennstoffzelle Viessmann Vitovalor 300- P""",2015,,"13.345,85"
"ANALYTICON Biotechnologies AG, Lichtenfels OT Dalwigksthal",Einstellung eines/r Innovationsassistenten/in in 35104 Lichtenfels-Dalwigksthal,2009,,"29.200,00"
"ANALYTICON Biotechnologies AG, Lichtenfels OT Dalwigksthal",Einstellung einer Innovationsassistentin in 35104 Lichtenfels,2012,,"26.000,00"
"Angewandte Kunst Hessen e.V., Kassel",Tendence Decorate Life,2008,,"2.688,00"
"Anlagenbau Günther GmbH, Wartenberg",Einstellung eines Innovationsassistenten in 36367 Wartenberg,2013,,"28.000,00"
"Arbeitsgemeinschaft der Hessischen Handwerkskammern, Wiesbaden",Sonderberatungsstellen der hessischen Handwerkskammern 2011-2013,2011,,"1.486.200,00"
"Arbeitsgemeinschaft der Hessischen Handwerkskammern, Wiesbaden",Sonderberatungsstellen der hessischen Handwerkskammern 2014,2014,,"495.400,00"
"Arbeitsgemeinschaft der Hessischen Handwerkskammern, Wiesbaden",Sonderberatungsstellen der hessischen Handwerkskammern 2015,2015,,"448.043,31"
"Arbeitsgemeinschaft hess. Industrie- und Handelskammern; IHK Frankfurt am Main, Frankfurt am Main",Fünf Regionale Beratungsstellen im TTN-Hessen 2013/2014,2013,,"393.661,27"
"Arbeitskreis Grenzinformation e.V., Bad Sooden-Allendorf","Grenzmuseum Schifflersgrund, Neugestaltung einer Aussstellungs- halle",2011,,"159.100,00"
"Arbeitskreis Grenzinformation e.V., Bad Sooden-Allendorf",Optimierung der Innenausstattung der Veranstaltungshalle in der Gedenkstätte Grenzmuseum Schifflersgrund,2013,,"24.750,00"
"Art Directors Club für Deutschland e. V., Berlin",Junior Days 2010,2009,,"200.000,00"
"Art Directors Club für Deutschland e. V., Berlin",Junior Days 2011,2011,,"200.000,00"
"Art Directors Club für Deutschland e. V., Berlin",Juinior Days 2012,2011,,"200.000,00"
"Ausbildungsverbund Rhöner Lebensmittel e.V., Hilders",Ergänzung der Küchenausstattung für das Ausbildungszentrum Handwerkerhof Hilders,2012,,"5.300,00"
"awamo GmbH, Frankfurt am Main",awamo - Vorbereitung Beta-Phase Uganda,2015,,"25.000,00"
"Bähr Filmtheaterbetriebe e. K. Friedrich Bähr, Diemelsee","Umrüstung einer Leinwand von analoger auf digitale Projektionst echnik, Kino Willingen, Studio 1",2011,,"19.284,38"
"Bähr Filmtheaterbetriebe e. K. Friedrich Bähr, Diemelsee","Umrüstung einer Leinwand von analoger auf digitale Projektionste chnik, Kino-Willingen, Studio Kino 3",2011,,"20.387,84"
"Bähr Filmtheaterbetriebe e. K. Friedrich Bähr, Diemelsee",Umrüstung eines Kinosaales der Kurlichtspiele Bad Wildungen von analoger auf digitale Projektionstechnik,2014,,"11.410,63"
"Bali Kinos im Kasseler Hauptbahnhof GmbH, Kassel","Umrüstung einer Leinwand von analoger auf digitale Projektionste chnik, Gloria Kino, Friedrich Ebert Straße 3, 34119 Kassel",2011,,"20.371,00"
"Bali Kinos im Kasseler Hauptbahnhof GmbH, Kassel","Umrüstung von 2 Leinwänden von analoger auf digitale Projektions technik, gr. und kl. Bali Kino, Rainer Dierichs Platz 1, Kassel",2011,,"38.306,54"
"BAND Business Angels Netzwerk Deutschland e. V., Essen",Deutscher Business Angels Tag 2012,2012,,"45.405,73"
"Barbizz-Netzwerk für Unternehmer und Beweger im Wirtschaftsraum Hanau vertreten durch m2 agentur für kommunikation GmbH, Hanau",Barbizz-Netzwerk für Unternehmer und Beweger im Wirtschaftsraum Hanau,2013,,"37.047,57"
