Name des Begünstigten,Ort,Bezeichnung des Vorhabens,Beginn des Vorhabens,Ende des Vorhabens,Gewährte öffentliche Beträge in EUR
"Alten- und Pflegezentren des Main-Kinzig-
Kreises gGmbH",Hanau,Qualifizierung in der Altenpflege,07.02.2011 , 01.07.2011,"11.004,00"
Arbeit und Bildung e.V.,Marburg,Perspektive II,01.09.2008 , 30.06.2009,"124.930,00"
Arbeit und Bildung e.V.,Marburg,Perspektive II,01.09.2008 , 31.12.2009,"271.168,00"
Arbeit und Bildung e.V.,Marburg,"Qualifizierung und Beschäftigung junger
Menschen",01.01.2008 , 31.12.2008,"186.358,00"
Arbeit und Bildung e.V.,Marburg,Fit für Ausbildung und Beruf (FAuB),01.08.2008 , 31.07.2009,"96.419,00"
Arbeit und Bildung e.V.,Marburg,Perspektive II,01.08.2008 , 31.12.2010,"680.748,00"
Arbeit und Bildung e.V.,Marburg,"Qualifizierung und Beschäftigung junger
Menschen",01.01.2009 , 31.12.2009,"206.358,00"
Arbeit und Bildung e.V.,Marburg,QuiT -Information und Transparenz,15.07.2009 , 28.02.2010,"20.000,00"
Arbeit und Bildung e.V.,Marburg,Fit für Ausbildung und Beruf (FAuB),01.08.2009 , 31.07.2010,"78.860,00"
Arbeit und Bildung e.V.,Marburg,Perspektive II,01.10.2009 , 31.07.2010,"88.619,00"
Arbeit und Bildung e.V.,Marburg,Perspektive II,01.12.2009 , 31.12.2010,"164.936,00"
Arbeit und Bildung e.V.,Marburg,Perspektive II,01.01.2011 , 31.12.2013,"223.989,00"
Arbeit und Bildung e.V.,Marburg,Impulse der Arbeitsmarktpolitik,06.05.2010 , 30.09.2010,"49.303,00"
Arbeit und Bildung e.V.,Marburg,Fit für Ausbildung und Beruf (FAuB),11.10.2010 , 31.08.2011,"53.158,00"
Arbeit und Bildung e.V.,Marburg,"Qualifizierung und Beschäftigung junger
Menschen",01.01.2010 , 31.12.2010,"210.091,00"
Arbeit und Bildung e.V.,Marburg,Qualifizierung von Beschäftigten in KMU,01.07.2010 , 29.02.2012,"275.400,00"
