"Name des Begünstigten","Bezeichnung des Vorhabens","Zusammenfassung des Vorhabens","Datum des Beginns des Vorhabens","Datum des Endes des Vorhabens","Gesamtbeitrag der förderfähigen Ausgaben des Vorhabens","Postleitzahl des Vorhabens oder andere angemessene Standortindikatoren","Land","Bezeichnung der Interventionskategorie für das Vorhaben gemäß Artikel 96 Absatz 2 Unterabsatz 1 Buchstabe b Ziffer vi"
ADH Deutschland GmbH      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,12/17/2015,6/16/2017,"4,156.00",Riedstadt,Deutschland,118
ADLER::KOMMUNIKATION quadratpunkt Susanne Adler  ,Projekte der beruflichen Bildung,"Erstellung einer Wort-Bildmarke für das Programm ""gut ausbilden""  ",6/29/2015,8/3/2015,"8,835.75",Frankfurt am Main,Deutschland,118
ADLER::KOMMUNIKATION quadratpunkt Susanne Adler  ,Projekte der beruflichen Bildung,"Gestaltung und Herstellung von Aufklebern für das Programm ""gut ausbilden""",9/7/2015,10/31/2015,"1,200.12",Frankfurt am Main,Deutschland,118
AG DRK-Schuldnerberatung Waldeck-Frankenberg e.V.    ,Arbeitsmarktbudget,Schuldnerberatung  ,4/1/2015,6/30/2017,"160,900.00",Frankenberg,Deutschland,109
Aharon Restaurant GmbH      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,4/14/2016,10/13/2017,"4,156.00",Kelkheim,Deutschland,118
AHG UG (haftungsbeschränkt)      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,3/30/2016,1/31/2017,"4,156.00",Büttelborn,Deutschland,118
AHG UG (haftungsbeschränkt)      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,3/30/2016,8/31/2016,"4,156.00",Büttelborn,Deutschland,118
Akzise Steuerberatungsgesellschaft mbH      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,11/16/2015,8/22/2015,"4,156.00",Frankfurt,Deutschland,118
Alexander Petri Installateur und Heizungsbauer    ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von  Kleinstunternehmen,3/24/2016,9/6/2016,"4,156.00",Alheim,Deutschland,118
Alexandra Beck Steuerkanzlei    ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,10/20/2015,8/31/2016,"4,156.00",Solms,Deutschland,118
Andreas Becker büro für eventmarketing    ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,10/7/2015,8/31/2016,"4,156.00",Kassel,Deutschland,118
Anwaltskanzlei Felsch Inh. Thilo Felsch    ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,11/5/2015,7/31/2016,"4,156.00",Kassel,Deutschland,118
Aral Tankstelle Christof Mack    ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,9/11/2015,7/31/2016,"4,156.00",Bad Orb,Deutschland,118
Arbeit und Bildung e.V.      ,Impulse der Arbeitsmarktpolitik (IdeA),Aktiva - beruflicher Wiedereinstieg für Frauen  ,1/1/2015,12/31/2016,"137,600.00",Marburg,Deutschland,109
Arbeit und Bildung e.V.      ,Mobilitätsberatungsstellen,Mobilitätsberatung der hessischen Wirtschaft in den Regionen Mittel- und Osthessen,1/1/2015,12/31/2016,"234,200.00",Marburg,Deutschland,117
Arbeit und Bildung e.V.      ,Praxis und Schule (PuSch),PuSch B: Adolf-Reichwein-Schule  ,8/1/2015,7/31/2016,"15,200.00",Marburg,Deutschland,115
Arbeit und Bildung e.V.      ,QuABB,Qualifizierte Ausbildungsbegleitung in Betrieb und Berufsschule im Landkreis Marburg-Biedenkopf,1/1/2016,12/31/2017,"326,300.00",Marburg,Deutschland,117
Arbeit und Bildung e.V.      ,Qualifizierung und Beschäftigung junger Menschen,Marburger Produktionsschule - Starten in Arbeit  ,1/1/2016,12/31/2016,"190,300.00",Marburg,Deutschland,109
Arbeit und Bildung e.V.      ,Qualifizierung und Beschäftigung junger Menschen,Marburger Produktionsschule - Starten in Arbeit  ,1/1/2015,12/31/2015,"210,600.00",Marburg,Deutschland,109
Arbeiterwohlfahrt Kreisverband Frankfurt am Main e.V.    ,Übergangsmanagement von Strafgefangenen,Übergangsmanagement an der JVA Frankfurt III  ,1/1/2016,12/31/2016,"52,200.00",Frankfurt,Deutschland,109
Arbeiterwohlfahrt Kreisverband Frankfurt am Main e.V.    ,Übergangsmanagement von Strafgefangenen,Übergangsmanagement an der JVA Frankfurt III  ,1/1/2015,12/31/2015,"50,500.00",Frankfurt,Deutschland,109
Arbeiterwohlfahrt Kreisverband Fulda-Stadt und -Land e.V.    ,Arbeitsmarktbudget,Schuldnerberatung  ,3/1/2015,2/28/2017,"196,900.00",Fulda,Deutschland,109
Arbeiterwohlfahrt Kreisverband Fulda-Stadt und -Land e.V.    ,Qualifizierung und Beschäftigung junger Menschen,Lohn und Brot  ,1/1/2016,12/31/2016,"199,100.00",Fulda,Deutschland,109
Arbeiterwohlfahrt Kreisverband Fulda-Stadt und -Land e.V.    ,Qualifizierung und Beschäftigung junger Menschen,Lohn und Brot  ,1/1/2015,12/31/2015,"196,200.00",Fulda,Deutschland,109
Arbeiterwohlfahrt Kreisverband Odenwaldkreis e.V.    ,Arbeitsmarktbudget,Schuldnerberatung  ,4/1/2015,3/31/2017,"391,800.00",Michelstadt,Deutschland,109
Arbeiterwohlfahrt Kreisverband Schwalm- Eder e.V.    ,Arbeitsmarktbudget,Schuldnerberatung  ,4/20/2015,4/30/2016,"124,400.00",Homberg/Efze,Deutschland,109
Arbeitsgemeinschaft Schelmengraben e.V.      ,Arbeitsmarktbudget,Schuldnerberatung  ,4/1/2015,3/31/2018,"125,200.00",Wiesbaden,Deutschland,109
Architekturbüro Steyer Inh. Oliver Steyer    ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,12/11/2015,8/31/2016,"4,156.00",Körle,Deutschland,118
Arnd Brüggemann Steuerkanzlei    ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von  Kleinstunternehmen,10/13/2015,9/28/2017,"4,156.00",Darmstadt,Deutschland,118
Arnd Brüggemann Steuerkanzlei    ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von  Kleinstunternehmen,10/13/2015,7/31/2016,"4,156.00",Darmstadt,Deutschland,118
Art Evolution OHG      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,12/7/2015,8/31/2016,"4,156.00",Frankfurt,Deutschland,118
Art of Hair Inh. Carla Simon    ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,11/23/2015,7/31/2016,"4,156.00",Bad Hersfeld,Deutschland,118
Arztpraxis Haydar Aslan      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,3/15/2016,8/31/2016,"4,156.00",Wetzlar,Deutschland,118
ASR-Auto GmbH      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,9/11/2015,2/29/2016,"4,156.00",Nidda,Deutschland,118
Ausbildungsverbund Metall gGmbH      ,QuABB,Qualifizierte Ausbildungsbegleitung in Betrieb und Berufsschule in der Region Groß-Gerau,7/1/2015,6/30/2017,"228,500.00",Rüsselsheim,Deutschland,117
Ausbildungsverbund Metall gGmbH      ,Qualifizierung und Beschäftigung junger Menschen,JUGENDQUALI 2015  ,1/1/2015,12/31/2015,"204,800.00",Rüsselsheim,Deutschland,109
Ausbildungsverbund Metall gGmbH      ,Qualifizierung und Beschäftigung junger Menschen,JUGENDQUALI 2016  ,1/1/2016,12/31/2016,"207,100.00",Rüsselsheim,Deutschland,109
AWO Arbeiterwohlfahrt Kreisverband Bad Hersfeld-Rotenburg e.V.    ,Arbeitsmarktbudget,Schuldnerberatung  ,4/1/2015,3/31/2016,"148,800.00",Bad Hersfeld,Deutschland,109
AWO Perspektiven gGmbH      ,Qualifizierung und Beschäftigung junger Menschen,Berufsziel Altenpflege  ,1/1/2016,6/30/2016,"58,100.00",Frankfurt am Main,Deutschland,109
AWO Perspektiven gGmbH      ,Qualifizierung und Beschäftigung junger Menschen,Berufsziel Altenpflege Qualifizierung für einen Gesundheitsberuf,1/1/2015,12/31/2015,"129,700.00",Frankfurt am Main,Deutschland,109
AWO Perspektiven gGmbH      ,Qualifizierung und Beschäftigung junger Menschen,"MACH MAL, AWO Berufshilfen für junge Frauen  ",1/1/2016,12/31/2016,"182,100.00",Frankfurt am Main,Deutschland,109
AWO Perspektiven gGmbH      ,Qualifizierung und Beschäftigung junger Menschen,"MACH MAL, AWO Berufshilfen für junge Frauen  ",1/1/2015,12/31/2015,"179,200.00",Frankfurt am Main,Deutschland,109
AWO Perspektiven gGmbH      ,Qualifizierung und Beschäftigung junger Menschen,Q und B Bildungshaus Dietzenbach 2015 - Bistro im Bunten  ,1/1/2015,12/31/2015,"240,500.00",Frankfurt am Main,Deutschland,109
AWO Perspektiven gGmbH      ,Qualifizierung und Beschäftigung junger Menschen,Q und B Bildungshaus Dietzenbach 2016 - Bistro im Bunten  ,1/1/2016,12/31/2016,"218,200.00",Frankfurt am Main,Deutschland,109
Axel  Böhme BÖHME Formnormalien-CNC Fräsetechnik  ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,10/7/2015,8/31/2016,"4,156.00",Usingen,Deutschland,118
Bäckerei Jörg Halbig      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,11/5/2015,9/14/2016,"4,156.00",Mücke,Deutschland,118
Bäckerei Roth      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,11/23/2015,7/31/2016,"4,156.00",Brechen,Deutschland,118
