ANTRAGSNUMMER,Interventionskategorie,Name des Begünstigten,PLZ,BEGINN,ENDE,ZUSAMMENFASSUNG,BEZEICHNUNG,GESAMTBETRAG 1)
diverse,104.0,ExistenzgründerInnen/ 800 Personen,o.A.,01-01-2014,31-12-2020,Qualifizierung und Coaching für ExistenzgründerInnen,"Beratung f. Existenzgründung, Sicherung, Training & Coaching",575160.34
ESF/14-WM-A32-0010/15-A01,104.0,BilSE - Institut für Bildung und Forschung GmbH,18273,05.02.16,31.07.16,Förderung von Entrepreneurship,"Flankierende Unterstützung der Initiative ""Schülerfirmen in MV"" durch Fortbildung von Lehrpersonal zur zielgerichteten Gründung von Schülerfirmen in den Schulen Mecklenburg Vorpommerns.",11998.95
ESF/14-WM-A32-0004/15-A01,104.0,Allgemeiner Unternehmensverband Neubrandenburg e.V.,17033,12.04.16,31.03.18,Förderung von Entrepreneurship,"Betrieb und Weiterentwicklung der Webseite ""www.gruender-mv.de"" mit dem Ziel der Sensibilisierung für Fragen der Unternehmensgründung sowie der Information von Existenzgründern und Unternehmen.",497444.57
ESF/14-WM-A32-0008/15-A01,104.0,BilSE - Institut für Bildung und Forschung GmbH,18273,05.02.16,31.07.16,Förderung von Entrepreneurship,"Förderung der Motivation von SchülerInnen, eine Schülerfirma zu gründen. Begleitung der Schüler bei Neugründungen, Betreuung bereits bestehender Schülerfirmen sowie Unterstützung von Netzwerkbildung mit anderen Schülerfirmen und der Wirtschaft.",45024.15
ESF/14-WM-A32-0011/15,104.0,"Ministerium für Bildung, Wissenschaft und Kultur M-V",19055,14.12.15,31.07.17,Förderung von Entrepreneurship,"Inhaltliche und konzeptionelle Begleitung von Rahmenlehrplan und Weitbildungskonzept mit dem Ziel der stärkeren Verankerung von Entrepeneurship und Schülerfirmen in die Schulen des Landes Mecklenburg-Vorpommern.
Begleitung eines Modellvorhabens zur Erprobung der des veränderten Rahmenplans im Fach AWT mit dem Ziel, Auswirkungen auf mögliche Schülerfirmen zu bewerten.
Vorbereitung für die Übernahme der Internetplattform für Schülerfirmen durch das Ministerium für Bildung, Wissenschaft und Kultur.
Mitwirkung bei der Weiterentwicklung des Landeskonzepts zum Übergang von der Schule in den Beruf unter Beachtung von Entrepeneurship in Form von Schülerfirmen.",153438.22
ESF/14-WM-A32-0019/15,104.0,Fachhochschule Stralsund,18435,21.06.16,31.12.19,Förderung von Entrepreneurship,"Durchführung des lokalen Ideenwettbewerbs an der Hochschule Stralsund im Rahmen des Landeshochschulwettbewerbs ""Inspired"".",181128.06
ESF/14-WM-A32-0001/15-A01,104.0,ÜAZ Überregionales Ausbildungszentrum Waren/Grevesmühlen e.V.,17192,05.02.16,31.07.16,Förderung von Entrepreneurship,"Förderung der Motivation von SchülerInnen, eine Schülerfirma zu gründen. Begleitung der Schüler bei Neugründungen, Betreuung bereits bestehender Schülerfirmen sowie von Netzwerkbildung mit anderen Schülerfirmen und der Wirtschaft.",27785.6
ESF/14-WM-A32-0006/15-A01,104.0,Bildungswerk der Wirtschaft Mecklenburg-Vorpommern e.V.,19053,05.02.16,31.07.16,Förderung von Entrepreneurship,"Förderung der Motivation von SchülerInnen, eine Schülerfirma zu gründen. Begleitung der Schüler bei Neugründungen, Betreuung bereits bestehender Schülerfirmen sowie Unterstützung von Netzwerkbildung mit anderen Schülerfirmen und der Wirtschaft.",54268.83
ESF/14-WM-A32-0007/15-A01,104.0,Hochschule Wismar,23966,05.02.16,31.03.18,Förderung von Entrepreneurship,"Gezielte Ansprache und Sensibilisierung von Studierenden für wirtschaftsnahe interdisziplinäre Projekte, Begleitung der Studierenden bei der Umsetzung der Projekte und Stärkung des unternehmerischen Denkens an der Hochschule Wismar.",291459.8
ESF/14-WM-A32-0017/15-A01,104.0,Agentur für Technologietransfer und Innovationsförderung GmbH,19061,14.07.16,31.12.18,Förderung von Entrepreneurship,"Qualifizierung, Beratung und Unterstützung von technologieorientierten und wissensbasierten Unternehmensgründungen im Umfeld der Technologiezentren in Schwerin, Rostock und Greifswald unter Einbeziehung der Standorte Wismar, Stralsund und Neubrandenburg.",911892.18
ESF/14-WM-A32-0021/15,104.0,Ernst-Moritz-Arndt-Universität Greifswald,17487,03.06.16,31.12.19,Förderung von Entrepreneurship,"Durchführung des lokalen Ideenwettbewerbs an der Universität Greifswald (UNIQUE) im Rahmen des Landeshochschulwettbewerbs ""Inspired"".",339966.74
ESF/14-WM-A32-0003/15,104.0,"Regionale Arbeitsstelle für Bildung, Integration und Demokratie M-V e.V. (RAA)",17192,15.12.15,31.07.16,Förderung von Entrepreneurship,"Förderung der Motivation von SchülerInnen, eine Schülerfirma zu gründen. Begleitung der Schüler bei Neugründungen, Betreuung bereits bestehender Schülerfirmen sowie Unterstützung von Netzwerkbildung mit anderen Schülerfirmen und der Wirtschaft. Förderung der Weiterentwicklung und Verstetigung der Projekte über das Schuljahr 2015/2016 hinaus.",73889.11
ESF/14-WM-A32-0015/15,104.0,Hochschule Neubrandenburg,17033,20.04.16,31.12.19,Förderung von Entrepreneurship,"Durchführung des lokalen Ideenwettbewerbs an der Hochschule Neubrandenburg im Rahmen des Landeshochschulwettbewerbs ""Inspired"".",157001.67
ESF/14-WM-A32-0002/15-A01,104.0,"Regionale Arbeitsstelle für Bildung, Integration und Demokratie M-V e.V. (RAA)",17192,05.02.16,31.12.17,Förderung von Entrepreneurship,"Unterstützung von jungen Menschen im Alter unter 30 Jahren bei der Gründung eines eigenen Unternehmens. Zielgruppen sind insbesondere junge Eltern, Alleinerziehende, Arbeitslose bzw. von Arbeitslosigkeit bedrohte. Bei ca. 45 jungen Menschen soll die Beratung in einer neuen Unternehmensgründung münden. Bereits im Projekt betreute junge Unternehmensgründer sollen auf Anfragen weiterhin beraten werden.",299186.27
ESF/14-WM-A32-0009/15-A01,104.0,Forschungs-GmbH Wismar,23966,05.02.16,31.12.18,Förderung von Entrepreneurship,"Ca. 30 Master Studierende der Studiengänge ""Internationales Marketing"" und ""Strategisches Design"" werden innerhalb der Lehrveranstaltungen der Sommersemester befähigt, für regionale Unternehmen internationale Messekonzepte zu entwickeln. Die Studierenden erfahren dabei am konkreten Beispiel die Bedeutung des unternehmerischen Denkens.",111342.67
ESF/14-WM-A32-0005/15,104.0,Forschungsverbund Mecklenburg-Vorpommern e.V.,18059,10.08.15,09.08.18,Förderung von Entrepreneurship,Information zu akademischen oder forschungsbasierten Gründungsmöglichkeiten sowie die Generierung von 150 Verwertungsideen (Scouting). In der Maßnahme werden Gründungsideen begleitet und beraten. Es sollen 15 Gründungsideen zur Unternehmungsgründung geführt werden.,674909.52
ESF/14-WM-A32-0020/15,104.0,Universität Rostock,18051,05.04.16,31.12.19,Förderung von Entrepreneurship,"Durchführung des lokalen Ideenwettbewerbs an der Universität Rostock im Rahmen des Landeshochschulwettbewerbs ""Inspired"" sowie dessen fachliche Koordinierung. Fachliche Koordinierung des Ideenwettbewerbs an den außeruniversitären Forschungseinrichtungen. Durchführung des landesweiten Wettbewerbs.",1038730.55
ESF/14-WM-A32-0016/15,104.0,Hochschule Wismar - Der Kanzler -,23952,02.05.16,31.12.19,Förderung von Entrepreneurship,"Durchführung des lokalen Ideenwettbewerbs an der Hochschule Wismar im Rahmen des Landeshochschulwettbewerbs ""Inspired"".",169027.14
ESF/14-WM-A32v-0001/15,104.0,"Formtreu Potsdam, Ines Schneider + Peter Jaworskyj GbR",14469,22.07.15,31.03.18,Förderung von Entrepreneurship,"Förderung von Entrepreneurship in Mecklenburg-Vorpommern, insbesondere für die Gründung von wissensintensiven und innovatioven Unternehmen.",196350.0
ESF/14-WM-A33-0007/16,104.0,anonym,18057,08.03.16,30.09.17,Gründungsstipendien,"Beihilfe zum Lebensunterhalt für eine innovative, technologieorientierte und wissensbasierte Unternehmensgründung unter der Firma INNOPROOF GmbH, deren Gegenstand die physikalische, mechanische Prüfung an nicht aktiven medizinischen Produkten, die Entwicklung von Prüfverfahren, Schadensanalysen, Entwicklungsdienstleistungen, Beratungsleistungen sowie alle damit in Zusammenhang stehenden Dienstleistungen ist.",27000.0
ESF/14-WM-A33-0004/15,104.0,anonym,18439,16.02.16,31.10.17,Gründungsstipendien,"Beihilfe zum Lebensunterhalt für eine innovative, technologieorientierte und wissensbasierte Unternehmensgründung zur „Entwicklung, Herstellung und Vertrieb von Geräten und Software zur automatisierten Erfassung und Auswertung von Daten in Industrie und Gesundheitswesen mit dem Ziel der Verbesserung der Hygiene und der Optimierung von Arbeitsabläufen“ unter der Firma GWA Hygiene GmbH ",21600.0
ESF/14-WM-A33-0009/16,104.0,anonym,18059,11.08.16,30.04.18,Gründungsstipendien,"Beihilfe zum Lebensunterhalt für eine innovative, technologieorientierte und wissensbasierte Unternehmensgründung unter der Firma GetVise GmbH gewährt, deren Gegenstand insbesondere die Erbringung von Dienstleistungen im Bereich der internetbasierten Marktforschung auf Basis der Social Crowd-Plattform GetVise ist.
",25200.0
ESF/14-WM-A33-0002/15,104.0,anonym,18057,09.12.15,31.03.17,Gründungsstipendien,"Beihilfe zum Lebensunterhalt für eine innovative, technologieorientierte und wissensbasierte Unternehmensgründung zur „Entwicklung von Software als Medizinprodukt, speziell für die Humangenetik“ unter der Firma „Limbus Medical Technologies GmbH“ ",25200.0
ESF/14-WM-A33-0010/16,104.0,anonym,18069,11.08.16,30.04.18,Gründungsstipendien,"Beihilfe zum Lebensunterhalt für eine innovative, technologieorientierte und wissensbasierte Unternehmensgründung unter der Firma GetVise GmbH , deren Gegenstand insbesondere die Erbringung von Dienstleistungen im Bereich der internetbasierten Marktforschung auf Basis der Social Crowd-Plattform GetVise ist.
",28800.0
ESF/14-WM-A33-0003/15,104.0,anonym,18059,16.02.16,31.08.17,Gründungsstipendien,"Beihilfe zum Lebensunterhalt für eine innovative, technologieorientierte und wissensbasierte Unternehmensgründung zur „Entwicklung und Vertrieb medizinischer Funktionswäsche“ unter der Firma Medi-Tex Medizinische Funktionswäsche",25200.0
ESF/14-WM-A33-0008/15,104.0,anonym,18439,16.02.16,31.08.17,Gründungsstipendien,"Beihilfe zum Lebensunterhalt für eine innovative, technologieorientierte und wissensbasierte Unternehmensgründung zur „Herstellung von Sportgeräten (Longboards) unter Verwendung von neuartigen Pressverfahren, Formgestaltung und alternativen Faser- und Verbundstoffen“ unter der Firma „Drüding und Mersmann GbR (Treibholz Boards)“ ",21600.0
