NAME DES BEGÜNSTIGTEN,BEZEICHNUNG DES VORHABENS,Jahr der Bewilligung,Jahr der abschließenden Restzahlung,Gewährte Beträge,Bei Abschluss des Vorhabens gezahlte Gesamtbeträge
3RAUMarchitektur GbR,"Erarbeitung eines Leitfadens als Basis für die Umsetzung
strategischer Webmarketingmaßnahmen",,2014,,"3.000,00"
"7 Seeds Service development & management Inh. Robert
Siegers","eigenständige Trainingsangebote entwickeln und vermarkten, Aufträge
unter eigenen Namen generieren",,2008,,"3.600,00"
81 fünf hightech & holzbau AG,"Konzeptionelle Entwicklung und Gestaltung von
Marketingmaßnahmen Marktrecherche",,2009,,"7.280,00"
81fünf high-tech & holzbau AG,Optimierung vorhandener Strukturen und Abläufe,,2011,,"2.250,00"
A&A Logistik-Equipment GmbH & Co. KG,Elektrounterstützung für Transportwagen,,2015,,"95.910,45"
A+P Service Peter Schiffmann e.K.,Beratung zur Erstellung der Internetpräsenz,,2012,,"5.200,00"
AB Kreislauf GmbH,Erweiterung der Betriebsstätte,,2013,,"41.137,50"
Abacus Nachhilfeinstitut,Bedarfsermittlung für Web-Marketing,,2011,,"2.000,00"
ABC - coron Elektronikentwicklungs- und Konstruktions GmbH,Plasma 2.6,,2016,,"46.298,54"
ABL Assekuranz Büro Lüneburg,Strategische Marketingüberlegung und Eruierung neuer Zielmärkte,,2009,,"4.000,00"
Abwasserbeseitigung der Stadt Bremervörde,"Bau von Hauptverbindungsleitungen an der Spreckenser Landstraße
und an den Straßen Ridderflaggen und Am-Oste-Hamme-Kanal",,2015,,"272.223,80"
Abwasserentsorgung Südheide GmbH,Überleitung des Abwassers von Wietze zur Kläranlage Winsen (Aller),,2011,,"614.000,00"
Abwasserentsorgung Südheide GmbH,"Umbau Mischwasserkanal zu Trennsystem in SG Eschede, OT Höfer",,2011,,"339.260,51"
Abwassergesellschaft Rebenstorf mbH,"Erstellung einer kleinen Kläranlage in Rebenstorf mit
Druckpumpenzulaufleitung",,2010,,"37.980,58"
Abwasserverband Matheide,"Überleitung des Abwassers von Wietze zur KA Winsen (Aller)- BA:
Umbau der Kläranlage Wietze zur Pumpstation",,2009,,"496.445,35"
Abwasserverband Matheide,"Umbau des vorhandenen Mischwasserkanals zum Trennsystem im
OT Höfer der SG Eschede",,2010,,"185.000,00"
Abwasserzweckverband Altes Land und Geestrand,"Abwasserentsorgung in der Gemeinde Hollern-Twielenfleth Bau
zentraler Abwasseranlage i.d. OT Bassenfleth u. Twielenfleth",,2009,,"552.795,67"
Abwasserzweckverband Altes Land und Geestrand,"Bau zentrale Abwasseranlage in Bassenfleth und Wöhrden, 2. BA",,2011,,"515.294,85"
Abwasserzweckverband Altes Land und Geestrand,Abwasserentsorgung in der Gemeinde Jork,,2011,,"619.020,00"
Abwasserzweckverband Altes Land und Geestrand,Abwasserentsorgung in der Gemeinde Nottensdorf,,2012,,"23.030,13"
Abwasserzweckverband Altes Land und Geestrand,Abwasserentsorgung in der Gemeinde Jork,,2012,,"18.378,58"
Abwasserzweckverband Altes Land und Geestrand,Abwasserentsorgung in der Gemeinde Jork,,2013,,"136.180,00"
Abwasserzweckverband Altes Land und Geestrand,"Neubau der zentralen Abwasseranlage in der Gemeinde Steinkirchen ,
Ortsteile Sietwende/Wetterndorf",,2014,,"244.757,75"
Abwasserzweckverband Oyten/Ottersberg,"Sanierung und Erweiterung der GKA Oyten/Ottersberg
- II. und
III.
Bauabschnitt",,2015,,"5.126.776,97"
"Achimer Stadtwald Grundstücks- und Erschließungsgesellschaft
mbH & Co. KG","Ehemalige Steuben-Kaserne Achim -
Tankbehälter 7 und 10 -
Entsorgung Tankinhalte",,2013,,"581.399,82"
Ackermann-Leder Hohmann und Sedlacek OHG,Entwicklung eines kunden- und marktbezogenen Marketingkonzeptes,,2010,,"4.800,00"
ACTIVO-MED GmbH,Erweiterung der Betriebsstätte,,2011,,"49.500,00"
ad fontes Lüneburg GmbH,Optimierung der Personalentwicklung und Weiterbildung,,2013,,"8.000,00"
Addact GmbH,"Gründung und Aufbau Ihres Unternehmens ""Hilko Aikens & Dirk Veit
GbR""",,2015,,"18.000,00"
