NAME DES BEGÜNSTIGTEN,BEZEICHNUNG DES VORHABENS,Jahr der Bewilligung,Jahr der abschließenden Restzahlung,Gewährte Beträge,Bei Abschluss des Vorhabens gezahlte Gesamtbeträge
3RAUMarchitektur GbR,"Erarbeitung eines Leitfadens als Basis für die Umsetzung
strategischer Webmarketingmaßnahmen",,2014,,3000
"7 Seeds Service development & management Inh. Robert
Siegers","eigenständige Trainingsangebote entwickeln und vermarkten, Auf-
träge unter eigenen Namen generieren",,2008,,3600
81 fünf hightech & holzbau AG,"Konzeptionelle Entwicklung und Gestaltung von
Marketingmaßnahmen Marktrecherche",,2009,,7280
81fünf high-tech & holzbau AG,Optimierung vorhandener Strukturen und Abläufe,,2011,,2250
A&A Logistik-Equipment GmbH & Co. KG,Elektrounterstützung für Transportwagen,2013,,"95910,45",
A+P Service Peter Schiffmann e.K.,Beratung zur Erstellung der Internetpräsenz,,2012,,5200
AB Kreislauf GmbH,Erweiterung der Betriebsstätte,,2013,,"41137,5"
Abacus Nachhilfeinstitut,Bedarfsermittlung für Web-Marketing,,2011,,2000
ABC - coron Elektronikentwicklungs- und Konstruktions GmbH,Plasma 2.6,2014,,47800,
ABL Assekuranz Büro Lüneburg,Strategische Marketingüberlegung und Eruierung neuer Zielmärkte,,2009,,4000
Abwasserbeseitigung der Stadt Bremervörde,"Bau von Hauptverbindungsleitungen an der Spreckenser Landstraße
und an den Straßen Ridderflaggen und Am-Oste-Hamme-Kanal",2014,,"272223,8",
Abwasserentsorgung Südheide GmbH,Überleitung des Abwassers von Wietze zur Kläranlage Winsen (Aller),,2011,,614000
Abwasserentsorgung Südheide GmbH,"Umbau Mischwasserkanal zu Trennsystem in SG Eschede, OT Höfer",,2011,,"339260,51"
Abwassergesellschaft Rebenstorf mbH,"Erstellung einer kleinen Kläranlage in Rebenstorf mit
Druckpumpenzulaufleitung",,2010,,"37980,58"
Abwasserverband Matheide,"Überleitung des Abwassers von Wietze zur KA Winsen (Aller)- BA:
Umbau der Kläranlage Wietze zur Pumpstation",,2009,,"496445,35"
Abwasserverband Matheide,"Umbau des vorhandenen Mischwasserkanals zum Trennsystem im
OT Höfer der SG Eschede",,2010,,185000
Abwasserzweckverband Altes Land und Geestrand,"Abwasserentsorgung in der Gemeinde Hollern-Twielenfleth Bau
zentraler Abwasseranlage i.d. OT Bassenfleth u. Twielenfleth",,2009,,"552795,67"
Abwasserzweckverband Altes Land und Geestrand,Abwasserentsorgung in der Gemeinde Jork,,2011,,619020
Abwasserzweckverband Altes Land und Geestrand,Abwasserentsorgung in der Gemeinde Jork,,2012,,"18378,58"
Abwasserzweckverband Altes Land und Geestrand,Abwasserentsorgung in der Gemeinde Jork,,2013,,136180
Abwasserzweckverband Altes Land und Geestrand,"Bau zentrale Abwasseranlage in Bassenfleth und Wöhrden, 2. BA",,2011,,"515294,85"
