Name der Begünstigten,Vorhaben,Jahr der Bewilligung,Jahr der Restzahlung,Gewährte Beträge (insgesamt),Bei Abschluss des Vorhabens gezahlte Gesamtbeträge
"Abwasserzweckverband Illtal (AVI), Illingen",Einführung eines Umwelt- Managementsystems,2010,,"5.696,05 €","5.677,64 €"
"Ackermann + Hertel GbR, Ackermann + Hertel GmbH, A + H Laserschneidtechnik GmbH, St. Ingbert",Erweiterung der Betriebsstätte in 66386 St. Ingbert,2011,2013,"465.138,00 €","465.138,00 €"
"Adolf Peiffer GmbH, Freisen",Beschäftigung eines Forschungsmitarbeiters,2009,,"12.750,00 €","12.750,00 €"
"Advanced Medical Technologies AG, Nonnweiler","Technische Durchführbarkeitsstudie zur Erforschung und Entwicklung eines bewe- gungserhaltenden, minimal-invasiven Implan- tat-Systems für die Indikationen der lumbalen Wirbelsäule",2010,,"77.350,00 €","62.580,29 €"
"Advanced Medical Technologies AG, Nonnweiler","Erlangung gewerblicher Schutzrechte für Komponenten eines bewegungserhaltenden, minimal-invasiven Implantat-Systems für die Indikationen der lumbalen Wirbelsäule",2011,,"50.000,00 €",
"AGILOS GmbH, Sulzbach",Externe Antragsredaktion für Antragstellung im ZIM-Programm des Bundes,2009,,"10.000,00 €","7.971,75 €"
"Alarmtechnik Norbert Theis GmbH & Co. KG, Friedrichsthal",Entwicklung einer impulsgesteuerten Türver- riegelung mit Funkanbindung an eine Ein- bruchmeldeanlage,2011,,"166.363,00 €","158.488,35 €"
"Albert Heib GmbH, St. Ingbert",Einführung eines Umwelt- Managementsystems,2011,,"4.145,05 €","4.108,65 €"
"Alfred Becker GmbH, Saarbrücken",Entwicklung eines gruppenweiten Kunden- beziehungsmanagementsystems und Con- trollingportals (Becker Management System- BMS),2008,,"118.968,00 €","118.484,56 €"
"Alfred Becker GmbH, Saarbrücken",Technische Durchführbarkeitsstudie im Vorfeld der geplanten Entwicklung eines Luftreinigungsgerätes auf Basis der Photoka- talyse (Clean Air Photokatalyse),2009,,"54.695,00 €","41.600,31 €"
"Alfred Becker GmbH, Becker Gruppe, Saarbrücken",Beschäftigung eines Forschungsmitarbeiters,2011,,"18.000,00 €","18.000,00 €"
"Allard GmbH, St. Ingbert","Diversifizierung der Produktion der Betriebs- stätte in neue, zusätzliche Produkte",2011,2012,"26.517,00 €","26.517,00 €"
"Anette+GottfriedHares Grundstücksgesellschaft BostalseealsMitunter- nehmerderGolfpark BostalseeGmbH,Hei- dehof 3, 66625 Nohfel- den",Neubau eines Clubheims und Umbau beste- hender Gebäude am Golfpark Bostalsee,2014,,"420.312,50 €",
"A. Müller GmbH, Nonnweiler",Beschäftigung eines Forschungsmitarbeiters,2011,,"15.499,98 €","15.499,98 €"
"Arbeitskammer des Saarlandes, Saarbrücken",Errichtung einer Pellets-Kesselanlage und einer Solaranlage im Bildungszentrum der Arbeitskammer in Kirkel,2009,,"89.001,87 €","85.704,09 €"
"ARGUS concept GmbH, Saarbrücken",Beschäftigung eines Forschungsmitarbeiters,2009,,"15.600,00 €","15.600,00 €"
"ARGUS concept GmbH, Saarbrücken",Beschäftigung eines Forschungsmitarbeiters,2011,,"15.600,00 €",
"Arnold Bedachungen GmbH, Schmelz",Revalidierung des Umwelt- Managementsystems,2009,,"1.000,00 €","1.000,00 €"
"Arnold Dach und Solar GmbH, Schmelz",Einführung eines Umwelt- Managementsystems,2011,,"1.722,00 €",
"Arnold Dach und Solar GmbH, Schmelz",Einführung EMAS,2014,,"1.440,53 €",
"AS Feinmechanik GmbH, Heusweiler",Erweiterung der Betriebsstätte in 66265 Heusweiler,2011,2014,"196.534,00 €","196.534,00 €"
"ASMC GmbH, HBDD GmbH & Co. KG, Saarbrücken",Erweiterung der Betriebsstätte in 66578 Schiffweiler,2010,2012,"260.000,00 €","260.000,00 €"
Backes & Müller GmbH,EntwicklunSgsprojekt zeitrichtige Audioda- tenübertragung,2013,,"89.347,00 €",
"BahnLog Bahnlogistik und Service GmbH, St. Ingbert",Einführung eines Umwelt- Managementsystems,2012,,"16.948,75 €",
"BBL cranes GmbH, Friedrichsthal",Entwicklung eines montage- und transport- freundlichen Turmkrans mit energieeffizienter Antriebstechnik,2012,,"216.237,00 €","200.652,36 €"
"b. burgard Gips Stuck Verputz und Trocken- ausbau GmbH, Homburg",Einführung eines Umwelt- Managementsystems,2009,,"4.129,12 €","3.887,98 €"
"Benediktinerabtei St. Mauritius Tholey e. V., Tholey","Schaffung zusätzlicher Gästezimmer (Dach- geschoss) und Einrichtung von Seminarräu- men (Obergeschoss) im Kapitelsaalgebäude sowie Erweiterung des Gästehauses St. Lioba um einen Anbau (Schaffung zusätzli- cher Gastronomie- und Seminarräume, Empfangsbereich)",2010,2013,"525.000,00 €","525.000,00 €"
Bernhard & Reiner GmbH,Einführung EMAS,2013,,"4.195,10 €","4.195,10 €"
"Berthold Kunrath GmbH, 66636 Tholey",Erweiterung der Betriebsstätte,2014,,"97.101,00 €","97.101,00 €"
"BioKryo GmbH, Sulzbach",Beschäftigung eines Forschungsmitarbeiter,2013,,"19.200,00 €","19.200,00 €"
"BK Stanz- und Umform- technik GmbH, Tholey","Diversifizierung der Produktion der Betriebs- stätte in neue, zusätzliche Produkte",2012,2014,"135.838,00 €","135.838,00 €"
"Blass und Ziegler GmbH, Besitzgesell- schaft Blass und Ziegler GbR, Saarbrücken",Erweiterung der Betriebsstätte in 66115 Saarbrücken,2012,2014,"47.503,20 €","47.503,20 €"
"Bodtländer GmbH Dachdeckerei, Schwalbach",Einführung eines Umwelt- Managementsystems,2009,,"5.303,00 €","3.471,65 €"
"Bodtländer GmbH Dachdeckerei, Schwalbach",Revalisierung des Umwelt- Managementsystems,2012,,"1.697,00 €","1.531,75 €"
"Braun CarTec GmbH, B & B Holding GmbH, B & B Beteiligungsgesell- schaft mbH, Schwalbach",Erweiterung der Betriebsstätte in 66773 Schwalbach,2012,2014,"347.884,00 €","347.884,00 €"
"Braun CarTec GmbH, B & B Holding GmbH, B & B Beteiligungsgesell- schaft mbH, Schwalbach",Einführung EMAS,2014,,"7.411,95 €","7.411,95 €"
"Braun + Klein Siebdruck Vertriebs GmbH, Saarbrücken",Erweiterung der Betriebsstätte in 66131 Saarbrücken,2010,2013,"200.000,00 €","200.000,00 €"
"Braun + Klein Siebdruck Vertriebs GmbH, Saarbrücken","Diversifizierung der Produktion der Betriebs- stätte in neue, zusätzliche Produkte",2013,2015,"100.883,00 €","100.883,00 €"
"BSB Industrieservice GmbH, Völklingen",Einführung eines Umwelt- Managementsystems,2011,,"5.105,10 €","4.638,72 €"
"BSW Zerspanungs- werkzeuge GmbH, Saarwellingen",Erweiterung der Betriebsstätte in 66793 Saarwellingen,2012,2013,"262.500,00 €","262.500,00 €"
