Name des Begünstigten,Bezeichnung des Vorhabens,Zusammenfassung des Vorhabens,Datum des Beginns des Vorhabens,Datum des Endes des Vorhabens,Gesamtbetrag der förderfähigen Ausgaben des Vorhabens,Unions-Kofinanzierungssatz pro Prioritätsachse,Durchführungsort des Vorhabens,Landkreis,Land,Bezeichnung der Interventionskategorie für das Vorhaben,Förderrichtlinie,Fördergegenstand
A & E - Applikation undEntwicklung Produktions-technik GmbH,Aufbaukurs zum Spritzgießen,Aufbaukurs zum Spritzgießen,11.01.2016,22.05.2016,775,80,"Dresden, Stadt","Dresden, Kreisfreie Stadt",D,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel",Förderung der beruflichen Weiterbildung,"Weiterbildungsscheck, betrieblich"
A & E - Applikation undEntwicklung Produktions-technik GmbH,Einführung in Creo Simulate 2.0,Einführung in Creo Simulate 2.0,12.03.2015,24.05.2015,1085,80,"Dresden, Stadt","Dresden, Kreisfreie Stadt",D,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel",Förderung der beruflichen Weiterbildung,"Weiterbildungsscheck, betrieblich"
A. Reichert GmbHWirtschaftsprüfungsgesellschaft,EDV-Sachverständiger IT-Forensic mit DEKRA-Zertifizierung,EDV-Sachverständiger IT-Forensic mit DEKRA-Zertifizierung,27.04.2015,21.01.2016,"1580,38",80,"Dresden, Stadt","Dresden, Kreisfreie Stadt",D,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel",Förderung der beruflichen Weiterbildung,"Weiterbildungsscheck, betrieblich"
A 14 Truck Service GmbH,Führerschein Klasse C/CE,Führerschein Klasse C/CE,07.01.2015,26.01.2016,"4876,3",80,"Nossen, Stadt",Meißen,D,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel",Förderung der beruflichen Weiterbildung,"Weiterbildungsscheck, betrieblich"
AAIC Soft Systems GmbH,Developer- Schulung für ERP Software der Office Line der Fa. Sage Produktschulung Technologieschulung,Developer- Schulung für ERP Software der Office Line der Fa. Sage Produktschulung Technologieschulung,23.11.2015,30.07.2016,795,80,"Leipzig, Stadt","Leipzig, Kreisfreie Stadt",D,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel",Förderung der beruflichen Weiterbildung,"Weiterbildungsscheck, betrieblich"
AB Elektronik SachsenGmbH,Vermittlung von Ausbildungsinhalten in anderen Unternehmen oder Einrichtungen ergänzend zur eigenen betrieblichen Ausbildung,Vermittlung von Ausbildungsinhalten in anderen Unternehmen oder Einrichtungen ergänzend zur eigenen betrieblichen Ausbildung,03.09.2015,05.08.2016,2200,80,Klingenberg,Sächsische Schweiz-Osterzgebirge,D,"Verbesserung der Arbeitsmarktrelevanz der Systeme der allgemeinen und beruflichen Bildung, Erleichterung des Übergangs von der Bildung zur Beschäftigung und Stärkung der Systeme der beruflichen Bildung und Weiterbildung und deren Qualität, unter anderem durch Mechanismen für die Antizipierung des Qualifikationsbedarfs, die Erstellung von Lehrplänen sowie die Einrichtung und Entwicklung beruflicher Bildungssysteme, darunter duale Bildungssysteme und Ausbildungswege",Stärkung der betrieblichen Berufsausbildung,Verbundausbildungen
"ABCD Alphabetisierung,Bildung, Chancen in Dresdene.V.",Alphabetisierung und Grundbildung für funktionale Analphabeten zur Verbesserung ihrer Beschäftigungschancen und ihrer sozialen Integration,"Das Projekt richtet sich an 6 - 8 Erwachsene bzw. Jugendliche aus Dresden und Umgebung, die als funktionale Analphabeten gelten. Ziel des Projektes ist es, die Schriftsprachkompetenzen der Teilnehmenden zu verbessern und damit die Grundlage für ihre Vermittelbarkeit in den Arbeitsmarkt zu schaffen. In dem Projekt erhalten die Lernenden eine lebens- und arbeitsweltorientierte Alphabetisierung und Grundbildung, die sie in die Lage versetzt, den aktuellen Anforderungen in der Arbeitswelt gerecht zu werden. Während der Projektlaufzeit unterstützt eine Sozialpädagogin die Teilnehmer in ihrem Lernprozess beratend und begleitend.",08.12.2014,31.07.2016,"150984,54",80,"Dresden, Stadt","Dresden, Kreisfreie Stadt",D,"Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit","SMK-ESF-Richtlinie 2014-2020, Alphabetisierung",Alphabetisierung von fuktionalen Analphabeten
"ABCD Alphabetisierung,Bildung, Chancen in Dresdene.V.",Alphabetisierung und Grundbildung für funktionale Analphabeten zur Verbesserung ihrer Beschäftigungschancen und ihrer sozialen Integration,"Das Projekt richtet sich an 6 - 8 Erwachsene bzw. Jugendliche aus Dresden und Umgebung, die als funktionale Analphabeten gelten. Ziel des Projektes ist es, die Schriftsprachkompetenzen der Teilnehmenden zu verbessern und damit die Grundlage für ihre Vermittelbarkeit in den Arbeitsmarkt zu schaffen. In dem Projekt erhalten die Lernenden eine lebens- und arbeitsweltorientierte Alphabetisierung und Grundbildung, die sie in die Lage versetzt, den aktuellen Anforderungen in der Arbeitswelt gerecht zu werden. Während der Projektlaufzeit unterstützt eine Sozialpädagogin die Teilnehmer in ihrem Lernprozess beratend und begleitend.",30.09.2015,31.10.2017,"159891,19",80,"Dresden, Stadt","Dresden, Kreisfreie Stadt",D,"Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit","SMK-ESF-Richtlinie 2014-2020, Alphabetisierung",Alphabetisierung von fuktionalen Analphabeten
Abderrahmane Agrad,Gründungsberatung zur Ausweitung eines Nebenerwerbs zum Vollerwerb als Schnellimbiss,"Das Vorhaben beinhaltet eine Beratung zu wirtschaftlichen, technischen, finanziellen bzw. organisatorischen Fragen mit dem Ziel des erfolgreichen Starts in die Selbständigkeit.",07.05.2015,30.06.2015,4000,80,"Dresden, Stadt","Dresden, Kreisfreie Stadt",D,"Selbstständigkeit, Unternehmergeist und Gründung von Unternehmen, einschließlich innovativer kleiner und mittlerer Unternehmen und Kleinstunternehmen",Gründungsberatung - ESF 2014-2020,Gründungsberatung ESF 2014-2020
Abdul Wasi Behzad,"Bewegungstherapie ""Motion"" nach Liebscher & Bracht","Bewegungstherapie ""Motion"" nach Liebscher & Bracht",10.02.2016,24.05.2016,"994,5",80,"Leipzig, Stadt","Leipzig, Kreisfreie Stadt",D,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel",Förderung der beruflichen Weiterbildung,"Weiterbildungsscheck, betrieblich"
