Name des Begünstigten,Bezeichnung des Vorhabens,Jahr der Bewilligung,Jahr der Restzahlung,Gewährte Beträge 1,Bei Abschluss des Vorhabens gezahlte Gesamtbeträge 1
"""KIDS"" e.V.","Energetische Sanierung der Kindertagesstätte  ""Albert
Schweitzer"" 06406 Bernburg, Goetheweg 4",2013,2014," 49.000,00"," 49.000,00"
"""Kinder- und Jugendhaus"" e.V.","Energetische Sanierung der Kindertagesstätte ""Wirbelwind""
im Passivhausstandard",2013,," 1.165.440,75",
"1. Naumburger Kinderbetreu-
ungswerk Regenbogen e.V.","Energetische Sanierung Integrative Kindertagesstätte
""Regenbogen""",2013,2015," 116.900,00"," 116.900,00"
"3-P Präzisions- Plastic Produkte
GmbH","Diversifizierung einer Betriebsstätte in zusätzliche neue
Produkte",2008,2010," 31.033,80"," 31.033,80"
"3-P Präzisions- Plastic Produkte
GmbH",Organisationsoptimierung,2010,2011," 9.000,00"," 9.000,00"
3b Metallbau GmbH,Risikomanagement,2011,2014," 9.000,00"," 9.000,00"
3b Metallbau GmbH,Unternehmensnachfolge,2011,2014," 13.500,00"," 13.500,00"
3C Membrane AG,Erweiterung einer Betriebsstätte,2010,2016," 0,00"," 0,00"
4cube GmbH,Risikomanagement,2014,2015," 2.400,00"," 2.400,00"
4cube GmbH,Risikomanagement,2012,2013," 3.300,00"," 3.300,00"
A & F Hygiene GmbH,"Innovationsberatungsdienste im Zusammenhang mit der
Entwicklung eines Anlage (Vakuumsublimator) zur
Dehydratisierung und Vakuumsublimation eines chemischen
Vorproduktes",2009,2010," 60.000,00"," 60.000,00"
"A & R Ausbausanierung und
Restaurierung",Risikomanagement,2010,2011," 7.200,00"," 7.200,00"
A&P InterPlacement GmbH,Organisationsoptimierung,2008,2008," 2.400,00"," 2.400,00"
"A-S-S Adolphs Sieben u. Sep. GmbH
u. TAC erste Verw. GmbH",Erweiterung einer Betriebsstätte,2007,2010," 85.764,84"," 85.764,84"
"A. Fengler Hermann Uhlmann
Maschinen- und Waagenbau GmbH",Erweiterung einer Betriebsstätte,2009,2010," 11.850,00"," 11.850,00"
"A. Karstens Oberflächenreinigung
GmbH",Erweiterung einer Betriebsstätte,2012,2014," 47.255,35"," 47.255,35"
"A. Meitinger Erben GmbH & Co. KG
u. EDNA International GmbH","Diversifizierung einer Betriebsstätte in zusätzliche neue
Produkte",2011,2014," 4.929.400,00"," 4.929.400,00"
"A.T.A. Anlagentechnik Aschersleben
GmbH & Co.KG",Erweiterung einer Betriebsstätte,2011,2014," 280.375,64"," 280.375,64"
"A.T.A. Anlagentechnik Aschersleben
GmbH & Co.KG",Erweiterung einer Betriebsstätte,2008,2012," 585.534,10"," 585.534,10"
"AAR Montagen GmbH Brauer und
Wolter",Organisationsoptimierung,2009,2010," 5.850,00"," 5.850,00"
ABASYS GmbH,MediTrac,2010,2012," 76.124,75"," 76.124,75"
Abbruch Management GmbH,"Marktforschung und Analyse von Möglichkeiten eines
datenbankbasierten Unternehmens- und
Auftragsmanagements für Abbrucharbeiten in Deutschland,
Recherche nach marktre-levanten Inhalten und technischen
Möglichkeiten",2009,2010," 11.550,00"," 11.550,00"
Abbundzentrum NORDLAM GmbH,Errichtung einer Betriebsstätte,2008,2015," 342.863,09"," 342.863,09"
"Abfallentsorgung Bördekreis
Wanzleben GmbH",Endgültige Oberflächenabdichtung der Deponie Gunsleben,2012,2014," 200.000,00"," 200.000,00"
Abfallwirtschaft GmbH Halle-Lochau,Anlage zur Sickerwasserinfiltration Deponie Halle-Lochau,2012,2013," 200.000,00"," 200.000,00"
ABO Wind AG,REStabil - Sachsen-Anhalt,2014,," 149.500,00",
"ABP - Innovative Blechbearbeitung
GmbH",Errichtung einer Betriebsstätte,2013,," 827.379,46",
ABP Maschinenbau GmbH,Stärkung des Innovationspotentials,2010,2012," 9.000,00"," 9.000,00"
ABP Maschinenbau GmbH,bauma  ́2010 Ort: München,2010,2011," 6.500,00"," 6.500,00"
Abtshof Magdeburg GmbH,ethanolarme Liköre,2009,2010," 59.597,00"," 59.597,00"
"Abwasserbeseitigung Weißenfels
AöR",Errichtung Regenüberlaufbecken 2 und 6 inkl. Anbindung,2013,," 8.219.671,08",
"Abwasserbeseitigung Weißenfels
AöR","Erweiterung der Kläranlage Weißenfels, 1. Ausbaustufe",2013,," 8.904.094,50",
"Abwasserbeseitigung Weißenfels
AöR","Hauptsammler Süd (Verb.dungskanal, Regenüberl.)",2009,2015," 2.319.569,04"," 2.319.569,04"
"Abwasserzweckverband Raguhn-
Zörbig","Potentialanalyse zur dezentralen Energieversorgung der
Kläranlage Zörbig",2013,2015," 43.376,34"," 43.376,34"
"Ackermann Fahrzeugbau
Oschersleben GmbH","Diversifizierung einer Betriebsstätte in zusätzliche neue
Produkte",2011,2015," 191.661,95"," 191.661,95"
"Ackermann Fahrzeugbau
Oschersleben GmbH","Entwicklung eines innovativen Koffers für den Kühleinsatz
unter Einsatz von aktiver Vakuumtechnik",2012,2015," 187.161,01"," 187.161,01"
"Ackermann Fahrzeugbau
Oschersleben GmbH",IAA `2008 Nutzfahrzeuge Ort: Hannover,2008,2009," 5.200,00"," 5.200,00"
ACTILOR GmbH,Erweiterung einer Betriebsstätte,2009,2015," 197.448,41"," 197.448,41"
adamus GmbH,Errichtung einer Betriebsstätte,2008,," 0,00",
adamus GmbH,MEDICA  ́2009 Ort: Düsseldorf,2009,2010," 5.200,00"," 5.200,00"
adamus GmbH,REHACARE INTERNATIONAL  ́2009 Ort: Düsseldorf,2009,2016," 0,00"," 0,00"
adamus group GmbH,9. Wiener Kleingartenmesse  ́2012 Ort: Wien,2012,2013," 974,46"," 974,46"
adamus group GmbH,AIDEX  ́2014 Ort: Brüssel,2014,2016," 0,00"," 0,00"
adamus group GmbH,AIDEXX  ́2013 Ort: Brüssel,2013,2014," 3.660,16"," 3.660,16"
adamus group GmbH,OutDoor  ́2013 Ort: Friedrichshafen,2013,2014," 1.482,63"," 1.482,63"
adamus group GmbH,REHACARE INTERNATIONAL  ́2013 Ort: Düsseldorf,2013,2014," 1.294,75"," 1.294,75"
adamus group GmbH,REHACARE INTERNATIONAL  ́2014 Ort: Düsseldorf,2014,2016," 0,00"," 0,00"
ADDCON Europe GmbH,"Diversifizierung einer Betriebsstätte in zusätzliche neue
Produkte",2011,2013," 277.066,13"," 277.066,13"
ADDCON Europe GmbH,"Entwicklung von analytischen Methoden zur Bestimmung von
Futterzusatzstoffen",2013,2015," 33.350,64"," 33.350,64"
ADDCON Europe GmbH,Erweiterung einer Betriebsstätte,2008,2013," 27.671,38"," 27.671,38"
ADDCON Europe GmbH,EuroTier '2010 Ort: Hannover,2010,2011," 6.500,00"," 6.500,00"
ADDCON Europe GmbH,"Oxidation wässriger Lösungen mit Gehalten an Methanol und
Formalin",2012,2015," 54.095,62"," 54.095,62"
ADDCON Europe GmbH,VICTAM ASIA  ́2010 Ort: Bangkok,2010,2011," 2.082,00"," 2.082,00"
ADDIMOL Auto Service GmbH,Risikomanagement,2008,2016," 0,00"," 0,00"
ADDINOL Lube Oil GmbH,Erweiterung einer Betriebsstätte,2008,2013," 1.610.000,00"," 1.610.000,00"
"Addison Entwicklungszentrum
Salzwedel GmbH u. Addison CS",Errichtung einer Betriebsstätte,2008,2012," 276.164,89"," 276.164,89"
Adelheid Schulze-Diemel,Organisationsoptimierung,2013,2016," 0,00"," 0,00"
"Adler-Apotheke Gerbstedt PhR Martin
Kuminek",Organisationsoptimierung,2012,2014," 1.200,00"," 1.200,00"
"Adler-Apotheke Parey Heike
Gebranzig",Organisationsoptimierung,2009,2010," 2.250,00"," 2.250,00"
"Adler-Apotheke Parey Heike
Gebranzig",Organisationsoptimierung,2008,2008," 3.000,00"," 3.000,00"
advanto Consulting GmbH,Manufacturing on demand für Prototypen und Kleinserien,2008,," 0,00",
advanto Consulting GmbH,i med - Patientenmanagementsystem,2007,," 0,00",
"AEM Anhaltische Elektromotorenwerk
Dessau GmbH","Diversifizierung einer Betriebsstätte in zusätzliche neue
Produkte",2009,2013," 1.197.000,00"," 1.197.000,00"
"AEM Anhaltische Elektromotorenwerk
Dessau GmbH","Einführung einer prozessübergreifenden Schnittstelle zur
virtuellen Inbetriebnahme elektrischer Maschinen bei AEM
Dessau",2013,2014," 72.000,00"," 72.000,00"
"AEM Anhaltische Elektromotorenwerk
Dessau GmbH","Einführung numerischer Methoden zur kundenorientierten
Auslegung elektrischer Großmaschinen bei AEM Dessau",2009,2012," 72.375,00"," 72.375,00"
AGCO Hohenmölsen GmbH,Errichtung einer Betriebsstätte,2010,," 2.695.125,06",
AGRO-SAT Consulting GmbH,NitraExpert,2009,2010," 106.719,80"," 106.719,80"
"Agrochemisches Institut Piesteritz
e.V.",Biomasseforschungskoordination (Teil 1/2),2008,," 737.243,00",
"Agrochemisches Institut Piesteritz
e.V.",Biomasseforschungskoordination (Teil 2/2),2008,," 19.071,09",
AHS Stahltechnik GmbH,Erweiterung einer Betriebsstätte,2013,2014," 61.180,00"," 61.180,00"
AHS Stahltechnik GmbH,Erweiterung einer Betriebsstätte,2010,2012," 242.600,00"," 242.600,00"
Aimess Products GmbH,Control  ́2010 Ort: Stuttgart,2010,2010," 6.500,00"," 6.500,00"
Aimess Products GmbH,Control  ́2011 Ort: Stuttgart,2011,2011," 6.500,00"," 6.500,00"
Aimess Products GmbH,Control  ́2012 Ort: Stuttgart,2012,2013," 6.500,00"," 6.500,00"
Aimess Products GmbH,Control  ́2014 Ort: Stuttgart,2014,2014," 6.500,00"," 6.500,00"
Aimess Products GmbH,Errichtung einer Betriebsstätte,2009,2011," 49.999,94"," 49.999,94"
Aimess Products GmbH,EuroMold  ́2009 Ort: Frankfurt/Main,2009,2010," 4.041,50"," 4.041,50"
Aimess Services GmbH,Control  ́2010 Ort: Stuttgart,2010,2010," 6.025,58"," 6.025,58"
Aimess Services GmbH,Control  ́2011 Ort: Stuttgart,2011,2011," 6.500,00"," 6.500,00"
Aimess Services GmbH,Control  ́2012 Ort: Stuttgart,2012,2013," 6.500,00"," 6.500,00"
Aimess Services GmbH,Control  ́2013 Ort: Stuttgart,2013,2016," 0,00"," 0,00"
Aimess Services GmbH,Control  ́2014 Ort: Stuttgart,2014,2014," 6.500,00"," 6.500,00"
Aimess Services GmbH,Genauigkeit und Geschwindigkeit von IR-3D-Scanner,2013,2014," 72.000,00"," 72.000,00"
Aimess Services GmbH,Infrarot 3D Scanner,2010,2013," 790.953,00"," 790.953,00"
Aimess Services GmbH,Risikomanagement,2013,2016," 0,00"," 0,00"
"airleben GmbH und Greiner &
Neupert GbR",Erweiterung einer Betriebsstätte,2014,2015," 75.535,59"," 75.535,59"
Aken,Dachsanierung Rathaus,2007,2009," 111.000,00"," 111.000,00"
"AKK GmbH - Kramer Anlagenbau
Kühl- und Klimatechn",Energie/Umwelt,2009,2010," 3.300,00"," 3.300,00"
