Name des Begünstigten,Bezeichnung des Vorhabens,Jahr der Bewilligung,Jahr der Restzahlung,Gewährte Beträge,Bei Abschluss des Vorhabens gezahlte Gesamtbeträge
"""Das Nest"" WTV-Der offene Kanal","Bildungsbezogenes Angebot ""Sozialtraining mit den
Methoden der medienpädagogischen Projektarbeit"" an den
Berufsbildenden Schulen I im Saalekreis",2009,2011,2470,2470
"Christliches Jugenddorfwerk
Deutschlands e.V.","""Tafelküche"" - Angebot einer warmen vollwertigen Mahlzeit
an Hilfebedürftige",2008,,"41002,73",
"Christliches Jugenddorfwerk
Deutschlands e.V.","""Unterstützung der offenen Kinder- und
Jugendarbeit/Internetcafe im Mehrgenerationenhaus""",2008,,"54785,28",
"Christliches Jugenddorfwerk
Deutschlands e.V.","""Unterstützung des Tierheimes in Zeitz""",2008,,"18499,07",
"Christliches Jugenddorfwerk
Deutschlands e.V.","""Zeitzer Tafel im CJD e.V.""",2008,,"86681,61",
"Christliches Jugenddorfwerk
Deutschlands e.V.","Erhöhung des kulturellen Lebens im soziokulturellen Zentrum
Lindenhof",2009,,"29845,44",
"Christliches Jugenddorfwerk
Deutschlands e.V.","Erweiterung der Freizeit-, Sport- und Veranstaltungsangebote",2008,,"19843,75",
"Christliches Jugenddorfwerk
Deutschlands e.V.","Fachliche Begleitung und Unterstützung von Vereinen bei
historischen Bauvorhaben unter Einbeziehung des
""Historischen Bauhofs""",2008,,"49427,99",
"Christliches Jugenddorfwerk
Deutschlands e.V.","Koordination und Unterstützung der Projekte Tafel,
Tafelküche und Möbelbörse",2008,,"20290,58",
"Christliches Jugenddorfwerk
Deutschlands e.V.","Mithilfe im Verein ""Drei Türme"" e.V.",2009,,"29845,44",
"Christliches Jugenddorfwerk
Deutschlands e.V.","Möbel,- Haushalt- und Elektrogerätebörse",2008,,"39136,52",
"Christliches Jugenddorfwerk
Deutschlands e.V.","Offene Kirchen als touristische Attraktion an der Straße der
Romanik",2008,,"35515,95",
"Christliches Jugenddorfwerk
Deutschlands e.V.","Unterstützung der offenen Kinder- und Jugendarbeit in der
Stadt Hohenmölsen",2008,,"38937,57",
Die Baumschule,Übernahme aus BÜE/ Stadt Dessau-Roßlau,2008,2009,2000,2000
Dorothea Christiane Erxleben e.V.,"Ganzheitliche, betriebswirtschaftliche
Unternehmensqualifizierung",2014,,16660,
Förderkreis Konradsburg e. V.,"Aufbau eines Klosterladens mit zusätzlichem Angebot für
Kinder/FP LOK/ Landkreis Harz",2013,2014,"2465,97","2465,97"
Förderkreis Konradsburg e. V.,"Erweiterung des geschichtlichen Erlebnisbereiches
Nordscheune/bronzezeitliches Museumsdorf",2008,,"37374,96",
Förderkreis Konradsburg e. V.,"Straße der Romanik/ Verbesserung der Attraktivität/
Konradsburg und der Turmwindmühle in Endorf",2014,,"35593,61",
Förderkreis Konradsburg e. V.,"Straße der Romanik/Verbesserung der Attraktivität/Projekt
Konradsburg",2010,,"79461,91",
Karin Sell,Aufbaukurs zur systemischen Familientherapeutin,2011,,"2270,8",
Maranata e.V.,"""Fit fürs Leben""",2009,,"26141,56",
Maranata e.V.,Akzeptanz-Toleranz lernen und leben!,2014,,"61661,54",
Maranata e.V.,"Sozialarbeit mit benachteiligten Kindern und Jugendlichen,
Integration von Randgruppen (Immigranten, sozial schwache
Familien, Ausländer, ...)",2008,,"9260,75",
Maranata e.V.,"Soziale Kontaktstelle Charity-Shop: gespendete Garderobe
zur Abgabe an Bedürftige",2008,,"17203,25",
Nelly Affeld,Osteopathie Teil 1,2012,,"1768,97",
René Jaeschke,Weiterbildungen im Friseurhandwerk,2011,2014,"4170,71","4170,71"
René Jaeschke,Weiterqualifizierung von Mitarbeiteren,2008,2010,"4872,56","4872,56"
"""Alte Brauerei"" Hotel & Restaurant am
Eulenturm C. & A. Schulz GbR",Berufliche Erprobung im Unternehmen,2014,,11880,
"""Apotheke am Brühl"" Inahberin:
Ariane Jäschke","52. Internationaler Fortbildungskurs für praktische und
wissenschaftliche Pharmazie der Bundesapothekerkammer",2014,,"902,48",
"""Finne""-Immobilien GmbH",Weiterbildungsbildungsstudiengang Immobilienbetriebswirt,2013,2014,"5174,66","5174,66"
"""Finneknirpse"" e. V. Kindertagesstätte","Projekt z.Verbess.d.vorsch.Bild.durch
Qual.d.Betreuungspersonals gem.Rd.Erl.d.MS-51324-1 aus
Mitteln d.ESF u.d.Landes Sachsen-Anhalt",2011,,3535,
"""Frauen helfen Frauen e.V.",Schwarzlichttheater als offenes Freizeitangebot/FP-LOK,2009,2011,"9391,37","9391,37"
"""Frauen helfen Frauen"" e.V.  Wolfen","Frauenpower - mit Selbstmarketing zum Erfolg/FP LOK/
Landkreis Anhalt-Bitterfeld",2012,2013,"8741,88","8741,88"
"""Freundes- und Förderverein der
Sekundarschule Muldenstein e.V.""","""Schüler helfen Schülern""  Sekundarschule Muldenstein",2012,,2910,
"""Kids"" e. V.",Berufliche Erprobung im Unternehmen,2014,,12240,
"""Kids"" e. V.",Berufliche Erprobung im Unternehmen,2014,,14400,
"""Kids"" e. V.",Berufliche Erprobung im Unternehmen,2014,,14400,
"""Kids"" e. V.","Projekt zur Qualifizierung des pädagogischen
Betreuungspersonals in der Integr. Kindertagesstätte Bussi
Bär in Bernburg",2011,,5000,
"""Kids"" e. V.","Projekt zur Qualifizierung des pädagogischen
Betreuungspersonals in der Integrativen Kindertagesstätte
Pünktchens Stromerland in Osmarsleben",2011,,5000,
"""Kids"" e. V.","Projekt zur Qualifizierung des pädagogischen
Betreuungspersonals in der Kindertagesstätte ""Albert
Schweitzer"" in Bernburg",2011,,5000,
"""Künstlerhaus 188"" e.V.","Kompetenzzentrum ""Gestalter im Handwerk""",2010,,"637979,31",
"""Otto von Guericke""
Universitätsbuchhandlung GmbH",Coaching,2013,2013,5400,5400
"""S mack"" I. Maximow und N. Weber
GbR",Coaching,2011,2013,5400,5400
"""Städtisches Pflegeheim Am
Lutzepark""",Berufliche Erprobung im Unternehmen,2014,,11880,
"""Städtisches Pflegeheim Am
Lutzepark""",Berufliche Erprobung im Unternehmen,2014,,"20511,68",
"-idm- Industrieservice &
Durcklufttechnik Magdeburg GmbH","PLC-Programmierung, SIEMENS 840 D sl, MG-SER, iTNC
530, Qualitätsmanagementsysteme sowie zertifizierter
SIMATIC-Techniker",2014,,"25632,36",
"-idm- Industrieservice &
Durcklufttechnik Magdeburg GmbH",Qualifizierung von Beschäftigten,2008,2010,"47796,61","47796,61"
"1.Naumburger Kinderbetreuungswerk
""Regenbogen"" e.V.","Berufliche Erprobung von Arbeitnehmer/innen in
erwerbswirtschaftlich orientierten Tätigkeiten",2013,,"5673,6",
"1.Naumburger Kinderbetreuungswerk
""Regenbogen"" e.V.","Berufliche Erprobung von Arbeitnehmer/innen in
erwerbswirtschaftlich orientierten Tätigkeiten",2013,,"13098,58",
3 F GmbH,"Kundenberater und Manager von Unternehmens- und
Regionalnetzwerken",2008,,"176868,13",
3wPhone GmbH,"Datenschutzbeauftragter sowie Business Englisch/IT
Englisch",2014,,"4693,73",
3wPhone GmbH,Qualifizierung 3wPhone,2008,2011,"78672,86","78672,86"
4cube gmbH,Berufliche Erprobung im Unternehmen,2014,,12960,
4cube gmbH,"Berufliche Erprobung von Arbeitneherm/innen in
erwerbswirtschaftlich orientierten Tätigkeiten",2013,,"1231,73",
4cube gmbH,"Berufliche Erprobung von Arbeitnehmer/innen in
erwerbswirtschaftlich orientierten Tätigkeiten",2013,,15840,
8M Event GmbH,"Dienstkunde, Businessetikette, Motivation/Wahrnehmung,
Interventionskraft, Lohnbuchhaltung/Vorschriften am
Arbeitsplatz, Notruf- und Serviceleitstelle/Personenschutz,
Geld- und Werttransporte/Detektei, Ausschreibung",2014,,"6540,49",
8M Event GmbH,Konfliktlösung durch Kommunikation 2015,2014,,"28360,8",
]init[ Digitale Kommunikation,"Einrichtung des Inhaltstyps ""Entgeltgleichheit"" auf dem
Gender Mainstreaming Portal Sachsen-Anhalt",2014,2014,"5914,3","5914,3"
]init[ Digitale Kommunikation,"Implementierungsleistungen des Gender Mainstreaming
Grundsatzes Los 1",2009,,"184155,59",
]init[ Digitale Kommunikation,"Implementierungsleistungen des Gender Mainstreaming
Grundsatzes Los 1",2009,,"429696,38",
A & F Hygiene GmbH,Qualifizierung von Beschäftigten,2008,2009,"12927,89","12927,89"
"A & F Personalservice GmbH
Merseburg",Qualifizierung VdS 2008/2009,2008,2013,"934,13","934,13"
A & L - Kunststoff UG,Berufliche Erprobung im Unternehmen,2014,,15840,
"A &#38; F Anlagen- u.
Feuerlöschtechnik GmbH",Fremdausbildung Verbesserung Ausbildungsqualität,2009,2009,4500,4500
A &#38; K Pötsch GmbH,"Ausbildung benachteiligter Jugendlicher/Landkreis
Wittenberg",2008,2009,2000,2000
A &#38; P Heizungsbau GmbH,Qualifizierung zum Kundendiensttechniker,2010,,"1828,68",
A &#38; Z Malerei GmbH,Ausbildung benachteiligter Jugendlicher,2008,2009,2000,2000
A&A Altendorf GmbH,Qualifizierung von Mitarbeitern,2008,2012,"5866,33","5866,33"
A&K Konstruktionsbüro GbR,Qualifizierung auf dem CAD-Programm Pro steel V8i,2012,,"1033,66",
A&O PYROGAMES GmbH,Berufliche Erprobung im Unternehmen,2014,,11880,
A&O PYROGAMES GmbH,"Investition & Finanzierung, Produktion / Operations
Research, Marketing, Internationales Management,
Informationsmanagement, Controlling",2014,,"7919,74",
"A&S Abbruch- und Erdarbeiten Morl
GmbH","Fahrerlaubnis BE, Fahrerlaubnis CE, Sachkundelehrgang
Dichtheitsprüfung",2013,2014,"2794,41","2794,41"
"a+i projekt/architekten &#38;
ingenieure","Weiterbildungsstudiengang Master of Engineering /
Vorbeugender Brandschutz",2009,,"10330,53",
a-tec GmbH,Fremdausbildung zur Verbesserung der Ausbildungsqualität,2009,2012,4275,4275
A. & M. Neuber Software GmbH,ZenTraining,2013,2014,"1164,46","1164,46"
A. & M. Neuber Software GmbH,ZenTraining - Stressbewältigung,2013,,"1164,43",
A. Meier e.K.,Pneumatik,2014,,"1268,02",
"A.I.P. Ambulanter Intensivpflegedienst
Sachsen-Anhalt UG","Fachkraft für außerklinische Beatmung; Weiterbildung
Tracheostomaversorgung",2014,,"6831,4",
"A.T.A. Anlagentechnik Aschersleben
GmbH & Co. KG",Übernahme aus BÜE,2008,2009,2000,2000
