Year 1,Year 2,source,beneficiary,name_of_operation,on_finish_total_value,allocated_public_funding
2010,2012,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,"""Kolle ́s Alter Muschelsaal 
GbR"", Inh. Werner Kolle, 
Erika Kolle u. Karl-Heinz 
Kolle","Modernisierung einer 
Betriebsstätte in Büsum (Kolles 
Alter Muschelsaal GbR)","80.661,56 €",
2009,2012,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,"""Mein Inselhotel""","Modernisierung einer 
Betriebsstätte, Mein Inselhotel 
(ehemals Graf Luckner), Inh. 
Gunnar Jöns","103.638,28 €",
2009,,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,2wcom GmbH,"Evaluierung und Entwicklung 
eines Verfahrens zur 
Gleichwellennetzmessung",,"247.424,00 €"
2008,2014,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,"2wcom GmbH
 und LMS 4 GbR","2wcom GmbH Verlagerung 
einer Betriebsstätte in Flensburg","431.298,00 €",
2010,2012,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,4CARE AG,"Verbesserte elektronische 
Geschäftsprozesse","197.998,84 €",
2008,2014,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,"A & B 
Verpackungsmaschinen 
Manufaktur GmbH","A & B Verpackungsmaschinen 
GmbH Errichtung einer 
Betriebsstätte in Bokholt-
Hanredder ","27.420,51 €",
2009,2011,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,"A.K.tiv Sportbetriebe 
GmbH","Einstellung 
Innovationsassistent/-in","28.710,00 €",
2009,2013,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,AALERNHÜS Hotel OHG,"AALERNHÜS Hotel OHG, 
vorm.Hotel Vier Jahreszeiten 
oHG, Modernisierung einer 
Betriebsstätte in St. Peter-
Ording","102.147,81 €",
2013,2015,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,"AccXess IT-Systems 
GmbH",Avalon Key,"135.553,27 €",
2008,2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,Adolf Baur Pharma GmbH ,"Einstellung 
Innovationsassistent/-in","11.208,79 €",
2008,2012,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,"Adolf Nissen Elektrobau 
GmbH + Co. KG","Adolf Nissen Elektrobau GmbH 
& Co. KG Erweiterung einer 
Betriebsstätte in Tönning ","493.506,00 €",
2011,2014,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,"Adrett-Textil-Service 
GmbH","Modernisierung einer 
Betriebsstätte in Schuby, Adrett 
Textilservice GmbH","384.837,55 €",
2010,2014,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,"AFA Nord GmbH 
Agrarfolienaufbereitung","Errichtung einer Betriebsstätte 
in Hohenwestedt (AFA Nord 
GmbH Agrarfolienaufbereitung)","1.155.000,00 €",
2010,2012,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,AfB Kaman REHA GmbH,"Errichtung einer Betriebsstätte 
in Geesthacht (AfB Kaman 
REHA GmbH)","203.584,87 €",
2007,2012,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,"Affeldt Maschinenbau 
GmbH","Entwicklung einer 
Folienschweißmaschine  mit 
verbessertem 
Leistungsspektrum","152.049,00 €",
2011,2013,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,"AGUA GmbH
NL - Kiel","Einstellung 
Innovationsassistent/-in","23.223,63 €",
2008,2011,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,Ahlf Elektrotechnik GmbH,"Vollautomatisches 
Positioniersystem zur 
Integration in Steuerungen","25.966,29 €",
