years,source,beneficiary,name_of_operation,on_finish_total_value,allocated_public_funding
2013,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"""Mein Inselhotel""
Norddorf",A2 - Potenzialberatung,"2.100,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"1. Eckernförder Tages- und Dauerpflege für 
Senioren
Eckernförde",A2 - Potenzialberatung,"2.700,00",
2009,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"A. Heinemann Heide GmbH & Co. KG
Heide",A2 - Potenzialberatung,"3.000,00",
2012,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Abendfrieden Seebestattungen GmbH
Stein",A2 - Potenzialberatung,"900,00",
2013,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Adler-Schiffe GmbH & Co.KG
Westerland",A2 - Potenzialberatung,"3.000,00",
2011,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"AEW Wassertechnologie GmbH
Oststeinbek",A2 - Potenzialberatung,"2.700,00",
2012,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Affeldt Maschinenbau GmbH
Neuendorf",A2 - Potenzialberatung,"3.000,00",
2013,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Ahornhof - Therapiezentrum
Groß Offenseth-Aspern",A2 - Potenzialberatung,"1.500,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"AKA Pflegedienst GmbH
Eutin",A2 - Potenzialberatung,"1.500,00",
2009,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Alaska Fisch Gmbh & Co. KG
Braak",A2 - Potenzialberatung,"2.700,00",
2011,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Alko Autolackierungen GmbH
Kaltenkirchen",A2 - Potenzialberatung,"3.000,00",
2009,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"All arts Annette Strothmann
Stoltebüll",A2 - Potenzialberatung,"2.400,00",
2008,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Allgemeinärztliche Praxis Dr. Melloh
Lübeck",A2 - Potenzialberatung,"3.000,00",
2012,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"ALN Akustik Labor Nord GmbH
Kiel",A2 - Potenzialberatung,"3.000,00",
2008,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"ALN Analytik Labor Nord GmbH
Heide",A2 - Potenzialberatung,"3.000,00",
2008,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Alte Backstube 
List",A2 - Potenzialberatung,"3.000,00",
2013,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Alten- und Pflegeheim ""Cecilien-Burg""
Tornesch",A2 - Potenzialberatung,"1.500,00",
2012,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Alten- und Pflegeheim an der Oberalster
Kayhude",A2 - Potenzialberatung,"3.000,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Alten- und Pflegeheim Haus Diana
Seedorf",A2 - Potenzialberatung,"3.000,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Alten- und Pflegeheim Heinrichshof
Dagebüll",A2 - Potenzialberatung,"3.000,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Alten- und Pflegeheim Stolten
Hartenholm",A2 - Potenzialberatung,"2.400,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Alten- und Pflegeheim Zur Waldburg 
Lentföhrden",A2 - Potenzialberatung,"3.000,00",
2009,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Am Segelhafen Hotel GmbH
Kiel",A2 - Potenzialberatung,"1.197,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Ambulanter Pflegedienst
Nortorf",A2 - Potenzialberatung,"1.200,00",
2011,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Ambulanter Pflegedienst To Huus
Lohe-Rickelshof",A2 - Potenzialberatung,"300,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Ambulantes Pflegeteam Hägermann & Moll 
GmbH
Wyk",A2 - Potenzialberatung,"1.200,00",
2012,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"AMH Haustechnik GmbH & Co. KG
Flensburg",A2 - Potenzialberatung,"1.800,00",
2012,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Andreas Schmidt, Fernseh-Service
Neustadt",A2 - Potenzialberatung,"1.800,00",
2013,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Ansgar-Apotheke Kiel
Kiel",A2 - Potenzialberatung,"2.340,00",
2009,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"ANT Applied New Technologies AG
Lübeck",A2 - Potenzialberatung,"3.000,00",
2013,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Appartements & Mehr
Kampen",A2 - Potenzialberatung,"3.000,00",
2011,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Appartementvermietung Haus Silbermöwe
Wyk",A2 - Potenzialberatung,"2.400,00",
2014,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Appelwarder Spezialitäten-Kate GmbH & Co. KG
Kühren",A2 - Potenzialberatung,"2.400,00",
2009,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Arcadima KG
Ellerbek",A2 - Potenzialberatung,"3.000,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Architekturbüro Johannsen und Fuchs
Husum",A2 - Potenzialberatung,"2.400,00",
2008,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Arena Sport- und Freizeit GmbH & Co. KG 
Fitness-World Fitness-Studio GmbH & Co. KG
Neumünster",A2 - Potenzialberatung,"1.200,00",
2009,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Arendt Elektroanlagen GmbH
Schenefeld",A2 - Potenzialberatung,"2.925,00",
2013,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Armin Behrmann Elektromeister
Bredstedt",A2 - Potenzialberatung,"1.500,00",
2009,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Arthur Prüß GmbH & Co. KG
Lübeck",A2 - Potenzialberatung,"3.000,00",
2008,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Artur Hassel KG
Ascheberg",A2 - Potenzialberatung,"3.000,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"ASB Landesverband S-H e.V.
Elmshorn",A2 - Potenzialberatung,"1.500,00",
2012,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"ASG Automobilservice Grotewohlt GmbH
Norderstedt",A2 - Potenzialberatung,"3.000,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"ATP Elektrotechnik GmbH
Halstenbek",A2 - Potenzialberatung,"3.000,00",
2014,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"August Ernst GmbH & Co. KG Kornbrennerei und 
Likörfabrik
Bad Oldesloe",A2 - Potenzialberatung,"1.800,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Auto Horn GmbH
Kiel",A2 - Potenzialberatung,"891,00",
2011,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Auto Storm KG
Oldenburg",A2 - Potenzialberatung,"2.400,00",
2008,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Auto Weding Kfz GmbH
Handewitt",A2 - Potenzialberatung,"3.000,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Auto Zentum Meincke GmbH
Büdelsdorf",A2 - Potenzialberatung,"2.700,00",
2009,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Autohaus Barleben GmbH
Lütjenburg",A2 - Potenzialberatung,"1.800,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Autohaus Ben Pape GmbH
Pinneberg",A2 - Potenzialberatung,"3.000,00",
2009,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Autohaus Bruno Egler
Neustadt",A2 - Potenzialberatung,"2.100,00",
2009,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Autohaus Christian Schubert
Neuberend",A2 - Potenzialberatung,"2.430,00",
2008,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Autohaus Fabian GmbH
Kappeln",A2 - Potenzialberatung,"3.000,00",
2008,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Autohaus Gehrmann
Lütjenburg",A2 - Potenzialberatung,"2.100,00",
2012,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Autohaus Heuer GmbH
Geesthacht",A2 - Potenzialberatung,"3.000,00",
2009,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Autohaus Lensch GmbH & Co. KG
Bredstedt",A2 - Potenzialberatung,"2.700,00",
2008,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Autohaus Manfred Rau GmbH & Co. KG
Brunsbüttel",A2 - Potenzialberatung,"3.000,00",
2009,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Autohaus Owschlag
Owschlag",A2 - Potenzialberatung,"1.800,00",
2008,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Autohaus Ralf Schnoor
Brunsbüttel",A2 - Potenzialberatung,"1.500,00",
