Name des Begünstigten -  beneficiary name;Bezeichnung des Vorhabens - operation name;Zusammenfassung des Vorhabens - operation summary;Beginns des Vorhabens - operation start date;Ende des Vorhabens  - operation end date;Gesamtbetrag der förderfähigen Ausgaben des Vorhabens - total eligible expenditure allocated to the operation;Unions-Kofinanz-ierungs-satz  pro Prioritätsachse - Union co-financing rate;Postleitzahl des Vorhabens - operation postcode;Land -country;Bezeichnung der Interventionskategorie-  name of category of intervention
"""Auszeit"" Bistro und Pension Inh. Ulrike Lescher-Warnke";2015 TIZ 0299;Anschaffung neuer Geräte und Einrichtungen für das Bistro und die Pension;15.07.2015;31.12.2016;40.000,00 €;80%;7743;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
"""grünes Herz"" Teehaus und Bistro UG (haftungsbeschränkt)";2015 TIZ 0013;bauliche Investitionen und Anschaffung von Maschinen und Einrichtungen für das Unternehmen;06.01.2015;31.12.2016;20.800,00 €;80%;99084;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
"""Landhof"" GmbH Thüringer Fleisch- und Wurstwaren";2016 TIZ 0117;Durchführung baulicher Investitionen für einen neuen Unternehmensstandort;06.04.2016;31.12.2016;460.000,00 €;80%;7589;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
"""Sterngrund GbR"" Stefan Lange & Frank-Uwe Bartholomäus";2015 TIZ 0132;Durchführung baulicher Investitionen und Anschaffung neuer Maschinen und Einrichtungen für das Unternehmen;27.03.2015;26.03.2017;200.000,00 €;80%;98544;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
"""Thüfleiwa"" Thüringer Fleischwaren, Produktions- und Vertriebs AG";2015 TIZ 0461;Anschaffung neuer Maschinen und Einrichtungen für das Unternehmen;07.12.2015;01.03.2016;98.466,50 €;80%;99510;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
3D-Schilling GmbH;2016 EEB 0048;Durchführung einer Energieeffizienzberatung (Situationsanalyse) für das Unternehmen 3D-Schilling GmbH;01.05.2016;29.09.2016;11.062,50 €;80%;99706;Deutschland;068 - Energieeffizienz- und Demonstrationsprojekte in KMU und Begleitmaßnahmen
3Faktur GmbH;2015 TIZ 0163;Anschaffung neuer Maschinen und Einrichtungen für das Unternehmen;22.04.2015;31.12.2016;80.000,00 €;80%;7745;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
-4H - JENA engineering GmbH;2015 AWF 0030;Teilnahme an der internationalen Messe Oceanology International 2016 in London/ Großbritannien (Ausland) sowie zur Erstellung von Werbematerialien in mindestens einer Fremdsprache;16.11.2015;17.03.2016;13.000,00 €;80%;7745;Deutschland;066 - Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse (einschließlich Dienstleistungen für Management, Marketing und Design)
A.F.F.T. Aluminium-Fenster- Fassadentechnik GmbH;2016 EEB 0082;Durchführung einer Situationsanalyse bei der A.F.F.T. Aluminium-Fenster-Fassadentechnik GmbH in 36404 Vacha, Einersbergstraße 3;01.07.2016;28.02.2017;12.600,00 €;80%;36404;Deutschland;068 - Energieeffizienz- und Demonstrationsprojekte in KMU und Begleitmaßnahmen
A.G. Thorwarth Metallwarenfabrik GmbH;2015 FE 9046;Entwicklung einer Tiefziehtechnologie auf der Basis eines durch Fräsen mit überlagerter Bewegung erzeugten Tiefziehwerkzeuges;01.07.2016;30.06.2018;50.500,00 €;80%;98574;Deutschland;062 - Technologietransfer und Zusammenarbeit zwischen Hochschulen und Unternehmen, vor allem zugunsten von KMU
a2 - solar Advanced and Automotive Solar Systems GmbH;2016 AWF 0028;"Teilnahme an der internationalen Messe ""Intersolar Europe"" vom 22.06.2016 bis 24.06.2016 in München / Deutschland sowie zur Erstellung von Werbematerialien in mindestens einer Fremdsprache";09.02.2016;24.06.2016;13.000,00 €;80%;99099;Deutschland;066 - Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse (einschließlich Dienstleistungen für Management, Marketing und Design)
ABS Gesellschaft f.Automatisierung, Bildverarbeitung und Software mbH;2016 AWF 0091;"Teilnahme an der internationalen Messe ""electronica"" in München/Deutschland vom 08.11.2016 - 11.11.2016 sowie zur Erstellung von Werbematerialien in mindestens einer Fremdsprache";05.04.2016;11.11.2016;13.000,00 €;80%;7747;Deutschland;066 - Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse (einschließlich Dienstleistungen für Management, Marketing und Design)
"Absatzgenossenschaft ""Fahner Obst"" e.G.";2015 EEB 0082;"Durchführung einer Energieeffizienzberatung (Situationsanalyse) für die Absatzgenossenschaft ""Fahner Obst"" eG";01.01.2016;30.06.2016;12.600,00 €;80%;99100;Deutschland;068 - Energieeffizienz- und Demonstrationsprojekte in KMU und Begleitmaßnahmen
Abwasser-Rohrreinigung Rohn GmbH;2015 TIZ 0216;Anschaffung eines neuen Kamerasystems für das Unternehmen;01.06.2015;30.12.2015;50.500,00 €;80%;99734;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
ACHAVA e.V.;2016 LTM 0002;ACHAVA Festspiele Thüringen 2016;01.06.2016;30.11.2016;64.997,85 €;80%;99423;Deutschland;075 - Entwicklung und Förderung touristischer Dienstleistungen durch oder für KMU
Active Fiber Systems GmbH;2015 FE 9157;Langzeitstabile und skalierbare parallelisierte Ultrakurzpulsverstärker;01.04.2016;31.03.2019;1.037.287,50 €;80%;7745;Deutschland;062 - Technologietransfer und Zusammenarbeit zwischen Hochschulen und Unternehmen, vor allem zugunsten von KMU
agenos GmbH;2015 TIZ 0493;bauliche Investitionen und Anschaffung neuer Maschinen und Einrichtungen sowie immaterieller Wirtschaftsgüter für das Unternehmen;04.11.2015;30.11.2016;186.000,00 €;80%;99427;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Agrargenossenschaft Rückersdorf eG;2016 DMO 0001;Lüftung Schweinestall;03.06.2016;28.02.2017;54.008,00 €;80%;7580;Deutschland;068 - Energieeffizienz- und Demonstrationsprojekte in KMU und Begleitmaßnahmen
AGS Autoservice Gebr. Schilling GbR Kevin und Cliff Schilling;2015 TIZ 0352;Durchführung baulicher Investitionen sowie Anschaffung neuer Maschinen und Einrichtungen für das Unternehmen;31.08.2015;31.10.2016;390.000,00 €;80%;7616;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
AH ARCHITEKTENBÜRO HOSE Dietrich Hose;2015 TIZ 0345;Anschaffung neuer Maschinen und Einrichtungen sowie immaterieller Wirtschaftsgüter für das Unternehmen;15.09.2015;01.09.2017;59.818,00 €;80%;99974;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Albert Karl OHG;2015 TIZ 0479;bauliche Investitionen für das Unternehmen;01.01.2016;31.10.2016;470.000,00 €;80%;99198;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Albert Pohle GmbH Seilerei, Sport- & Spielbedarf;2015 TIZ 0375;Durchführung von baulichen Investitionen sowie Anschaffung neuer Maschinen und Einrichtungen für das Unternehmen;01.10.2015;31.10.2016;259.900,00 €;80%;7950;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Alberts Holzverarbeitungszentrum Inh. Mirko Albert;2015 TIZ 0052;Anschaffung neuer Maschinen und Einrichtungen für das Unternehmen;20.02.2015;31.12.2015;389.389,67 €;80%;7613;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Alexander Brenner und Sven Hiemisch GbR;2015 EEB 0092;Durchführung einer Energieeffizienzberatung (Situationsanalyse) für das Unternehmen Alexander Brenner und Sven Hiemisch GbR;01.12.2015;30.09.2016;12.502,57 €;80%;7318;Deutschland;068 - Energieeffizienz- und Demonstrationsprojekte in KMU und Begleitmaßnahmen
Alexander Brenner und Sven Hiemisch GbR;2015 TIZ 0426;Durchführung baulicher Investitionen und Anschaffung neuer Maschinen und Einrichtungen für das Unternehmen;12.11.2015;11.11.2017;150.000,00 €;80%;7318;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
