Name des Begünstigten ,Bezeichnung des Vorhabens,Zusammenfassung des Vorhabens ,Beginn des Vor-habens ,Ende des Vor-habens ,Gesamtbetrag der förderfähigen Ausgaben des Vorhabens ,Unions-Kofinan- zierungssatz  pro Prioritäts-achse  ,Postleitzahl des Vorhabens ,Land ,Bezeichnung der Interventionskategorie
1. gemeinnütziger Aus- und Weiterbildungsverbund Altenburg - AWA- e. V.,Praxisnahe Berufsorientierung in den Schuljahren 2015/2016 und 2016/2017 in der Gebietskörperschaft Altenburger Land,"Zielgruppe: Schüler/Gymnasiasten ohne Förderbedarf aus 4 Regelschulen und 1 Gymnasium. Im Schuljahr 2015/2016 sind 64 Teilnehmer und im Schuljahr 2016/2017 sind 49 Teilnehmer geplant.    Maßnahmeziel und -inhalt: Unter Berücksichtigung der Landesstrategie Berufsorientierung wird den Schülern und Gymnasiasten die Arbeits- und Berufswelt in altersgemäßer Form nähergebracht. Dies geschieht durch individuelle, bedarfsgerechte, arbeitsmarktorientierte und regionale sowie wirtschaftsnahe und umfassende berufliche Orientierung. Im Rahmen von Berufsfelderkundungen und -erprobungen werden den Schülern grundlegende Kenntnisse über die Struktur der Berufs- und Arbeitswelt sowie Inhalte und Anforderungen verschiedener Berufsbilder vermittelt. Dabei steht das Erleben im Vordergrund, weswegen dem praktischen Tätigwerden besondere Bedeutung beigemessen wird. Im Mittelpunkt der Berufsorientierung steht für die Schüler das kompetenz-orientierte Arbeiten. Ausgehend von praktischen Aufgabenstellungen werden theoretische Zusammenhänge zum Fachunterricht erläutert und Verbindungen zur regionalen Wirtschaft hergestellt. Um ein Maximum an Motivation und Mitarbeit der Schüler zu erzielen, werden insbesondere in der Berufsfelderprobung Projekte bearbeitet, die meist mit der Herstellung eines Kleinproduktes verbunden sind. Ziel ist es unter anderem, die Fachkräftebedarfe und die Berufswünsche der Schüler unter Berücksichtigung der regionalen Möglichkeiten und des demografischen Wandels der Region zu korrelieren und damit sowohl die Schulen als auch die Agentur für Arbeit bei ihren individuellen Berufsorientierungsaktivitäten zu unterstützen.    Einbindung in Gesamtkonzept der Gebietskörperschaft: Mit dem Fokus auf gewerblich-technische Aus- und Weiterbildungen kennen wir aufgrund eines weitverzweigten Netzwerkes die konkreten Fachkräftebedarfe der (über-) regionalen Unternehmen. Diese wichtige Kenntnis bringen wir in die Maßnahme und die Gebietskörperschaft Altenburger Land ein. Unsere nachhaltigen Erfahrungen mit Bildungsteilnehmern beruhen auf einer 22-jährigen intensiven Arbeit mit Kindern, Jugendlichen und Erwachsenen. Unsere Fachausbilder/Lehrkräfte und Sozialpädagogen sind entsprechend qualifiziert und motiviert. Unter anderem verfügt ein großer Teil unseres Personals über eine Rehabilitationspädagogische Zusatzausbildung. Räumlich-technische Voraussetzungen entsprechen geltenden Normen/Richtlinien und spiegeln eine sehr hohe und individuelle  Bildungs-qualität wieder.    Berufsfelder: Der AWA e.V. ist sowohl in den Berufsfelderkundungen, als auch in den Berufsfelderprobungen und bei der Betreuung der Schüler in den Betrieben und sowohl für die Regelschüler als auch für die Gymnasiasten in folgenden Berufsfeldern aktiv: Metalltechnik/ Werkstoffprüfung, Kunststofftechnik, Elektrotechnik, Automatisierungstechnik und Technische Kommunikation. Aufgrund unserer intensiven Netzwerkarbeit ist eine Empfehlung und Betreuung in fachkräftesuchende(n) Unternehmen jederzeit gewährleistet. Die Zuordnung der Schüler in die Berufsfelderkundungen/-erprobungen erfolgt unter Berücksichtigung der Vorgaben des KAV und der Förderrichtlinie in Kooperation mit den Schulen.    Maßnahmeort: AWA e.V., Fr.-Ebert-Str. 33, 04600 Altenburg. Der AWA e.V. liegt in Zentrumsnähe von Altenburg und ist von den Altenburger Schülern/Gymnasiasten zu Fuß erreichbar. Für die Schmöllner Regelschüler werden aufgrund der geringen Schülerzahlen und um eine wirtschaftliche Mittelverwendung zu gewährleisten, Schülerwochenkarten (Busverbindung, MDV) kalkuliert.    Laufzeit: 01.09.2015 - 31.07.2017",01.09.2015,31.07.2016,"13.074,00",80.00%,"04600 Altenburg, Thür",DE,"Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
3D-Schilling GmbH,Beratung durch selbständige Unternehmensberater in den Bereichen Unternehmenswachstum und Wettbewerbsfähigkeit,Beratung durch selbständige Unternehmensberater – Intensivberatung und Prozessbegleitung,09.07.2015,30.04.2016,"7.500,00",80.00%,"99706 Sondershausen, Thür",DE,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel"
4FriendsOnly.com Internet Technologies AG,Cloud-basiertes Intershop-Cluster-Management auf Basis von Amazon Web Services,Cloud-basiertes Intershop-Cluster-Management auf Basis von Amazon Web Services,01.12.2015,30.11.2017,"72.000,00",80.00%,"98693 Ilmenau, Thür",DE,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel"
<i-D> internet + Design GmbH & Co. KG,Beratung durch selbständige Unternehmensberater in den Bereichen Unternehmenswachstum und Wettbewerbsfähigkeit,Beratung durch selbständige Unternehmensberater – Intensivberatung und Prozessbegleitung,21.09.2015,15.11.2015,"8.850,00",80.00%,"99423 Weimar, Thür",DE,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel"
<i-D> internet + Design GmbH & Co. KG,Beratung durch selbständige Unternehmensberater in den Bereichen Unternehmenswachstum und Wettbewerbsfähigkeit,Beratung durch selbständige Unternehmensberater – Intensivberatung und Prozessbegleitung,29.02.2016,30.09.2016,"8.850,00",80.00%,"99423 Weimar, Thür",DE,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel"
A-Z Systeme GmbH,Weiterentwicklung und Neuausrichtung der vorhandenen Individualsoftware-Lösungen der A-Z Systeme GmbH unter Berücksichtigung der Entwicklungen im Cloud-Business,"Beratung & Betreuung B2B Kunden, Komplexität steigt durch Veränderung der IT Branche, Neuentwicklung von Softwarelösung notwendig, Softwareentwickler m. Schlüsselqualifikationen nötig:versch. Programmiersprachen,Datenbank- und Softwarearchitekturkenntnisse,Customizing von Software und Webanwendungen,Aufgabe des neuen Mitarbeiters auch Weiterentwicklung des vorhandenen Personals Ziel: Bereich personell fit für die neuen Anforderungen zu machen, Kundenakquise für neue Softwarelösungen (Messen), Thüringer Unternehmen Lösungen für branchen- und firmenspezifische Herausforderungen bieten",01.03.2016,28.02.2018,"72.000,00",80.00%,99974 Mühlhausen/Thüringen,DE,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel"
A-Z Systeme GmbH,Beratung durch selbständige Unternehmensberater im Bereich Unternehmensnachfolge,Beratung durch selbständige Unternehmensberater – Intensivberatung und Prozessbegleitung,16.02.2016,31.01.2017,"5.310,00",80.00%,99974 Mühlhausen/Thüringen,DE,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel"
A.G. Thorwarth Metallwarenfabrik GmbH,Beratung durch selbständige Unternehmensberater im Bereich Unternehmenswachstum und Wettbewebsfähigkeit,Beratung durch selbständige Unternehmensberater – Intensivberatung und Prozessbegleitung,11.02.2015,31.10.2015,"4.900,00",80.00%,98574 Schmalkalden,DE,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel"
A.G. Thorwarth Metallwarenfabrik GmbH,Beratung durch selbständige Unternehmensberater in den Bereichen Unternehmenswachstum und Wettbewerbsfähigkeit,Beratung durch selbständige Unternehmensberater – Intensivberatung und Prozessbegleitung,03.03.2016,31.07.2016,"4.500,00",80.00%,98574 Schmalkalden,DE,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel"
AB FUBOTEC GMBH,Beratung durch selbständige Unternehmensberater in den Bereichen Unternehmenswachstum und Wettbewerbsfähigkeit,Beratung durch selbständige Unternehmensberater – Intensivberatung und Prozessbegleitung,18.04.2016,30.06.2016,"8.850,00",80.00%,"99867 Gotha, Thür",DE,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel"
