Koodi,Rahasto,Hankkeen nimi,Tl,Viranomainen,Tila,Aloituspvm,Päättymispvm,Toteuttajan nimi,Myönnetty EU- ja valtion rahoitus,Toteutunut EU- ja valtion rahoitus,Suunniteltu julkinen rahoitus yhteensä,Toteutunut julkinen rahoitus yhteensä;
A70301,EAKR,Reaktoritekniikkaan perustuvat uudet prosessit |prosessikemikaalit ja (rainattavat)biotuotteet  - Reaktek,2, Innovaatiorahoituskeskus Tekes,Toiminnassa,1.3.2015,28.2.2017,Mikkelin Ammattikorkeakoulu Oy,443909,71641,443909,54941,,;
A70302,EAKR,INKA-Uudet tekniikat sähköverkon vikatilanteiden ja hajautetun tuotannon hallinnassa,2,Innovaatiorahoituskeskus Tekes,Toiminnassa,1.3.2015,28.2.2017,Lappeenrannan teknillinen yliopisto,280000,57227,319258,59451,,;
A70303,EAKR,INKA - SmartResearch,2,Innovaatiorahoituskeskus Tekes,Toiminnassa,1.1.2015,31.12.2016,Oulun Yliopisto,81000,7155,85500,7950,,;
A70304,EAKR,Vapaamuotoinen optiikka prototyypeistä tuotantoon,2,Innovaatiorahoituskeskus Tekes,Toiminnassa,1.1.2015,31.12.2016,Itä-Suomen yliopisto,540000,56940,570000,54267,,;
A70305,EAKR,INKA EAKR Hardware Rooted Security - TUT,2,Innovaatiorahoituskeskus Tekes,Toiminnassa,1.1.2015,30.6.2016,157500,157500,35028,166500,38921,,;
A70306,EAKR,Tehtaan laajennus ja tuotanto- ja logistiikkatoimintojen kehittäminen,1,Pohjois-Pohjanmaan elinkeino-  liikenne- ja ympäristökeskus,Toiminnassa,29.9.2014,31.12.2016,LAPWALL OY,390000,390000,390000,390000,,;
A70307,EAKR,Materiaalinkäsittelykoneen hankinta,1,Etelä-Savon elinkeino-  liikenne- ja ympäristökeskus,Toiminnassa,26.9.2014,31.12.2015,ROMUVÄLITYS TUOVINEN OY,73850,73500,73850,73500,,;
A70308,EAKR,Cenmia Lubrication Concept,1,Keski-Suomen elinkeino-  liikenne- ja ympäristökeskus,Toiminnassa,26.9.2014,31.12.2016,CENMIA OY,118630,69862,118630,69862,,;
A70309,EAKR,CenXport,1,Keski-Suomen elinkeino-  liikenne- ja ympäristökeskus,Toiminnassa,23.9.2014,31.12.2016,CENMIA OY,88300,24916,88300,24916,,;
A70310,EAKR,PVC- karmisten tuotteiden valmistus.,1,Pohjois-Pohjanmaan elinkeino-  liikenne- ja ympäristökeskus,Toiminnassa,2.9.2014,30.12.2016,ICCUNA OYTEEMU HAAPALAHTI,345720,243386,345720,243386,,;
A70311,EAKR,BC Työhyvinvointi 2015 -kehittämishanke,1,Pohjois-Pohjanmaan elinkeino-  liikenne- ja ympäristökeskus,Toiminnassa,29.9.2014,30.8.2015,KUNTOSALI BODY CENTER OY,17170,15515,17170,15515,,;
A70312,EAKR,Vienninedistäminen,1,Pohjois-Pohjanmaan elinkeino-  liikenne- ja ympäristökeskus,Toiminnassa,29.9.2014,31.12.2016,HUMANTOOL OY,44000,10525,44000,10525,,;
A70313,EAKR,CAD,1,Keski-Suomen elinkeino-  liikenne- ja ympäristökeskus,Toiminnassa,11.4.2014,31.12.2016,AL DESIGN OY,22810,0,22810,0,,;
