fond,annee,titre,durée,région,source,fond_coût,coût_total,bénéficiaire,thématique(s)
FSE,2013,Aider le retour à l'emploi avec des fleurs,1 an,Pays de la Loire,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Aider-le-retour-a-l-emploi-avec-des-fleurs/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,26 112 €,,"Soliaé, Chantier D'insertion Floral - Secteur Insertion de la Fédération des Maisons de Quartier de Saint-Nazaire","""L'Européen d'à côté"" ; Emploi et inclusion sociale ; Formation"
FEDER,2011,Accompagnement et formation pour se réinsérer,,Poitou-Charentes,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Accompagnement-et-formation-pour-se-reinserer/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,38 854 €,78 616 €,Les Amis du patrimoine d’Horte et Lavalette,Emploi et inclusion sociale
FEDER,2011,Le BHNS ou Bus à Haut Niveau de Service,,Poitou-Charentes,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Le-BHNS-ou-Bus-a-Haut-Niveau-de-Service/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,4 500 000 €,38 660 000 €,Communauté d'agglomération de Poitiers - le Grand Poitiers,Développement durable et environnement ; Développement urbain
FEP,2012,Construction d'un marché couvert pour la vente de produits de la mer,Mai 2012 - Janvier 2014,Aquitaine,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Construction-d-un-marche-couvert-pour-la-vente-de-produits-de-la-mer/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,32 921 €,164 604 €,CHAMBRE DE COMMERCE et d'INDUSTRIE de Bayonne,"""L'Européen d'à côté"" ; Agriculture et pêche ; Aides aux entreprises"
FEDER,2013,Sensibiliser le grand public transfrontalier à la richesse du territoire et à l'environnement,,Aquitaine,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Sensibiliser-le-grand-public-transfrontalier-a-la-richesse-du-territoire-et-a-l-environnement/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,47 608 €,342 981 €,SURFRIDER FOUNDATION EUROPE,"""L'Européen d'à côté"" ; Espaces naturels à enjeux  ; Formation"
FSE,2013,La réinsertion par le recyclage en Poitou-Charentes,Janvier 2013 à Décembre 2013 (1 an),Poitou-Charentes,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/La-reinsertion-par-le-recyclage-en-Poitou-Charentes/(offset)/5/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,254 846 €,937 694 €,La Maison du quartier de Port Neuf - La Rochelle,"""L'Européen d'à côté"" ; Emploi et inclusion sociale"
FEADER,2011,Développement de circuits courts de fromagerie fermière,Octobre 2011 à Octobre 2012 (1 an),Picardie,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Developpement-de-circuits-courts-de-fromagerie-fermiere/(offset)/5/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,11 000 €,106 714 €,GAEC de la Chèvrerie,"""L'Européen d'à côté"" ; Agriculture ; Aides aux entreprises"
FEADER,2011,Création d’un atelier de transformation laitière en Alsace,Novembre 2011 à décembre 2013 (2 ans),Alsace,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Creation-d-un-atelier-de-transformation-laitiere-en-Alsace/(offset)/5/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,16 458 €,82 288 €,EARL Schmitt - La petite prairie,"""L'Européen d'à côté"" ; Agriculture ; Aides aux entreprises"
FEDER,2013,Extension de la ligne A de tramway de l'agglomération clermontoise,18 mois,Auvergne,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Extension-de-la-ligne-A-de-tramway-de-l-agglomeration-clermontoise/(offset)/5/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,3 000 000 €,29 600 000 €,Syndicat mixte des transports en commun de l’agglomération clermontoise,Emploi et inclusion sociale ; Transports
FEADER,2013,Transformation d'une ancienne voie ferrée en chemin de randonnées,,Picardie,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Transformation-d-une-ancienne-voie-ferree-en-chemin-de-randonnees/(offset)/5/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,499 230 €,1 248 075 €,Syndicat mixte de l'aménagement de l'ancienne voie ferrée,Attractivité du territoire ; Eco-tourisme
