Naziv projekta,Fond,Šifra operativnog programa,Operativni program,NUTSII,Županija,Korisnik,Opis projekta,Datum ugovaranja,Zaključni datum provedbe aktivnosti,Bespovratna sredstva,Ukupno prihvatljivi troškovi
Informatizacija i  stručne edukacije u centrima za socijalnu skrb (ISECSS),Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,DUBROVAČKO-NERETVANSKA,Ministarstvo socijalne politike i mladih (15351583880),"Projekt će doprinijeti daljnjem razvoju efikasnih i uključivih socijalnih usluga radi unaprjeđenja mogućnosti zapošljavanja i aktivnijeg sudjelovanja u životu zajednice skupina u nepovoljnom položaju. Navedeno će se postići kroz: nabavu informatičke opreme za potrebe Centara te organizaciju i provedbu 4 edukacije za radnike Centara. Tijekom posljednjeg desetljeća sustav socijalne skrbi prolazi intenzivne reforme u sklopu kojih se ulagalo u informatizaciju sustava te unaprjeđenje stručnih znanja radnika. Predloženi projekt će biti nadogradnja na aktivnosti koje se u sustavu već provode.
",18.06.2015,17.06.2016,"5.172.338,50 kn","5.172.338,50 kn"
Izrada standarda zanimanja/kvalifikacija uz unaprjeđenje zdravstvenih studijskih programa,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,DUBROVAČKO-NERETVANSKA,"Sveučilište u Splitu, Sveučilišni odjel zdravstvenih studija (29845096215)","Projekt se bavi problemom usklađivanja zdravstvenog visokog obrazovanja u RH sa zahtjevima HKO-a, tržišta rada te EU i RH strategija, zakona i direktiva. Cilj projekta je izrada cjelovitih standarda kvalifikacija i zanimanja zdravstvenih studija za 6. i 7. razinu obrazovanja i priprema za njihov upis u registar HKO-a, razvoj novih i unapređenje postojećih studijskih programa te izgradnja kapaciteta nastavnog osoblja. Ciljne skupine projekta su visokoškolske obrazovne zdravstvene ustanove i njihovo nastavno osoblje i studenti, poslodavci, strukovne komore i sindikati u zdravstvu u RH.",29.06.2015,29.09.2016,"2.589.410,00 kn","2.725.696,70 kn"
Usluga osobne asistencije za osobe s intelektualnim teškoćama Slavonski Brod,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,DUBROVAČKO-NERETVANSKA,Udruga za pomoć osobama s mentalnom retardacijom Slavonski Brod (66861281361),"Usluga osobne asistencije predstavlja pružanje potpore osobama s najtežim  stupnjem intelektualnih teškoća u provođenju aktivnosti svakodnevnog življenja i samozbrinjavanja. Širenjem mreže usluge osobne asistencije osobe s teškim intelektualnim teškoćama, dobivaju mogućnost unapređenja kvalitete življenja, socijalnog uključivanja u zajednicu te sprječavanja institucionalizacije. Pružatelji usluge su osobe u nepovoljnom položaju na tržištu rada iz dvije županije, BPŽ i DUN. Usluga se pruža 80 sati mjesečno prema unaprijed utvrđenom planu korisnika, a o pruženoj usluzi se vodi evidencija. ",09.11.2015,08.11.2016,"642.763,99 kn","642.763,99 kn"
Širenje usluge osobne asistencije za osobe s invaliditetom u Dubrovačko-neretvanskoj županiji,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,DUBROVAČKO-NERETVANSKA,"Udruga osoba s invaliditetom ""Prijatelj"" Metković (09317614196)","Cilj uvođenja usluge  osobne asistencije bio je poboljšati kvalitetu života osoba s najtežom vrstom i stupnjem invaliditeta dobivaju mogućnost  kvalitetnijeg  života u provođenju aktivnosti svakodnevnog življenja, socijalnog uključivanja u zajednicu te sprječavanja institucionalizacije. Pružatelji usluge su osobe u nepovoljnom položaju na tržištu rada dugotrajno evidentirane u HZZZ. Usluga se pruža 80 sati mjesečno prema unaprijed utvrđenom planu korisnika, o pruženoj usluzi se vodi evidencija.",29.10.2015,28.10.2016,"641.253,04 kn","641.253,04 kn"
Plan provedbe za sanaciju opasnih mjesta na državnim cestama Republike Hrvatske,Europski fond za regionalni razvoj,TR,Promet,Adriatic Croatia,DUBROVAČKO-NERETVANSKA,Hrvatske ceste d.o.o. (55545787885),"Projekt predviđa izradu Plana provedbe za sanaciju opasnih mjesta na državnim cestama Republike Hrvatske.

Cilj ovog projekta, odnosno navedeni Plan definirat će opasna mjesta, te će se dati prijedloga mjera za njihovu sanaciju, odnosno smanjenje broja nezgoda. Izrađeni materijal će zatim biti podloga za razvoj daljnje projektne dokumentacije sanacije opasnih mjesta na državnim cestama.
",16.10.2015,30.06.2016,"559.300,00 kn","658.000,00 kn"
Razvoj funkcionalne regije Južna Dalmacija,Europski fond za regionalni razvoj,TR,Promet,Adriatic Croatia,DUBROVAČKO-NERETVANSKA,Dubrovačko-neretvanska županija (32082115313),"Prometna povezanost Funkcionalne regije Južna Dalmacija je problem koji je potrebno sustavno rješavati, a dodatni izazov je teritorijalna odvojenost od RH i EU kao i ekstremne prostorne specifičnosti regije. Nedostatak kvalitetnih podataka za analizu prometne interakcije i analizu sektora u svrhu dugoročnog planiranja razvoja funkcionalne regije je temeljni problem kojeg projekt nastoji riješiti.
Cilj projekta je utvrditi pravo stanje prometne interakcije funkcionalne regije te uzimajući u obzir strateške dokumente i viziju, jasno definirati dugoročne planove razvoja funkcionalne regije.",02.04.2015,31.08.2016,"5.493.094,58 kn","6.462.464,21 kn"
Izrada studije uvođenja Europskog sustava upravljanja željezničkim prometom (ERTMS),Europski fond za regionalni razvoj,TR,Promet,Adriatic Croatia,DUBROVAČKO-NERETVANSKA,HŽ Infrastruktura d.o.o. (39901919995),"Studijom će se odrediti željezničke pruge, odnosno pojedine dionice na kojima je potrebno i opravdano izgraditi Europski sustav upravljanja željezničkim prometom (ERTMS) te odrediti postupnost (faznost) izrade tehničke dokumentacije i izvođenja radova kao i financijska sredstva potrebna za izradu tehničke dokumentacije, nabavu opreme i izvođenje radova. ",08.06.2015,30.09.2016,"4.250.000,00 kn","5.000.000,00 kn"
Studija opravdanosti otklanjanja uskih grla na cestovnom pravcu Ploče – Pelješki most - Dubrovnik,Europski fond za regionalni razvoj,TR,Promet,Adriatic Croatia,DUBROVAČKO-NERETVANSKA,Hrvatske ceste (55545787885),"Kompletiranje cestovne mreže Južne Dalmacije i valorizacija prometnog pravca sa ciljem boljeg ispunjavanja stvarnih i budućih prometnih potreba uz promicanje okolišne i socijalne politike doprinijet će boljoj dostupnosti funkcionalnih centara, naselja i otoka, pozitivnom učinku zapošljavanja, uštedi vremena, intenziviranju unutarnjih i vanjskih potražnja za novim uslugama i proizvodima kroz cijelo područje utjecaja (Ploče, Dubrovnik, poluotok Pelješac, Korčula, Komarna) te regionalnoj koheziji, primjenom EU politika i Strategija.",04.02.2016,31.12.2016,"807.330,00 kn","949.800,00 kn"
Implementacija programskog rješenja za upravljanje građevinskom proizvodnjom.,Europski fond za regionalni razvoj,RC,Regionalna konkurentnost,Adriatic Croatia,DUBROVAČKO-NERETVANSKA,Ipsum d.o.o. (26472901970),"Kako bi u budućnosti poslovala stabilno i s dobiti, prioritet tvrtke je poboljšati upravljanje troškovima i poslovne procese učiniti efikasnim. Kako bi se efikasno upravljalo velikim brojem dislociranih gradilišta odlučeno je da se nabavi poslovni softver za upravljanje građenjem, čijim korištenjem se očekuju slijedeći rezultati:
- efikasnije praćenje utroška materijala na gradilištima
- praćenje efikasnosti radnika i voditelja gradilišta
- točne i ažurne informacije o:
  - gotovosti svih objekata
  - stanju svih skladišta 
  - potraživanjima
  - obvezama",02.02.2015,01.02.2016,"248.500,00 kn","355.000,00 kn"
Ulaganje u izgradnju i opremanje ekskluzivnog Aparthotela Vinaria*** i razvoj vinskog turizma na poluotoku Pelješcu ,Europski fond za regionalni razvoj,RC,Regionalna konkurentnost,Adriatic Croatia,DUBROVAČKO-NERETVANSKA,Saints Hills d.o.o. (71000585584),"Projektom bi se izgradio i ekskluzivno opremio prvi specijalizirani aparthotel u vinogradskoj regiji Dingač na poluotoku Pelješcu, koji će biti udaljen 6,5 km od luke Trpanj, u sklopu kojeg bi se pokrenula prva vinska škola u Županiji. Projekt će rezultirati pozitivnim ekonomskim učincima kako na Tvrtku, tako i na cijelu lokalnu zajednicu. Aparthotel će biti otvoren tijekom cijele godine (1.224 noćenja). Tvrtka procjenjuje povećanje prihoda za 82% u 2018. u odnosu na 2013. Projektom bi se otvorila 3 nova radna mjesta. 
",01.08.2014,31.07.2016,"4.580.654,98 kn","9.161.309,96 kn"
