Projektas,Kodas,Pareiškėjas/ Vykdytojas,Paraiškos būsena,Projekto vertė paraiškoje,Prašomas finansavimas,Projekto išlaidų suma,Finansavimas,Išmokėta finansavimo suma,Sutarties pasirašymo data
"UAB ""Liskandas"" gaminių sertifikavimas",03.2.1-LVPA-K-802-01-0058,"Uždaroji akcinė bendrovė ""LISKANDAS""",Nesudaryta sutartis,28045,14022,0,0,0,
Autodalių gamyba ir eksportu užsiimančių įmonių konkurencingumo skatinimas ieškant naujų ir plečiant esamas užsienio rinkas,03.2.1-LVPA-K-801-01-0007,"Šiaulių prekybos, pramonės ir amatų rūmai ",Nesudaryta sutartis,316153.62,180217.71,0,0,0,
Turizmo įmonių konkurencingumo skatinimas esamose ir naujose rinkose,03.2.1-LVPA-K-801-01-0008,Nacionalinė turizmo verslo asociacija,Nesudaryta sutartis,327210.31,184866.16,0,0,0,
Lietuvos maisto pramonės atstovų eksporto apimčių didinimas prioritetinėse užsienio rinkose,03.2.1-LVPA-K-801-01-0009,Valstybės įmonė Lietuvos žemės ūkio ir maisto produktų rinkos reguliavimo agentūra,Įgyvendinimas,244146.8,133240.98,244146.8,133240.98,0,2015-10-07
Lietuvos sveikatingumo įmonių paslaugų skatinimas tikslinėse eksporto rinkose,03.2.1-LVPA-K-801-01-0010,Nacionalinė SPA asociacija,Įgyvendinimas,278847.49,157609.45,208134.89,114921.1,0,2015-10-08
SVV įmonių tarptautinio bendradarbiavimo galimybių vystymas (SVV-TIP),03.2.1-LVPA-K-801-01-0011,Lietuvos verslo konfederacija,Įgyvendinimas,602064.32,340805.96,453480.95,253645.98,0,2015-10-08
LGSPA narių grupinės eksporto iniciatyvos vystymas,03.2.1-LVPA-K-801-01-0012,Lietuvos gynybos ir saugumo pramonės asociacija,Įgyvendinimas,346766.96,195998.72,212947.64,116252.92,0,2015-10-08
Asociacijos REPIA narių naujų užsienio rinkų paieška ir esamų rinkų plėtra,03.2.1-LVPA-K-801-01-0013,Rytų Europos partnerystės ir investicijų asociacija,Įgyvendinimas,947161.8,500000,397675.94,217450.41,0,2015-09-30
"Naujos verslo galimybės, finansuojamos iš ES struktūrinių fondų",03.2.1-LVPA-K-801-01-0014,Lietuvos maisto eksportuotojų asociacija (Litmea),Įgyvendinimas,499792.3,282491.3,368208.71,204118.45,0,2015-10-09
Lietuvos aprangos ir tekstilės įmonių eksporto skatinimas,03.2.1-LVPA-K-801-01-0015,Lietuvos aprangos ir tekstilės įmonių asociacija,Įgyvendinimas,860054.21,494531.17,722798.88,392279.74,0,2015-10-01
