fonds,start_date,end_date,eu_amount,co_financing,total,title,_source,programme,commune(s),coût_total,porteur_de_projet,objectifs_thématiques,catégorie_d'intervention
FEDER,2010,2013,288.11,,,Hydropol,http://www.fonds-europeens.public.lu/fr/projets-cofinances/feder/2016/hydropol/index.html,Compétitivité Régionale et Emploi (2007-2013),Luxembourg,823.171,LIST,Recherche et innovation,
FEDER,2011,2015,81839,,,ZAC-eMovin,http://www.fonds-europeens.public.lu/fr/projets-cofinances/feder/2016/zac_emovin/index.html,Compétitivité Régionale et Emploi (2007-2013),"Luxembourg
Esch/Alzette",327356,"LIST
LISER",Energie et réduction de CO2,
FEDER,2009,2013,"492087,75",,,Mise en place d’un réseau régional et décentralisé de Myenergy - Infopoints,http://www.fonds-europeens.public.lu/fr/projets-cofinances/feder/2016/info_points/index.html,Compétitivité Régionale et Emploi (2007-2013),Luxembourg,1968351,MyEnergy,Energie et réduction de CO2,
FSE,01/12/2016 , 31/12/2017,131400,,262.800 €,APA,http://www.fonds-europeens.public.lu/fr/projets-cofinances/fse/2014-2020/1041/index.html,Investissement pour la croissance et l'emploi (2014-2020),Wiltz,,Coopérations sc,Education et formation,109
FEDER,2011,2015,264962,,,Durapolymat,http://www.fonds-europeens.public.lu/fr/projets-cofinances/feder/2016/durapolymat/index.html,Compétitivité Régionale et Emploi (2007-2013),Bascharage,757.040,LIST,Recherche et innovation,
FEDER,2009,2011,4000000,,"23.400.000,00 €",Installation de compostage et de biogaz à Mondercange,http://www.fonds-europeens.public.lu/fr/projets-cofinances/feder/2014/minett_kompost/index.html,Compétitivité Régionale et Emploi (2007-2013),Mondercange,,Minett Kompost,Energie et réduction de CO2,
FEDER,01/08/2012 , 31/12/2014,"572937,3", (45%),"1.273.194,00 €",EduNet S&W ,http://www.fonds-europeens.public.lu/fr/projets-cofinances/feder/2014/I-EduNet/index.html,INTERREG,Perl (D),,"Ministère de l'Education nationale et de la Formation professionnelle (MEN)
Deutsch-Luxemburgisches Schengen-Lyzeum Perl
Service de Coordination de la Recherche et de l'Innovation Pédagogique et Technologiques (SCRIPT)",Education et formation,
FEDER,2010,2015,365000,,,Centre de compétences en technologie laser (CCTL),http://www.fonds-europeens.public.lu/fr/projets-cofinances/feder/2014/lasercenter/index.html,Compétitivité Régionale et Emploi (2007-2013),Luxembourg,1000000,Université du Luxembourg,Recherche et innovation,
FEDER,15/10/2008 , 14/04/2012,"3212640,77", (50%),"6.425.281,54 €",Université de la Grande Région - UGR,http://www.fonds-europeens.public.lu/fr/projets-cofinances/feder/2014/I-ugr/index.html,INTERREG,Luxembourg,,Université de Luxembourg,Recherche et innovation,
FEDER,01.11.2008 , 31.10.2011,"660445,61", (50%),"1.320.891,22 €",Parcs Naturels de la Grande Région,http://www.fonds-europeens.public.lu/fr/projets-cofinances/feder/2014/I-parcs-naturels-gr/index.html,INTERREG,"Esch-sur-Sûre
Heinerscheid",,"Parc Naturel de la Haute Sûre
Parc Natuel de l'Our",Recherche et innovation,
