SAM / pasākuma nr.,Projekta nosaukums,Finansējuma saņēmējs,Kopējais finansējums,ES finansējums,Projekta īstenošanas vieta
1.1.1.,Atbalsts pēcdoktorantūras pētniecības īstenošanai,Valsts izglītības attīstības aģentūra,"64029231,00","54424846,00",
1.2.1.,Kompetences centru pārvaldības projekts,LR Ekonomikas ministrija,"1000000,00","1000000,00",
1.2.2.,"Elektronikas, optikas, elektrotehnikas un telekomunikācijas uzņēmumu darbinieku prasmju pilnveidošana",Latvijas Elektrotehnikas un elektronikas rūpniecības asociācija,"1969251,00","900000,00",
1.2.2.,Nodarbināto apmācības mašīnbūves un metālapstrādes nozarē,"""Mašīnbūves un metālapstrādes rūpniecības asociācija""","1331307,69","900000,00",
1.2.2.,"""Latvijas poligrāfijas un iepakojuma nozares produktivitātes un inovāciju veicināšanas pasākumi""",Latvijas Poligrāfijas uzņēmumu asociācija,"1700000,00","900000,00",
1.2.2.,"""Būvmateriālu ražošanas un saistīto nozaru asociāciju partnerības projekts""",Latvijas Logu un durvju ražotāju asociācija,"1700000,00","900000,00",
1.2.2.,Pārtikas un to saistīto nozaru nodarbināto apmācības –prasmju pilnveide.,Latvijas Pārtikas uzņēmumu federācija,"1434000,00","900000,00",
1.2.2.,"""Tehnoloģisko inovāciju un darbaspēka produktivitātes apmācības vieglās rūpniecības un saistīto nozaru komersantiem""",Vieglās rūpniecības uzņēmumu asociācija,"1730000,00","900000,00",
1.2.2.,"""Kokrūpniecības un saistīto nozaru tehnoloģisko inovāciju un produktivitātes apmācību projekts""","""Zaļās mājas""","1700000,00","900000,00",
1.2.2.,"""Tūrisma un saistīto nozaru tehnoloģisko inovāciju un nodarbināto produktivitātes apmācību projekts""",Latvijas Viesnīcu un restorānu asociācija,"1700000,00","900000,00",
1.2.2.,IKT profesionāļu apmācības inovāciju veicināšanai un nozares attīstībai,Latvijas Informācijas un komunikācijas tehnoloģijas asociācija,"1875620,30","899585,00",
1.2.2.,Atbalsts nodarbināto apmācībām ķīmiskajā rūpniecībā un tās saskarnozarēs (2016-2018),"""Latvijas Ķīmijas un farmācijas uzņēmēju asociācija""","1584000,00","900000,00",
1.2.1.,Latvijas elektrisko un optisko iekārtu ražošanas nozares kompetences centrs,"SIA ""LEO PĒTĪJUMU CENTRS""","5892495,81","3206250,00",
1.2.1.,"VIEDO INŽENIERSISTĒMU, TRANSPORTA UN ENERĢĒTIKAS KOMPETENCES CENTRS","SIA ""Viedo inženiersistēmu, transporta un enerģētikas Kompetences centrs""","5455840,52","3206250,00",
1.2.1.,"FARMĀCIJAS, BIOMEDICĪNAS UN MEDICĪNAS TEHNOLOĢIJU KOMPETENCES CENTRS","SIA ""Farmācijas, biomedicīnas un medicīnas tehnoloģiju Kompetences centrs""","7361407,24","3206250,00",
1.2.1.,VIEDO MATERIĀLU UN TEHNOLOĢIJU KOMPETENCES CENTRS,"SIA ""VIEDO MATERIĀLU UN TEHNOLOĢIJU KOMPETENCES CENTRS""","6372374,45","3206250,00",
1.2.1.,Informācijas un komunikāciju tehnoloģiju kompetences centrs,"SIA ""IT KOMPETENCES CENTRS""","5393495,93","3206250,00",
1.2.1.,LATVIJAS PĀRTIKAS NOZARES KOMPETENCES CENTRS,"SIA ""LATVIJAS PĀRTIKAS KOMPETENCES CENTRS""","5606302,63","3206250,00",
1.2.1.,MEŽA NOZARES KOMPETENCES CENTRS,"SIA ""Meža nozares kompetences centrs""","5500638,77","3206250,00",
1.2.1.,Mašīnbūves Kompetences centra izveide,"SIA ""MAŠĪNBŪVES KOMPETENCES CENTRS""","6067583,16","3206250,00",
2.1.1.,Elektroniskās sakaru infrastruktūras pieejamības uzlabošana lauku teritorijās,"Valsts akciju sabiedrība ""Latvijas Valsts radio un televīzijas centrs""","46734253,00","39724115,00",
3.1.2.,Finansēšanas nolīgums par Fondu fonda un Finanšu instrumentu īstenošanu Nr. 3.0.0.0/16/FI/001,"Akciju sabiedrība ""Attīstības finanšu institūcija Altum""","139341176,00","118440000,00",
3.2.1.,Starptautiskās konkurētspējas veicināšana,Latvijas Investīciju un attīstības aģentūra,"36268775,00","30828458,00",
3.2.1.,Latvijas starptautiskās konkurētspējas veicināšana tūrismā,Latvijas Investīciju un attīstības aģentūra,"20958378,00","17814621,00",
3.3.1.,Ielu pārbūve uzņēmējdarbības attīstībai Valkas novadā,Valkas novada dome,"619747,98","516933,00","Meža iela, Valka, Valkas nov. Parka iela, Valka, Valkas nov. Rīgas iela, Valka, Valkas nov."
3.4.2.,Valsts pārvaldes cilvēkresursu profesionālā pilnveide labāka regulējuma izstrādē mazo un vidējo komersantu atbalsta jomā,Valsts administrācijas skola,"4611708,00","3919951,00",
3.4.2.,Valsts pārvaldes cilvēkresursu profesionālā pilnveide korupcijas novēršanas un ēnu ekonomikas mazināšanas jomā,Valsts administrācijas skola,"3063365,00","2603860,00",
3.4.2.,Augstākā līmeņa vadītāju attīstības programma,Valsts Kanceleja,"926094,00","787179,00",
3.4.1.,Justīcija attīstībai,Tiesu administrācija,"11028343,00","9374092,00",
4.2.1.,Atbalsts daudzdzīvokļu dzīvojamo māju energoefektivitātes paaugstināšanas pasākumu īstenošanai daudzdzīvokļu māju dzīvokļu īpašniekiem,"Akciju sabiedrība ""Attīstības finanšu institūcija Altum""","126216912,00","107361816,00",
4.2.1.,Finansēšanas nolīgums par Finanšu instrumenta īstenošanu Nr.4.2.1.1/16/FI/001,"Akciju sabiedrība ""Attīstības finanšu institūcija Altum""","30091114,00","25500000,00",
4.4.1.,Elektrotransportlīdzekļu uzlādes infrastruktūras izveidošana.,LR Satiksmes ministrija,"7835276,00","6659984,00",
5.1.1.,"Novērst plūdu un krasta erozijas risku apdraudējumu Ogres pilsētas teritorijā, veicot Ogres upes neapplūstoša aizsargdambja rekonstrukciju",Ogres novada pašvaldība,"1399236,93","785970,00","Ogre, Ogres nov."
5.1.2.,Rīgas HES ūdenskrātuves Ikšķiles aizsargdambja (pik 00/00-36/42) atjaunošana,"Valsts sabiedrība ar ierobežotu atbildību ""Zemkopības ministrijas nekustamie īpašumi""","3344019,29","2842416,00","Ikšķile, Ikšķiles nov."
5.1.2.,Rīgas HES ūdenskrātuves Ogres aizsargdambja (pik 00/00-24/67) atjaunošana,"Valsts sabiedrība ar ierobežotu atbildību ""Zemkopības ministrijas nekustamie īpašumi""","3292482,20","2798609,00","Ogre, Ogres nov."
6.1.5.,"Valsts galvenā autoceļa A13 Krievijas robeža (Grebņeva) - Rēzekne - Daugavpils - Lietuvas robeža (Medumi), km 156,40 – 163,05 segas pārbūve",LR Satiksmes ministrija,"14357100,00","12203535,00","Medumu pag., Daugavpils nov. Medumu pag., Daugavpils nov."
6.1.5.,"Valsts galvenā autoceļa A9 Rīga (Skulte) – Liepāja, km 24,40 – 38,18 segas pārbūve (tilts)",LR Satiksmes ministrija,"17544860,00","14913131,00","Kalnciema pag., Jelgavas nov. Valgundes pag., Jelgavas nov. Jaunbērzes pag., Dobeles nov."
6.1.5.,"Valsts galvenā autoceļa A11 Liepāja - Lietuvas robeža (Rucava), km 21,85 – 45,02 segas pārbūve (tilts)",LR Satiksmes ministrija,"16000000,00","13600000,00","Nīcas pag., Nīcas nov. Rucavas pag., Rucavas nov."
6.1.5.,"Valsts galvenā autoceļa A1 Rīga (Baltezers) – Igaunijas robeža (Ainaži), km 89,40 – 101,36 segas pārbūve",LR Satiksmes ministrija,"13503927,98","11478338,00","Salacgrīva, Salacgrīvas nov. Salacgrīvas pag., Salacgrīvas nov. Ainaži, Salacgrīvas nov. Ainaži, Salacgrīvas nov. Ainažu pag., Salacgrīvas nov."
6.1.5.,"Valsts galvenā autoceļa A2 Rīga - Sigulda - Igaunijas rob. (Veclaicene), km 15,40 – 25,50 segas pārbūve (abas brauktuves)",LR Satiksmes ministrija,"19214335,90","16332185,00",Garkalnes nov. Garkalnes nov. Garkalnes nov.
6.1.5.,"Valsts galvenā autoceļa A9 Rīga (Skulte) – Liepāja, km 163,28 – 185,80 segas pārbūve",LR Satiksmes ministrija,"10183634,06","8656088,00","Vecpils pag., Durbes nov. Durbes pag., Durbes nov. Durbes pag., Durbes nov. Tadaiķu pag., Durbes nov. Grobiņas pag., Grobiņas nov."
6.1.5.,"Valsts galvenā autoceļa A9 Rīga (Skulte) – Liepāja, km 38,24 – 60,15 segas pārbūve (tilts)",LR Satiksmes ministrija,"11342721,65","9641313,00","Jaunbērzes pag., Dobeles nov. Džūkstes pag., Tukuma nov. Annenieku pag., Dobeles nov. Annenieku pag., Dobeles nov. Jaunbērzes pag., Dobeles nov."
6.1.5.,"Valsts galvenā autoceļa A12 Jēkabpils – Rēzekne – Ludza – Krievijas robeža (Terehova), km 106,00 – 114,34 segas pārbūve",LR Satiksmes ministrija,"7484494,84","6361820,00","Griškānu pag., Rēzeknes nov. Cirmas pag., Ludzas nov."
6.1.5.,"Valsts galvenā autoceļa A13 Krievijas robeža (Grebņeva) - Rēzekne - Daugavpils - Lietuvas robeža (Medumi), km 113,12 – 134,70 segas pārbūve",LR Satiksmes ministrija,"16459393,96","13990484,00","Višķu pag., Daugavpils nov. Maļinovas pag., Daugavpils nov. Naujenes pag., Daugavpils nov. Naujenes pag., Daugavpils nov. Naujenes pag., Daugavpils nov. Naujenes pag., Daugavpils nov. Višķu pag., Daugavpils nov."
6.1.5.,"Valsts galvenā autoceļa A3 Inčukalns - Valmiera - Igaunijas robeža (Valka), km 60,20 – 79,45 segas pārbūve",LR Satiksmes ministrija,"21096100,00","17931685,00","Kocēnu pag., Kocēnu nov. Kocēnu pag., Kocēnu nov. Valmiera Valmiera Kocēnu pag., Kocēnu nov. Valmieras pag., Burtnieku nov. Kocēnu pag., Kocēnu nov. Kocēnu pag., Kocēnu nov. Kocēnu pag., Kocēnu nov. Valmieras pag., Burtnieku nov. Valmieras pag., Burtnieku nov."
6.1.5.,"Valsts galvenā autoceļa A10 Rīga - Ventspils, km 20,06 – 23,84 un 36,49 – 38,57 segas pārbūve",LR Satiksmes ministrija,"11623212,00","9879730,00","Jūrmala Salas pag., Babītes nov. Jūrmala Jūrmala Salas pag., Babītes nov."
6.1.5.,"Valsts galvenā autoceļa A10 Rīga - Ventspils, km 57,76 – 68,60 segas pārbūve (rotācijas aplis)",LR Satiksmes ministrija,"11034000,00","9378900,00","Slampes pag., Tukuma nov. Smārdes pag., Engures nov. Slampes pag., Tukuma nov. Smārdes pag., Engures nov. Tumes pag., Tukuma nov. Tumes pag., Tukuma nov. Slampes pag., Tukuma nov. Slampes pag., Tukuma nov. Smārdes pag., Engures nov. Smārdes pag., Engures nov. Smārdes pag., Engures nov. Smārdes pag., Engures nov."
6.1.5.,"Valsts galvenā autoceļa A12 Jēkabpils – Rēzekne – Ludza – Krievijas robeža (Terehova), km 114,34 – 125,14 segas pārbūve",LR Satiksmes ministrija,"12500000,00","10625000,00","Cirmas pag., Ludzas nov. Ludza, Ludzas nov. Ludza, Ludzas nov. Cirmas pag., Ludzas nov. Cirmas pag., Ludzas nov. Cirmas pag., Ludzas nov. Ludza, Ludzas nov."
