"Code","Title","Project Cost","Beneficiary","Line Ministry","Start Date","End Date","Non Technical Short Summary Of Project","Operational Programme","Fund","Operational Objective","Priority Axis","Focus Area Of Intervention","Project Objectives","Project Results","Project Purpose"
"1.40","Science Popularisation Campaign","€544,310","Malta Council for Science and Technology","Ministry for Education and Employment","2008","2011","The project consists of a number of initiatives to encourage people to be more interested and knowledgeable about science. Extensive use will be made of the media. An annual science festival and a number of activities with local authorities are also planned as well as a training course for science animators.","OPII Empowering People for More Jobs and a Better Quality of Life ESF","European Social Fund","To increase student participation rates in science, technology and ICT education at a further or higher level of education.","PA1 Improving Education and Skills","OPIIPA1 Research and innovation","The project is intended to achieve the following: 1. A workforce which is more technologically prepared; 2. A more scientifically-literate public; 3. A reduction in gender bias in science.","Ultimately, this will contribute towards greater science awareness amongst the general public, more students choosing science subjects, and a higher level of female participation in S&T studies and careers. Through the efforts of the campaign, the most notable short-term expected results will be seen in the form of approximately 20,000 visitors attending each S&T Festival. The Science in the Community activity will aim to attract between 200-500 individuals per activity, depending on locality. Together with the other activities of the campaign, long term results are expected in terms of an increase in uptake of science subjects at secondary level. This project also aims at having 10 people trained through the science animation course.","The project's purpose is to: 1. Entice more students to take up science subjects; 2. Support those who have already taken up science so that they will continue in this field; 3. Raise the knowledge and interest of the general public in S&T; 4. Increase in the number of women in Science and Technology; 5. Have a pool of people trained in delivering science in informal settings."
"2.4","Employability Programme","€4,922,133","Employment and Training Corporation","Ministry for Education and Employment","2008","2015","The Employability Programme will consist of a number of training initiatives aimed to assist jobseekers, the inactive, and the employed who are interested in upgrading their knowledge. The initiatives will consist of basic skills, work orientation, retraining programmes, traineeships, a training subsidy scheme and a skills assessment system.","OPII Empowering People for More Jobs and a Better Quality of Life ESF","European Social Fund","To increase the participation rate in lifelong learning.","PA2 Investing in employability and adaptability of the workforce","OPIIPA2 Continuous training and education.","Reintegration of job seekers and inactive into the labour market and assistance to those in employment to secure and advance their position within the labour market.","In the three-year period covered by the project, over 20,000 persons will be trained. The various initiatives in this programme are aimed at different client groups and therefore the success rates will vary considerably between, for instance, thus pursuing basic skills and those pursuing an advanced traineeship. However, it is generally estimated that at least 65% will complete their training successfully and become certified. It is also intended to ensure that at least 18.7% will go on to participate in further training and or find employment on completion.","The Employability Programme incorporates a collection of initiatives that are being proposed by the corporation to satisfy the needs of different client groups to further develop their skills and competencies tied to employability. It will aim to satisfy the following clients needs: 1. for persons with little or no skills or qualifications - the provision of basic, remedial skills and vocational training in a particular occupation will help individuals to take on further learning opportunities and hence become employable; 2. for those in employment interested in upgrading their skills will be assisted through the skills upgrading and retraining programmes. These programmes will be organised in vocational areas for which there is a labour market need. The resultant effect of such training is twofold, it will help those in employment, especially those in the lower end of the qualification structure to sustain their position in the labour market and further more it will contribute towards Malta's competitiveness rate. 3. the Jobseekers - through this programme, training sessions on job seeking skills (letter, CV writing, and interviewing skills) will be delivered on a regular basis. The aim of these sessions will be to empower and activate job seekers and as a result be in a position to seek sustainable employment. In addition, to these sessions workshops will be organised to help those needing additional assistance and with whom we would need to adopt a more personalised approach; 4. for job seekers - traineeships that would include a combination of on-the-job and off-the-job training will be provided. Traineeships will be provided in occupational areas in which there is a demand. These schemes have proved to be very successful as participants are exposed to real life situations at employers' establishments; 5. persons interested in being accredited for their prior learning - a number of occupational standards will be developed in consultation with employers and assessments sessions will be undertaken. This is in line with the proposals being made by Malta Qualification Council; 6. assisting persons to attend training programmes (not organised by the corporation) which will equip them with the right skills which help them to adapt to the changing needs of the labour market - financial assistance will be offered."
"2386G ( plus 6 other grants )","Introduction to Road Safety Audit","€1,134","Adi Associates Environmental Consultants Ltd","Ministry for Education and Employment","Tuesday, October 18, 2011","Thursday, October 20, 2011","The project consists of training the selected employee/s through an external training provider on Road Safety Audit.   The training is purchased from the chosen training provider and is delivered according to the specifications agreed between the provider","OPII Empowering People for More Jobs and a Better Quality of Life ESF","European Social Fund","To support the adaptability of undertakings [entities involved in economic activity, irrespective of legal form] through skills improvements and upgrading of workers.","PA2 Investing in employability and adaptability of the workforce","OPIIPA2 Supporting the private sector.","The Objective of this training was to provide a comprehensive introduction to Road Safety Auditing to our traffic specialist.  This training builds on others undertaken previously aimed at improving the traffic assessment skills of the Company.","The Training provided the selected employee with a sound background to Road Safety Audits (RSA), safety issues related to a number of highway features, and ""hands-on"" experience of carrying out RSAs of a number of different scheme types.  The training inc","The purpose of the project was to enable the Company to start undertaking Road Safety Audits in-house.  Since then, we have successfully provided these services to a number of our clients."
"CF 116","MALTA SOUTH SEWAGE TREATMENT INFRASTRUCTURE","€67,966,870","WATER SERVICES CORPORATION","MFEI","2009","2012","The project involves the construction of a new urban wastewater treatment plant at Taâ Barkat l/o Xghajra, a new wastewater pumping station at Rinella; the upgrading of the existing Xghajra pumping station; and a new wastewater gallery and submarine outfall.","OPI Investing in Competitiveness for a Better Quality of Life CF","Cohesion Fund","","PA5 Safeguarding the Environment","","The project will bring Malta in line with the EU Urban Wastewater Directive 91/271/EC thus complying with the need to treat all urban wastewater entering collecting systems, before discharge. The project also falls under the purpose of the Water Framework Directive 2000/60/EC, as defined in Article 1, particularly in relation to the protection of coastal waters; the project will restore bathing water quality to the 5km coastline extending between Ricasoli and Marsascala, in line with the Bathing Water Directives 76/160/EEC and 2006/7/EEC (raising the classification level from Class 3 to Class 1); eliminate all raw wastewater discharges to the sea, together with the unsightly wastewater plume slicks and associated health risks; eliminate all bad odour emissions resulting from the raw wastewater discharge; increase the residential and recreational value of the North East coastal area; improve the tourist potential of the North East coastal area.","","The following are some of the socio-economic objectives that will be addressed by the project: "
"CF 118","Rehabilitation and Restoration of Closed Landfills","€16,687,171","WasteServ Malta Ltd","MRRA","2010","2015","The project is the final stage of the closure and rehabilitation of a number of","OPI Investing in Competitiveness for a Better Quality of Life CF","Cohesion Fund","To minimise landfilling of waste and to rehabilitate disused landfills, as well as, increase the capacity for waste treatment for energy recovery and recycling purposes;","PA5 Safeguarding the Environment","","The permanent closure of all the three Landfill sites through capping and the subsequent restoration of the sites to be used as public parks.","","The rehabilitation of the landfill sites will have the following socio-economic objectives:"
"CF 119","Setting up of a Mechanical and Biological Treatment Plant in the North of Malta","€30,250,474","WasteServ Malta Limited","Ministry for Sustainable Development, the Environment and Climate change","2013","2015","In general, the project seeks to increase the waste management capacity of Malta and thereby to improve the quality of life of Maltese citizens by reducing risks for human health and the environment and thus increase the overall attractiveness of the country.","OPI Investing in Competitiveness for a Better Quality of Life CF","Cohesion Fund","To minimise landfilling of waste and to rehabilitate disused landfills, as well as, increase the capacity for waste treatment for energy recovery and recycling purposes;","PA5 Safeguarding the Environment","OPIPA5 Solid Waste","The objectives of the Malta North Plant within Maltaâs waste management system role is:","As a result of the setting up of the MBT plant in the Northern part of Malta, it is estimated that an average total of 73,359 tonnes of mixed waste together with 42,617  tonnes of bulky waste will be treated per annum thus contributing towards achieving 77.31% of the total amount of waste to be treated as targeted in Operational Programme I. This technology is expected to reduce landfilling to 58% of the original mass in the case of mixed waste with the remainder being transformed into mainly digestate for landfill covering, biogas and losses. Rejects from the MTP are considered under heavy fraction which is landfilled. Around one-fifth of bulky waste is extracted in the form of metals, and hence recycled rather than landfilled.","The MBT plant has been designed in accordance with EU and national directives in order to meet its waste management targets."
"CF 124","Refurbishment of the Valletta and Marsaxlokk main Breakwater","€10,537,996","Transport Malta","Ministry for Transport and Infrastructure","2009","2015","The project involves rehabilitation and reinstatement of the main breakwaters in the ports of Valletta and Marsaxlokk to ensure their long-term structural","OPI Investing in Competitiveness for a Better Quality of Life CF","Cohesion Fund","To improve maritime accessibility (also inter-island) by upgrading TEN-T ports and related infrastructure.","PA3 Developing the TEN T","OPIPA3 Maritime Transport Links","The overall objective of the project is that of ensuring the integrity of the structures of the Valletta and Marsaxlokk breakwaters is retained , thus the structures will continue to provide a safe and sheltered harbour for all maritime activities which are undertaken in the two ports, which in return will contribute towards the Maltese economy. This is particularly important in view of the negative effects of climate change which can include more intense and frequent adverse sea and storm conditions that could affect not only shipping and port terminal operations but also leisure, fishing residential and other commercial activities and developments along the coast in other remaining parts of these ports.","Rehabilitation of the main breakwater structures of the ports of Valletta and Marsaxlokk will sustain the long-term safety and harbouring of ships and all port related activities both current and future. The breakwaters also provide shelter to critical infrastructure within the ports. The refurbishment project will rehabilitate 10,380 metres-squared of infrastructure which in the case of the Valletta breakwater involves the conservation of historical structure.",""
"CF 125","Improvement of sections of the TEN-T Road Network Phase II","€49,840,345","Transport Malta","Ministry for Transport and Infrastructure","2013","2015","The reconstruction and upgrading of Salina Coast Road Phase I & II","OPI Investing in Competitiveness for a Better Quality of Life CF","Cohesion Fund","To improve journey-time reliability and road safety through upgrades to parts of the TEN-T road infrastructure;","PA3 Developing the TEN T","OPIPA3 Road Transport Links","The road section will reconstruct an additional 7.3km of road network. This is equivalent to 36.5% of the 20km which is the output indicator set in Operational Programme 1 â Cohesion Policy 2007-2013 for the Priority Axis 3 â Developing the TEN-T.","",""
"CF 198","Cirkewwa Ferry Terminal","€10,661,341","Transport Malta","Ministry of Infrastructure, Transport and Communications","2010","2015","Development of a ferry terminal in the port of Cirkewwa comprising a passenger handling building with gangway connections to the ships for foot passengers; vehicle marshalling areas; parking and land transport facilities; access and circulation roadways; additional berthing capacity; ancillary buildings and other general enhancements, which will result in an improved inter-related transport network in terms of efficiency, safety and comfort.","OPI Investing in Competitiveness for a Better Quality of Life ERDF","Cohesion Fund","To improve maritime accessibility (also inter-island) by upgrading TEN-T ports and their related infrastructure","PA5 Safeguarding the Environment","OPIPA3 Maritime Transport Links","The overall objective of the project is to improve inter-island transport infrastructure along the Malta Gozo TEN-T network to enable a better service to citizens, visitors and the business community in terms of transport efficiency, safety, protection from adverse weather conditions and comfort. In addition, it is to help reduce the impact of double insularity and increase the cohesion of the island of Gozo","1. Reduction in ferry user journey time by 5 minutes; 2. 10% increase in satisfaction rate of transport operators/users (amount to be determined through customer satisfaction surveys to be carried out both before- baseline and after completion of the project); 3. Increase by 2% per annum in number of sea passengers crossing between Cirkewwa and Mgarr.","The project aims to reduce the congestion at the Cirkewwa terminal and improve the highway network within the Maltese islands as proposed in the TINA study for the development of the TEN-T. A modern terminal will be built, which will improve the accessibility to and reduce the insularity of Gozo. It will provide adequate facilities that would streamline passengers and vehicular traffic, improve terminal efficiency, safety and comfort, increase capacity, reduce travel time and further facilitate the transfer of tourists to Gozo, who are so important to its economy. Therefore the new infrastructure will result in an improved service for all passenger and cargo traffic that will pass through Cirkewwa. This will facilitate the unlocking of business potential within this region and will be contributing towards an improved quality of life for both Gozitans and visitors."
"CF 355","Water Quality and Supply Improvement","€9,995,266","Water Services Corporation","Ministry for Energy and Health (MEH)","Q3 2014","Q4 2015","The project will entail the;","OPI Investing in Competitiveness for a Better Quality of Life ERDF","Cohesion Fund","To minimise landfilling of waste and to rehabilitate disused landfills, as well as, increase the capacity for waste treatment for energy recovery and recycling purposes.","","OPIPA5 Solid Waste","Over the years, the water supply system of the Maltese Islands has developed to meet the expanding needs of the population. Since it was set up 20 years ago, the Water Services Corporation has continued with this development so as to optimise water quality, rationalise operations and control leakages.","1. Better quality water in parts of the network which will directly affect over 50,000 consumers (refer to Section 5.10, Target Groups) by ensuring that the level of boron of water produced at RO plants and distributed directly to consumers is kept within the 1mg/l stipulated in the DWD;",""
