Project_Nummer     Project_Number,Actie,Tijdvak,Naam Aanvrager                                                  Beneficiary name,Locatie project      operation postcode; or other appropriate location indicator,Land       Country,Inverventie- categorie  Name of category of intervention,Naam Project                                                           Project Name,Project samenvatting                                                                                           Project Summary,Startdatum project           Project start date,Einddatum project          Project end date,EUSF subsidie toegekend verlening   ESF approved on request Union cofinancing (max 50%),Totale subsidiabele kosten bij verlening            Total eligible expenditure on request
2014EUSF2011,AMR,2014,Gemeente Almere,Almere,NL,n.v.t.,ARBEIDSKANSEN EN FLEVOLAND I,"Flevoland kampt met hoge werkloosheidcijfers ten opzichte van andere provincies. 
Het macrovolume in de bijstand is de afgelopen jaren aanzienlijk gestegen terwijl de budgeten nog steeds een dalende tendens vertonen. Dit staat haaks op de noodzaak om juist nu extra te investeren in mensen. 
Ondanks de druk op de taakstelling van de gemeenten willen de gemeenten dat alle burgers participeren en een bijdrage leveren aan de samenleving. 
Mensen aan het werk helpen is en blijft  belangrijk voor een goed werkende economie en is bij uitstek een geschikt instrument om armoede te bestrijden. 
Flevoland wil hiertoe blijven inzetten op een geÃ¯ntegreerd aanbod gericht op de arbeidsparticipatie van verschillende groepen. Daarbij geldt werk boven inkomen en staat de eigen verantwoordelijkheid centraal.
Inzet op participatie moet te allen tijde gericht zijn op het bieden van perspectief. 
Mede door het ESF project Arbeidskansen & Flevoland I kunnen willen de Flevolandse de gemeenten gezamenlijk mensen aan een baan helpen en ervoor zorgen dat ze worden geschoold en arbeidsvaardig blijven. 
Flevolanders die het niet op eigen kracht redden en een helpende hand nodig hebben kunnen een beroep doen op de gemeenten.
Flevoland wil de komende jaren blijven inzetten op het arbeidsvaardig krijgen en houden van mensen. Elke ESF activiteit is gekoppeld aan werk, arbeidsactivering, toeleiding naar leerwerkplekken en scholing. Alle 5 de doelgroepen komen meerdere malen aan bod binnen dit regionaal ESF project en er is in meerdere activiteiten impliciet of expliciet aandacht voor het creÃ«ren van gelijke kansen voor vrouwen en minderheden.
",01.05.2014,30.07.2016,€ 2.034.550,€ 8.239.560
2014EUSF20110,VSO,2014,Gemeente Enschede,Enschede,NL,n.v.t.,ESF 14-16 Jongerenoffensief Twentse PrO en VSO,"Aanleiding:
Vanaf 2015, als de Participatiewet van kracht gaat, worden de arbeidsmarktkansen aanzienlijk kleiner voor leerlingen van het praktijkonderwijs (PRO) en voortgezet speciaal onderwijs (VSO). Voor deze groep jongeren, die vanwege een handicap te kampen hebben met functiebeperkingen, is het vaak niet mogelijk om zonder ondersteuning op de arbeidsmarkt actief te zijn. Wanneer geen aanvullende activiteiten worden ondernomen komen deze jongeren bij de gemeenten als participatie- of als werkklant. 
Het PRO en VSO zijn veelal eindonderwijs en het einddoel is een zo zelfstandig mogelijke plaats in de maatschappij. Door de landelijke ontwikkelingen Ã©n de recessie komt het uitstroomperspectief van deze leerlingen richting het mbo, beschermde en reguliere arbeid onder druk te staan. Voor deze jongeren is een integrale benadering en een soepele overgang van school naar werk van groot belang. 

Activiteiten:
De voorgenomen samenwerking tussen de PRO en VSO scholen uit onze arbeidsmarktregio is een eerste stap naar een integraal beleid. Met deze subsidieaanvraag zetten we in op het versterken van de bestaande structuur en voorzieningen voor jongeren. De activiteiten waarop wordt ingezet zijn Stage- werkplekleren, Branchecursus en Leerwerkbedrijf.

Doelstelling:
Door extra begeleiding bij de hierboven genoemde activiteiten krijgen leerlingen met een grotere afstand op de arbeidsmarkt een betere kans op werk of een vervolgopleiding. 

Beoogde resultaten:
- Met de activiteiten bevorderen we de aansluiting van PRO en VSO op de arbeidsmarkt of vervolgonderwijs
- De arbeidstoeleiding (begeleiding naar werk) van de PRO en VSO scholen binnen de regio is integraal, toekomst- en preventiegericht
- Voorkomen vroegtijdig schoolverlaten binnen PRO en VSO
- De jongeren worden beter voorbereid op de arbeidsmarktgerichte beroepskeuze
- Waar mogelijk behalen jongeren een (deel)certificaat gericht op een specifiek beroep
",15.08.2014,31.07.2016,€ 1.292.850,€ 2.844.270
2014EUSF20111,VSO,2014,gemeente Helmond,Helmond,NL,n.v.t.,VSO en PrO samen werkend leren in Helmond-de Peel,"Aanleiding: 
Vanaf 2015, als de Participatiewet van kracht gaat, worden de arbeidsmarktkansen aanzienlijk kleiner voor leerlingen van het praktijkonderwijs (PRO) en voortgezet speciaal onderwijs (VSO). Voor deze groep jongeren, die vanwege een handicap te kampen hebben met functiebeperkingen, is het vaak niet mogelijk om zonder ondersteuning op de arbeidsmarkt actief te zijn. Wanneer geen aanvullende activiteiten worden ondernomen komen deze jongeren bij de gemeenten als participatie- of als werkklant. 
Het PRO en VSO zijn veelal eindonderwijs en het einddoel is een zo zelfstandig mogelijke plaats in de maatschappij. Door de landelijke ontwikkelingen Ã©n de recessie komt het uitstroomperspectief van deze leerlingen richting het mbo, beschermde en reguliere arbeid onder druk te staan. Voor deze jongeren is een integrale benadering en een soepele overgang van school naar werk van groot belang. 

Activiteiten: 
De voorgenomen samenwerking tussen de PRO en VSO scholen uit onze arbeidsmarktregio is een eerste stap naar een integraal beleid. Met deze subsidieaanvraag zetten we in op het versterken van de bestaande structuur en voorzieningen voor jongeren. De activiteiten waarop wordt inzet zijn Stage- werkplekleren, Branchecursus en Leerwerkbedrijf. 

Doelstelling: 
Door extra begeleiding bij de hierboven genoemde activiteiten krijgen leerlingen met een grotere afstand op de arbeidsmarkt een betere kans op werk of een vervolgopleiding. 

Beoogde resultaten: 
- Met de activiteiten bevorderen we de aansluiting van PRO en VSO op de arbeidsmarkt of vervolgonderwijs; 
- De arbeidstoeleiding (begeleiding naar werk) van de PRO en VSO scholen binnen de regio is integraal, toekomst- en preventiegericht. We willen zoveel mogelijk jongeren laten instromen op (leerwerk)banen in de arbeidsmarkt; 
- Voorkomen vroegtijdig schoolverlaten binnen PRO en VSO; 
- De jongeren worden beter voorbereid op de arbeidsmarktgerichte beroepskeuze; 
- Waar mogelijk behalen jongeren een (deel)certificaat gericht op een specifiek beroep.
",18.08.2014,31.07.2016,€ 504.800,€ 1.009.600
2014EUSF20112,VSO,2014,Gemeente Eindhoven,Eindhoven,NL,n.v.t.,Arbeidstoeleiding in de regio Brabant zuid-oost,"Aanleiding:
Vanaf 2015, als de Participatiewet van kracht gaat, worden de arbeidsmarktkansen aanzienlijk kleiner voor leerlingen van het praktijkonderwijs (PRO) en voortgezet speciaal onderwijs (VSO). Voor deze groep jongeren, die vanwege een handicap te kampen hebben met functiebeperkingen, is het vaak niet mogelijk om zonder ondersteuning op de arbeidsmarkt actief te zijn. Wanneer geen aanvullende activiteiten worden ondernomen komen deze jongeren bij de gemeenten als participatie- of als werkklant. 
Het PRO en VSO zijn veelal eindonderwijs en het einddoel is een zo zelfstandig mogelijke plaats in de maatschappij. Door de landelijke ontwikkelingen Ã©n de recessie komt het uitstroomperspectief van deze leerlingen richting het mbo, beschermde en reguliere arbeid onder druk te staan. Voor deze jongeren is een integrale benadering en een soepele overgang van school naar werk van groot belang. 

Activiteiten:
De voorgenomen samenwerking tussen de PRO en VSO scholen uit onze arbeidsmarktregio is een eerste stap naar een integraal beleid. Met deze subsidieaanvraag zetten we in op het versterken van de bestaande structuur en voorzieningen voor jongeren. De activiteiten waarop wordt inzet zijn Stage- werkplekleren, Branchecursus en het Leerwerkbedrijf.

Doelstelling:
Door extra begeleiding bij de hierboven genoemde activiteiten krijgen leerlingen met een grotere afstand op de arbeidsmarkt een betere kans op werk of een vervolgopleiding. 

Beoogde resultaten:
- Met de activiteiten bevorderen we de aansluiting van PRO en VSO op de arbeidsmarkt of vervolgonderwijs
- De arbeidstoeleiding (begeleiding naar werk) van de PRO en VSO scholen binnen de regio is integraal, toekomst- en preventiegericht
- Voorkomen vroegtijdig schoolverlaten binnen PRO en VSO
- De jongeren worden beter voorbereid op de arbeidsmarktgerichte beroepskeuze
- Waar mogelijk behalen jongeren een (deel)certificaat gericht op een specifiek beroep
",18.08.2014,31.07.2016,€ 760.350,€ 1.520.700
2014EUSF20113,VSO,2014,Gemeente Zwolle,Zwolle,NL,n.v.t.,Talent heeft toekomst in de IJssel-Vecht,"Aanleiding:
Vanaf 2015, als de Participatiewet van kracht gaat, worden de arbeidsmarktkansen aanzienlijk kleiner voor leerlingen van het praktijkonderwijs (PRO) en voortgezet speciaal onderwijs (VSO). Voor deze groep jongeren, die vanwege een handicap te kampen hebben met functiebeperkingen, is het vaak niet mogelijk om zonder ondersteuning op de arbeidsmarkt actief te zijn. Wanneer geen aanvullende activiteiten worden ondernomen komen deze jongeren bij de gemeenten als participatie- of als werkklant. 
Het PRO en VSO zijn veelal eindonderwijs en het einddoel is een zo zelfstandig mogelijke plaats in de maatschappij. Door de landelijke ontwikkelingen Ã©n de recessie komt het uitstroomperspectief van deze leerlingen richting het mbo, beschermde en reguliere arbeid onder druk te staan. Voor deze jongeren is een integrale benadering en een soepele overgang van school naar werk van groot belang. 

Activiteiten:
De voorgenomen samenwerking tussen de PRO en VSO scholen uit onze arbeidsmarktregio is een eerste stap naar een integraal beleid. Met deze subsidieaanvraag zetten we in op het versterken van de bestaande structuur en voorzieningen voor jongeren. De activiteiten waarop wordt inzet zijn Stage- werkplekleren, Branchecursus en het Leerwerkbedrijf.

Doelstelling:
Door extra begeleiding bij de hierboven genoemde activiteiten krijgen leerlingen met een grotere afstand op de arbeidsmarkt een betere kans op werk of een vervolgopleiding. 

Beoogde resultaten:
- Met de activiteiten bevorderen we de aansluiting van PRO en VSO op de arbeidsmarkt of vervolgonderwijs
- De arbeidstoeleiding (begeleiding naar werk) van de PRO en VSO scholen binnen de regio is integraal, toekomst- en preventiegericht
- Voorkomen vroegtijdig schoolverlaten binnen PRO en VSO
- De jongeren worden beter voorbereid op de arbeidsmarktgerichte beroepskeuze
- Waar mogelijk behalen jongeren een (deel)certificaat gericht op een specifiek beroep",19.08.2014,18.08.2016,€ 609.450,€ 1.218.900
2014EUSF20114,VSO,2014,gemeente Gouda,Gouda,NL,n.v.t.,Samenwerken aan de toekomst,"De PRO en VSO scholen uit onze arbeidsmarktregio voeren gezamenlijk een project uit met als doelstelling het voorbereiden van leerlingen op de arbeidsmarkt. In dit project worden de leerlingen in leer-werkbedrijven voorbereid op de arbeidsmarkt. Daar waar gewenst worden ook cursussen aangeboden aan leerlingen.

Doelstelling:
Door extra begeleiding bij de hierboven genoemde activiteiten krijgen leerlingen met een grotere afstand op de arbeidsmarkt een betere kans op werk of een vervolgopleiding.

Beoogde resultaten: 
- Met de activiteiten bevorderen we de aansluiting van PRO en VSO op de arbeidsmarkt of vervolgonderwijs, 
- De arbeidstoeleiding (begeleiding naar werk) van de PRO en VSO scholen binnen de regio is integraal, toekomst- en preventiegericht, 
- Voorkomen vroegtijdig schoolverlaten binnen PRO en VSO, 
- De jongeren worden beter voorbereid op de arbeidsmarktgerichte beroepskeuze, 
- Waar mogelijk behalen jongeren een (deel)certificaat gericht op een specifiek beroep.",20.08.2014,30.06.2016,€ 237.600,€ 475.200
2014EUSF20115,VSO,2014,Gemeente Doetinchem,Doetinchem,NL,n.v.t.,Begeleiding kwetsbare jongeren in de regio Achterh,"
Aanleiding:
Vanaf 2015, als de Participatiewet van kracht gaat, worden de arbeidsmarktkansen aanzienlijk kleiner voor leerlingen van het praktijkonderwijs (PRO) en voortgezet speciaal onderwijs (VSO). Voor deze groep jongeren, die vanwege een handicap te kampen hebben met functiebeperkingen, is het vaak niet mogelijk om zonder ondersteuning op de arbeidsmarkt actief te zijn. Wanneer geen aanvullende activiteiten worden ondernomen komen deze jongeren bij de gemeenten als participatie- of als werkklant. 
Het PRO en VSO zijn veelal eindonderwijs en het einddoel is een zo zelfstandig mogelijke plaats in de maatschappij. Door de landelijke ontwikkelingen Ã©n de recessie komt het uitstroomperspectief van deze leerlingen richting het mbo, beschermde en reguliere arbeid onder druk te staan. Voor deze jongeren is een integrale benadering en een soepele overgang van school naar werk van groot belang. 

Activiteiten:
De voorgenomen samenwerking tussen de PRO en VSO scholen uit onze arbeidsmarktregio is een eerste stap naar een integraal beleid. Met deze subsidieaanvraag zetten we in op het versterken van de bestaande structuur en voorzieningen voor jongeren. De activiteiten waarop wordt inzet zijn Stage- werkplekleren, Branchecursus en het Leerwerkbedrijf.

Doelstelling:
Door extra begeleiding bij de hierboven genoemde activiteiten krijgen leerlingen met een grotere afstand op de arbeidsmarkt een betere kans op werk of een vervolgopleiding. 

Beoogde resultaten:
- Met de activiteiten bevorderen we de aansluiting van PRO en VSO op de arbeidsmarkt of vervolgonderwijs
- De arbeidstoeleiding (begeleiding naar werk) van de PRO en VSO scholen binnen de regio is integraal, toekomst- en preventiegericht
- Voorkomen vroegtijdig schoolverlaten binnen PRO en VSO
- De jongeren worden beter voorbereid op de arbeidsmarktgerichte beroepskeuze
- Waar mogelijk behalen jongeren een (deel)certificaat gericht op een specifiek beroep

",22.08.2014,31.07.2016,€ 326.700,€ 718.740
2014EUSF20116,VSO,2014,"Gemeente Utrecht, Werk en Inkomen",Utrecht,NL,n.v.t.,ESF 2014-2016 - PRO en VSO samen naar werk,"De PrO- en VSO-scholen uit onze arbeidsmarktregio voeren gezamenlijk een project uit met als doelstelling ?het voorbereiden van leerlingen op de arbeidsmarkt?. In dit project worden de leerlingen in leerwerkbedrijven voorbereid op de arbeidsmarkt. Daar waar gewenst worden ook cursussen aangeboden aan leerlingen.

Doelstelling:
Door extra begeleiding bij de hierboven genoemde activiteiten krijgen leerlingen met een grotere afstand tot de arbeidsmarkt een betere kans op werk of een vervolgopleiding.

Beoogde resultaten: 
- Met de activiteiten bevorderen we de aansluiting van PrO- en VSO-onderwijs op de arbeidsmarkt of vervolgonderwijs; 
- De arbeidstoeleiding (begeleiding naar werk) door de PrO- en VSO-scholen binnen de regio is integraal en toekomst- en preventiegericht;  
- Voorkomen vroegtijdig schoolverlaten binnen PrO- en VSO-onderwijs; 
- De jongeren worden beter voorbereid op de arbeidsmarktgerichte beroepskeuze;
- Waar mogelijk behalen jongeren een (deel)certificaat gericht op een specifiek beroep.
",25.08.2014,31.07.2016,€ 1.080.300,€ 2.160.600
2014EUSF2011631,AMR,2014,Zaanstad,Zaandam,NL,n.v.t.,Actieve incl Algemeen Zaanstreek-Waterland 2014,"De nederlandse regering zet ESF 2014-2020 in om actieve inclusie te bevorderen t.a.v een brede doelgroep. De doelgroep omvat o.a. NUGGers (niet uitkerings gerechtigden), 55+Ã©rs, Jongeren 18-27 jaar en personen met een uitkering tenminste 6 maanden. De gemeenten, behorende tot de arbeidsmarktregio Zaanstreek/Waterland zetten zich in brede zin in om de sociale inclusie, de sociale innovatie en duurzame en kwalitatief hoogstaande werkgelegenheid en ondersteuning van arbeidsmobiliteit te bevorderen. Tevens wordt armoede en discriminatie bestreden. In de aanvraag worden een 3-tal onderdelen opgenomen. 1) De re-integratieconsulenten van de gemeente Zaanstad (centrumgemeente van de arbeidsmarktregio Zaanstreek/Waterland) houden zich voor 100% bezig met bovengenoemde doelstellingen. De loonkosten voor de ESF doelgroep worden opgenomen, evenals de kosten voor inhuurkrachten die specifiek voor re-integratie werkzaam zijn. 2) Er zijn ongeveer 10 medewerkers van de GGD die zich voor 100% bezig houden met Straathoekwerk en JPP (jeugdpreventieprogramma) die kwetsbare jongeren bijjstaan met individuele hulp- en dienstverlening, dwz jongeren leren om verantwoording te dragen voor hun eigen keuzes en gedrag. 3) De loonkostensubsidies van Flexpay worden verantwoord. Dit betreft een constructie waarbij deelnemers geplaatst worden bij bedrijven en de deelnemers bij Flexpay op de loonlijst komen.",16.10.2014,15.10.2016,€ 1.013.600,€ 5.510.000
2014EUSF20117,VSO,2014,"Gemeente Amsterdam, Dienst Werk en Inkomen",Amsterdam,NL,n.v.t.,Pro Vso Amsterdam 2014 2016,"Het uitvoeren van begeleiding, arbeidsmarktgerichte scholing, jobcoaching en inzetten van plaatsingssubsidies voor leerlingen en ex-leerlingen van het Pro-Vso-onderwijs door de gemeente Amsterdam in samenwerking met de Pro VSo scholen in de regio Groot Amsterdam",01.09.2014,31.08.2016,€ 4.099.800,€ 10.013.828
