Begunstigde,Titel van het project (naam van de concrete actie),Titel van het project in het Engels,Fonds,Autoriteit,Samenvatting,Website project,EU-subsidie in Euro's,Overige publieke financiering,Overige private financiering,Totale kosten in Euro's,Medefinancieringspercentage van de Unie (per prioritaire as),Datum van laatste bijwerking,Begindatum,Einddatum,Thematische doelstelling
Hanzehogeschool Groningen,HIT (Hanze Institute of Technology),HIT (Hanze Institute of Technology) ,EFRO,,"Het Hanze Institute of Technology (HIT) is een onderdeel van de Hanzehogeschool Groningen. Met steun uit het KOMPAS programma is de basisinfrastructuur voor het HIT neergezet. Dit project betreft de volgende twee activiteiten:
1. Bedrijfgericht opleidingsprogramma sensortechnologie2. Ontwikkeling van het Applied Research Centre CENSI.��In samenhang leiden deze projecten tot het gewenste toekomstperspectief van het HIT.Bedrijfgericht opleidingsprogramma sensortechnologieHet eerste jaar van de bedrijfsgerichte opleiding sensortechnologie is in de KOMPAS-periode ontwikkeld. Deze is vorig jaar van start gegaan. Dit project betreft de ontwikkeling van de volgende jaren van de opleiding. Het gaat niet om de exploitatie van de opleiding zelf, maar de ontwikkeling van 10 modules voor de overige drie opleidingsjaren. Het project omvat:
Intensiveren en uitbreiden netwerk externe relaties en (internationale) bedrijven, w.o. potenti��le partners
Uitwerken programma aanbod i.s.m. aan het HIT gelieerde bedrijven
Voorbereiding en training van de gastdocenten uit bedrijfsleven
Ontwikkeling masteropleiding
Ontwikkeling van het Applied Research Centre CENSI. Dit onderdeel voorziet in het ontwikkelen van een onderzoekscentrum waar hoogwaardig toegepast onderzoek (open source) naar sensortechnologie wordt verricht, het zogenoemde Applied Research Centre CENSI. Het uit te voeren onderzoek is voor het overgrote deel te typeren als experimentele ontwikkeling (met mogelijk een klein deel industrieel onderzoek). Zowel het onderzoeksprogramma als de onderzoeksresultaten zijn openbaar (open source). Onderzoeksprojecten worden binnen CENSI uitgevoerd door studenten en docent-onderzoekers van het HIT, de HG en mogelijk andere (buitenlandse) kennisinstellingen. De subsidieaanvraag bestaat uit de financiering van de fysieke inrichting van het CENSI (aanleg infrastructuur, meubilair, computers en meet- en sensorapparatuur) en financiering van het projectmanagement.��
",,107.097,2.034.856,,2.141.953,5,11.02.2016,19.02.2009,30.06.2014,
Paques B.V.,Bugs to the Rescue,Bugs to the Rescue ,EFRO,,"Gasontzwaveling in het algemeen is noodzakelijk, omdat zwavel in gas het verdere transport en gebruik vrijwel onmogelijk maakt. Er is een aantal ontzwavelingstechnologie��n beschikbaar, maar voor diverse segmenten (types gas) is er geen goede oplossing. Paques brengt al enige tijd op zeer beperkte schaal een gasontzwavelingstechnologie (Thiopaq) op de markt die in ieder geval voor een aantal bijzondere en kleine segmenten een verbetering betekent. Deze technologie is gebaseerd op ontzwaveling door bacteri��n. De huidige stand van de technologie maakt deze te duur als effectieve concurrent op alle potenti��le marktsegmenten. Zowel omdat vooralsnog de omvang van de gastroom die de Thiopaq aankan relatief gering is en omdat de technologie te hoge investeringskosten kent.
��
Om de Thiopaq technologie kosteneffectiever te maken zijn beide partners (Paques en Shell)��op zoek naar mogelijkheden om de gewonnen zwavel te vermarkten. Uit eerder onderzoek is gebleken dat de zwavel die op biotechnologische wijze is gewonnen van hogere kwaliteit is voor landbouwtoepassingen.
��
De huidige Thiopaq technologie is bijzonder in zijn eenvoud, milieuvriendelijkheid en stabiliteit en in de hoge kwaliteit van de gewonnen biozwavel. De technologie is geschikt voor biogas, aardgas, synthesegas, raffinagegassen, geothermisch gas en meer.
��
Om de Thiopaq technologie tot een commercieel succes te maken is nader onderzoek en ontwikkeling nodig. De investeringskosten dienen omlaag gebracht te worden door de equipment omvang te reduceren, de technologie moet grotere gasstromen kunnen behandelen en ook andere gasstromen dan tot nu toe. Het onderzoek dat daarvoor nodig is bestaat uit o.a. gedrag van de bacteri��n onder verschillende condities. Dat onderzoeks- en ontwikkelingsproces is onderdeel van onderhavig project.
��
De zwavel die op biotechnologische wijze gewonnen wordt, heeft betere eigenschappen dan de reguliere, chemisch gewonnen zwavel. Dat maakt de zwavel interessant voor landbouwtoepassingen. Onderzoek is nodig om de gewonnen zwavel zonder verlies van kwaliteit om te zetten naar een product dat de landbouw kan toepassen. Dit onderzoek is onderdeel van onderhavig project.
��",,1.238.920,1.238.920,1.942.797,4.420.637,28,11.02.2016,15.04.2009,31.12.2013,
DeSah B.V.,Duurzame afvalwaterzuivering op wijkniveau,Sustainable waste water system ,EFRO,,"De wijk Noorderhoek in Sneek wordt ingrijpend gerenoveerd. Het project Waterschoon betreft de aanleg van en onderzoek aan het decentrale afvalwatersysteem voor een wijk van 252 woningen. De projectpartners in Waterschoon zijn: gemeente S̼dwest-Frysl̢n, Wetterskip Frysl̢n, Stowa, DeSaH bv en woningstichting de Wieren. Dit project resulteert in een wijk die haar eigen energie produceert en afvalwater behandelt, waaruit nutri��nten en geneesmiddelen worden verwijdert en vervolgens biogas voor eigen gebruik oplevert.
Het totale project bestaat uit twee systemen: de energievoorziening en de decentrale afvalwater behandeling. Alleen het laatste systeem valt onder de onderhavige subsidieaanvraag.
��
De wijk Noorderhoek in Sneek wordt ingrijpend gerenoveerd. Zowel gemeente als woningbouwstichting hebben de ambitie om van deze wijk een voorbeeld te maken van het moderne duurzaamheidsconcept ���cradle to cradle�۝. De partners in dit project vormen een combinatie van technologische innovators (Desah bv) en launching costumers (woningbouwstichting in de vorm van Energie bv).
��
Het project betreft aanleg van en onderzoek aan het decentrale afvalwatersysteem voor een wijk van 252 woningen. Het gaat om experimentele ontwikkeling. De aanleg is noodzakelijk voor verder ontwikkeling. Daarom valt het gehele project onder experimentele ontwikkeling. Het innovatieve van het project zit in:
��
Schaalgrootte (van 32 naar 252 woningen; grootte is van invloed op vergistingsproces)
Grijswaterbehandeling (demo van 32 woningen betrof alleen zwart water); is niet eerder ontwikkeld en toegepast.
Gelijktijdige inzameling en behandeling van gft-afval (groen water)
Toepassing OLAND technologie (tot nu toe alleen op lab-schaal) voor verwijdering nutri��nten.
Eerste project waar geneesmiddelen uit huishoudelijk afvalwater verwijderd worden.
Koppeling van decentrale afvalwater inzameling en -behandeling met warmte-koude opslag en biogasproductie is nog nooit gedemonstreerd.
",,100.000,957.471,809.461,1.866.932,5,11.02.2016,14.04.2009,31.05.2013,
AMO Groningen B.V.,For Your Eyes Only,For Your Eyes Only ,EFRO,,"Het gaat hier om een internationaal samenwerkingsproject waarbij AMO Groningen B.V. samen met de afdeling oogheelkunde van het UMCG en een Ierse universiteit een nieuwe lens ontwikkelen. AMO Groningen B.V. is onderdeel van de Abbott Medical Optics Group, een multinational met als hoofdvestiging de Verenigde Staten.
Het doel is een ontwerp- en productiemethode te ontwikkelen voor een kunstmatige staarlens die de natuurlijke optische afwijkingen van ieder oog afzonderlijk compenseert. Dit moet de pati��nt na een staaroperatie waarbij de lens wordt ge��mplanteerd een optimaal gezichtsvermogen geven.
��
Het project bestaat uit 4 fasen:
1)���������� Oog karakterisatie onderzoek (Ierse universiteit)
2)���������� Individuele lens ontwerp methode (AMO Groningen B.V.)
3)���������� Klinisch onderzoek (UMCG)
4)���������� (Voorbereiding van) toegepast klinisch onderzoek (AMO Groningen B.V.)
��
De kosten van de Ierse partner (National University of Ireland, Galway), merendeels beperkt tot fase 1, zitten niet in dit project.
��
In het project wordt onderzocht hoe per pati��nt de afwijkingen gemeten en vastgelegd kunnen worden. Er wordt een ontwerpmethode ontwikkeld waarmee op basis van de gemeten waarden de compenserende lensparameters berekend kunnen worden. Hierna wordt een productiemethode ontwikkeld waarmee de lenzen individueel vervaardigd, getest en goedgekeurd worden. De procedure om tot een individuele lens te komen is wezenlijk anders dan de huidige methode om lenzen in serie en op voorraad te produceren.
��",,431.842,734.124,561.403,1.727.369,25,11.02.2016,18.03.2009,01.08.2013,
Stenden Hogeschool,Kenniscentrum Sociale Innovatie,Kenniscentrum Sociale Innovatie ,EFRO,,"Stenden Hogeschool wil een kenniscentrum Sociale Innovatie starten. Het centrum combineert (multidisciplinair) onderzoek, onderwijs en praktische toepassingen op het gebied van sociale innovatie en draagt bij aan kenniscirculatie tussen het (MKB) bedrijfsleven, brancheorganisaties en (hoger beroeps en middelbaar) onderwijs. Kernbegrippen bij sociale innovatie zijn: mens en organisatie, arbeidsverhoudingen, leiderschap, ondernemerschap en duurzaamheid. Het kenniscentrum:
initieert en voert onderzoeksprojecten uit op het gebied van sociale innovatie die beantwoorden aan de behoeftes van het��bedrijfsleven binnen de regio;
richt een informatiecentrum / helpdesk in en biedt het een ontmoetingsruimte voor betrokken organisaties en ge��nteresseerden;
organiseert cursussen, workshops en congressen over het thema sociale innovatie die van belang zijn voor de noordelijke regio.����
��",,278.440,1.366.140,,1.982.080,14,11.02.2016,22.12.2008,01.04.2012,
Rijksuniversiteit Groningen,Target,Target ,EFRO,,"Het project Target betreft de opbouw van een duurzaam economisch cluster intelligente sensornetwerk van informatiesystemen in Noord-Nederland, gericht op databeheer bij zeer grote hoeveelheden data. Op basis van het Target model voor volledige integratie van grootschalige dataverwerking, archivering en analyse worden in samenwerking tussen wetenschap en bedrijfsleven complexe en schaalbare datasystemen ontwikkeld en verbeterd.
Deze proeftuin maakt het doorontwikkelen naar concrete markttoepassingen mogelijk en stelt deelnemers daarmee in staat om er in vervolgtrajecten verdere producten en diensten mee te ontwikkelen.
��
Onze hedendaagse maatschappij kenmerkt zich door een forse toename van het gebruik van sensoren, bijvoorbeeld in camera�۪s, scanners of netwerken zoals Lofar. Hierdoor worden steeds grotere datastromen gegenereerd die dienen te voldoen aan de informatiebehoefte van bedrijven, maatschappelijke organisaties en individuele consumenten. Deze informatiebehoefte wordt al jaren gesteund door het exponentieel groeiende internet waar zeer grote hoeveelheden gegevens toegankelijk worden gemaakt. In toenemende mate wordt de vraag naar informatie toegespitst op de vraag: Hoe kan van grote hoeveelheden sensorgegevens zinvolle, betrouwbare informatie gemaakt worden?",,7.488.600,850.000,21.474.836,21.474.836,35,11.02.2016,08.01.2009,31.12.2014,
Paques B.V.,Van piloot naar prototype,Van piloot naar prototype,EFRO,,"Het project betreft de ontwikkeling van een nieuw zuiveringsconcept, waarbij afvalwater en vetten in een reactor worden omgezet in biogas. AFR-reactor maakt het mogelijk de vaste stoffen en vetdeeltjes in de afvalstromen nagenoeg volledig in biogas om te zetten. Biogas kan worden aangewend als groene energie. Ook neemt het aantal, nu nog niet goed weg te vangen, vaste stoffen in de afvalstroom af, waardoor het gezuiverde water minder vuil is. De technologie is daardoor schoner en de installatie neemt minder ruimte in dan ���klassieke�۪ aerobe reactoren voor dit type afvalstromen.
��
Paques ontwikkelde��het nieuwe zuiveringsconcept. Op labschaal functioneert de technologie. Bij transportbedrijf ITC in Oss (Brabant) heeft Paques de mogelijkheid om op representatieve schaal een prototype te realiseren. ITC functioneert hier als launching customer ̩n als proeflocatie om de technologie op te schalen van 126 liter naar 500m3. Betreft een innovatieproject met zwaartepunt op experimentele ontwikkeling en een klein deel industrieel onderzoek.
��
��",,109.214,427.409,1.347.493,2.098.386,5,11.02.2016,11.11.2008,01.03.2011,
Consortium Drug Delivery,Drug Delivery and Targeting Cluster,Drug Delivery and Targeting Cluster ,EFRO,,"In dit project gaan bedrijven en kennisinstellingen gezamenlijk ���proof of concepts�۪ ontwikkelen, die vervolgens vermarkt kunnen worden aan de farmaceutische industrie. Met een ���proof of concept�۪ wordt bedoeld��een concreet bewijs dat de farmaceutische industrie accepteert en voor wil betalen voor het ontwikkelen van een effectieve therapie.
��
Met drug delivery en targeting wordt bedoeld:
Alle activiteiten die eraan bijdragen medicijnen in het menselijk lichaam zo effici��nt mogelijk te laten werken met zo weinig mogelijk bijwerkingen. Anders gezegd, zorgen dat een medicijn daar aankomt waar het moet werken: bijvoorbeeld een kankermedicijn de opdracht geven alleen een tumorbloedvat uit te schakelen en de gezonde bloedvaten met rust te laten. Ook de technieken om werkzame medicijnen in de goede vorm te verkrijgen en het stabiliseren zodat ze tijdens transport door het lichaam in de goede vorm blijven, behoort tot het werkgebied.",,1.454.320,2.534.084,3.059.196,7.047.600,21,11.02.2016,06.11.2008,01.05.2014,
N.V. Economische Impuls Zeeland,Zeeland aantrekkelijk voor Aziatische Bedrijven,,EFRO,,"Het doel van het project is primair het versterken van de positie van Zeeland als aantrekkelijk vestigingsgebied voor bedrijven. Meer specifiek richt het project zich op het promoten van Zeeland als aantrekkelijk vestigingsgebied in Azi�� en daaruit voorvloeiend het aantrekken van nieuwe bedrijvigheid (acquisitie) en daarmee het cre��ren van nieuwe arbeidsplaatsen door gerichte acquisitie op Aziatische bedrijven.
��Als subdoelstellingen zijn geformuleerd:��
Zeeland als aantrekkelijke vestigingsplaats en handelsregio neerzetten in Azi��;
    Het bieden van ondersteuning aan bedrijven uit de Aziatische regio;
    Aantrekken van nieuwe bedrijfsvestigingen in de speerpuntsectoren die voor Zeeland zijn benoemd in haar acquisitieplan;
    Realiseren van aanvullende werkgelegenheid voor de regio;

    Vergroten realisatiekracht van de regio.

",,125.679,196.576,,322.255,39,11.02.2016,17.04.2009,01.07.2012,
Stichting Microkrediet Nederland h/o Qredits,Startersfonds Den Haag,Startersfund the Hague,EFRO,,"Samenwerking: gemeente Den Haag en Stichting Mikrokrediet Nederland h/o Qredits Het Startersfonds is onderdeel van het startersbeleid in Den Haag en schept kansen voor startende en doorstartende ondernemers in het MKB. Het Haagse startersbeleid is gericht op het ondersteunen van ondernemers met potentie en een goed ondernemersplan. Het beleid rust op drie pijlers: bieden van huisvesting, stimuleren van ondernemerschap en verstrekken van risicokapitaal. Voor een aantal MKB'ers biedt een microkrediet onvoldoende mogelijkheden. Daar komt bij dat banken alleen tegen zeer beperkende voorwaarden een krediet verstrekken aan deze groep. Daarom is het Startersfonds in het leven geroepen. De doelgroep van het Startersfonds bestaat uit startende ondernemers en ondernemers die een doorstart willen maken. Het Startersfonds hanteert het criterium dat ondernemers die een beroep doen op dit fonds zijn ingeschreven bij de Kamer van Koophandel, en binnen vijf jaar na oprichting beroep doen op het Startersfonds. Het Startersfonds zal op basis van een intake en een zorgvuldige beoordeling kredieten verschaffen aan (door-)startende ondernemers tot maximaal ��� 125.000,- Door kansen te bieden aan startende en doorstartende ondernemers en hogere kredieten te bieden aan innovatieve bedrijvigheid kan de concurrentiepositie van de Haagse regio blijvend duurzaam worden versterkt.",,1.200.000,1.200.000,,2.400.000,50,11.02.2016,01.07.2009,31.12.2014,
