Tytu≥ projektu;Nazwa beneficjenta;WartoúÊ projektu [z≥];Dofinansowanie z EU [z≥];Multimedia;Dziedzina;Czy projekt jest realizowany na obszarze wiÍkszym niø jedna jednostka administracyjna?
Budowa autostrady A1, odcinek Pyrzowice - MaciejÛw - Soúnica;Generalna Dyrekcja DrÛg Krajowych i Autostrad;5859779905.09;4652614238.25;Tak;transport;Tak
II linia metra w Warszawie - Prace przygotowawcze, projekt i budowa odcinka centralnego wraz z zakupem taboru;Miasto Sto≥eczne Warszawa;5978709113.69;3602743794.77;Tak;transport;Nie
Budowa autostrady A-4 TarnÛw - RzeszÛw, odc. w. Krzyø - w. RzeszÛw WschÛd wraz z odc. Drogi ekspresowej S-19 w. RzeszÛw ZachÛd - w. åwilcza;Generalna Dyrekcja DrÛg Krajowych i Autostrad;5295490059.90;2969050618.42;Nie;transport;Tak
Budowa autostrady A-4 RzeszÛw - Korczowa;Generalna Dyrekcja DrÛg Krajowych i Autostrad;4754825500.03;2890243728.68;Nie;transport;Tak
Budowa autostrady A-1, odcinek ToruÒ-StrykÛw;Generalna Dyrekcja DrÛg Krajowych i Autostrad;5714122009.94;2826274768.75;Nie;transport;Tak
Budowa autostradowej obwodnicy Wroc≥awia A8;Generalna Dyrekcja DrÛg Krajowych i Autostrad;3898199591.75;2796119019.29;Nie;transport;Tak
Budowa drogi ekspresowej S17, odcinek KurÛw - Lublin - Piaski;Generalna Dyrekcja DrÛg Krajowych i Autostrad;3363680921.46;2277291178.08;Nie;transport;Tak
Modernizacja linii kolejowej E 30/C-E 30, odcinek KrakÛw-RzeszÛw, etap III - Faza I;PKP Polskie Linie Kolejowe S.A.;3440923905.28;2054842572.86;Nie;transport;Tak
Budowa drogi S2 wÍze≥ Konotopa-WÍze≥ Pu≥awska wraz z odcinkiem wÍze≥ Lotnisko-wÍze≥ Marynarska S79;Generalna Dyrekcja DrÛg Krajowych i Autostrad;4153960005.61;1919124283.76;Nie;transport;Tak
Budowa drogi ekspresowej S8 odcinek wÍze≥ Konotopa - wÍze≥ Powπzkowska;Generalna Dyrekcja DrÛg Krajowych i Autostrad;2728223303.37;1573726046.51;Nie;transport;Tak
Budowa drogi ekspresowej S3, odcinek GorzÛw Wlkp. - Nowa SÛl, na odcinku GorzÛw Wlkp. - SulechÛw;Generalna Dyrekcja DrÛg Krajowych i Autostrad;2111586841.41;1569427811.73;Tak;transport;Tak
Budowa drogi ekspresowej S3 odcinek Szczecin - GorzÛw Wlkp.;Generalna Dyrekcja DrÛg Krajowych i Autostrad;2307000000.00;1490371379.43;Nie;transport;Tak
Przebudowa drogi ekspresowej S8 odcinek wÍze≥ Powπzkowska - wÍze≥ Marki (ul. Pi≥sudskiego);Generalna Dyrekcja DrÛg Krajowych i Autostrad;1918615027.82;1478487770.96;Nie;transport;Tak
Budowa drogi ekspresowej S7, odcinek Elblπg (S22) ñ Olsztynek (S51), na odcinku Elblπg ñ Mi≥om≥yn;Generalna Dyrekcja DrÛg Krajowych i Autostrad;1792452013.90;1401476705.18;Nie;transport;Tak
Modernizacja linii kolejowej E 65/C-E 65 na odcinku Warszawa - Gdynia - obszar LCS I≥awa, LCS Malbork;PKP Polskie Linie Kolejowe S.A.;2023942436.46;1218142206.79;Nie;transport;Tak
