Tytu³ projektu;Nazwa beneficjenta;Wartoœæ projektu;Dofinansowanie z EU;Multimedia;Dziedzina;Czy projekt jest realizowany na obszarze wiêkszym ni¿ jedna jednostka administracyjna?
Budowa autostrady A1, odc. Pyrzowice - Czêstochowa;GENERALNA DYREKCJA DRÓG KRAJOWYCH I AUTOSTRAD;2607614076.74;1355184582.35;Nie;transport;Nie
Budowa drogi ekspresowej S7, odc. Mi³om³yn - Olsztynek;GENERALNA DYREKCJA DRÓG KRAJOWYCH I AUTOSTRAD;2199770556.62;1176168531.81;Nie;transport;Tak
Budowa drogi ekspresowej S3 Nowa Sól – Legnica, odc. KaŸmierzów – Legnica;GENERALNA DYREKCJA DRÓG KRAJOWYCH I AUTOSTRAD;1924537443.76;992038685.21;Nie;transport;Tak
Budowa drogi ekspresowej S5 odc. Korzeñsko – Wroc³aw (w. Widawa);GENERALNA DYREKCJA DRÓG KRAJOWYCH I AUTOSTRAD;1898993625.04;911126425.26;Nie;transport;Tak
Modernizacja linii kolejowej nr 8, odcinek Warszawa Okêcie - Radom (LOT A, B, F) - FAZA II;PKP POLSKIE LINIE KOLEJOWE S.A.;1317453968.43;791422309.33;Nie;transport;Tak
Budowa drogi ekspresowej S3 Gorzów Wielkopolski - Nowa Sól, odc. Sulechów (w. Kruszyna) - Nowa Sól;GENERALNA DYREKCJA DRÓG KRAJOWYCH I AUTOSTRAD;1335544653.74;700905529.63;Nie;transport;Tak
Budowa drogi ekspresowej S-8 Wyszków - Bia³ystok, odc. Wyszków – granica woj. mazowieckiego /podlaskiego;GENERALNA DYREKCJA DRÓG KRAJOWYCH I AUTOSTRAD;1334452141.08;662816363.77;Nie;transport;Tak
Budowa drogi ekspresowej S3 Nowa Sól – Legnica, odc. w. Nowa Sól P³d. – w. KaŸmierzów (bez wêz³a);GENERALNA DYREKCJA DRÓG KRAJOWYCH I AUTOSTRAD;980314897.31;570210865.53;Nie;transport;Tak
Przebudowa drogi ekspresowej S-8 Wyszków – Bia³ystok, odc. Wiœniewo – Je¿ewo;GENERALNA DYREKCJA DRÓG KRAJOWYCH I AUTOSTRAD;1055525128.86;527708788.15;Nie;transport;Tak
Modernizacja linii kolejowej E 30 / C-E 30, odcinek Kraków – Rzeszów, etap III - Faza II ;PKP POLSKIE LINIE KOLEJOWE S.A.;811385298.35;482303963.74;Nie;transport;Tak
Budowa drogi ekspresowej S8, odc. w. Marki – w. Radzymin P³d.;GENERALNA DYREKCJA DRÓG KRAJOWYCH I AUTOSTRAD;1103765800.00;481548041.52;Nie;transport;Nie
