Tytu≥ projektu;Nazwa beneficjenta;WartoúÊ projektu;Dofinansowanie z EU;Multimedia;Dziedzina;Czy projekt jest realizowany na obszarze wiÍkszym niø jedna jednostka administracyjna?
Budowa drogi ekspresowej S51 Olsztyn - Olsztynek;GENERALNA DYREKCJA DR”G KRAJOWYCH I AUTOSTRAD;1568930487.38;867306201.54;Nie;transport;Nie
MiÍdzynarodowe Agendy Badawcze;FUNDACJA NA RZECZ NAUKI POLSKIEJ;532029620.00;532029620.00;Nie;nauka i edukacja;Nie
Budowa obwodnic Inowroc≥awia i Brodnicy w ciπgu DK15;GENERALNA DYREKCJA DR”G KRAJOWYCH I AUTOSTRAD;673964596.47;445474326.43;Nie;transport;Tak
Budowa obwodnic Ostrowa Wielkopolskiego i Jarocina w ciπgu S11;GENERALNA DYREKCJA DR”G KRAJOWYCH I AUTOSTRAD;664037498.75;347222613.11;Nie;brak;Tak
ÑBudowa obwodnicy OstrÛdy w ciπgu dk 16î;GENERALNA DYREKCJA DR”G KRAJOWYCH I AUTOSTRAD;388849336.98;294871159.20;Nie;brak;Nie
Budowa obwodnic Wielunia i Be≥chatowa w ciπgu dk nr 74;GENERALNA DYREKCJA DR”G KRAJOWYCH I AUTOSTRAD;424683178.00;284390502.38;Nie;transport;Nie
Budowa obwodnicy Nysy w ciπgu dk 41 i 46;GENERALNA DYREKCJA DR”G KRAJOWYCH I AUTOSTRAD;367501310.05;266136076.27;Nie;transport;Nie
HOMING/POWROTY;FUNDACJA NA RZECZ NAUKI POLSKIEJ;205300000.00;205300000.00;Nie;nauka i edukacja;Nie
TEAM TECH;FUNDACJA NA RZECZ NAUKI POLSKIEJ;205300000.00;205300000.00;Nie;nauka i edukacja;Nie
TEAM;FUNDACJA NA RZECZ NAUKI POLSKIEJ;205300000.00;205300000.00;Nie;nauka i edukacja;Nie
ÑRewitalizacja linii kolejowej nr 207 odcinek granica wojewÛdztwa ñ Malborkî;PKP POLSKIE LINIE KOLEJOWE S.A.;267652355.65;180444851.10;Nie;brak;Tak
Budowa DK51 w Olsztynie na odcinku od skrzyøowania ul. Towarowej z ul. Leonharda do wÍz≥a WschÛd (S51);GMINA OLSZTYN;208574156.96;176912550.15;Nie;brak;Nie
Poprawa jakoúci us≥ug regionalnego publicznego transportu zbiorowego WojewÛdztwa Dolnoúlπskiego realizowana poprzez zakup jedenastu nowych, piÍciocz≥onowych elektrycznych zespo≥Ûw trakcyjnych;KOLEJE DOLNOåL•SKIE SP”£KA AKCYJNA;258022260.00;170349057.60;Nie;brak;Nie
Chmura obliczeniowa resortu finansÛw (HARF);MINISTERSTWO FINANS”W;192500000.00;162893500.00;Nie;telekomunikacja i e-us≥ugi;Nie
Centrum Analiz Przestrzennych Administracji Publicznej;G£”WNY URZ•D GEODEZJI I KARTOGRAFII;189614022.00;160451385.41;Nie;telekomunikacja i e-us≥ugi;Nie
Wdroøenie protoko≥u elektronicznego w sπdach powszechnych (sprawy cywilne i wykroczeniowe).;MINISTERSTWO SPRAWIEDLIWOåCI;185000000.00;156547000.00;Nie;telekomunikacja i e-us≥ugi;Nie
Pomorskie e-Zdrowie;SAMORZ•D WOJEW”DZTWA POMORSKIEGO;184132844.00;143080540.80;Nie;brak;Tak
Platforma Us≥ug Elektronicznych S≥uøby Celnej (PUESC);MINISTERSTWO FINANS”W;158858424.00;132966303.38;Nie;telekomunikacja i e-us≥ugi;Nie
ZSIN - Budowa Zintegrowanego Systemu Informacji o Nieruchomoúciach ñ Faza II;G£”WNY URZ•D GEODEZJI I KARTOGRAFII;152953000.00;129428828.60;Nie;telekomunikacja i e-us≥ugi;Nie
Promocja gospodarki w oparciu o polskie marki produktowe - Marka Polskiej Gospodarki - Brand;MINISTERSTWO ROZWOJU DEPARTAMENT WSPIERANIA MA£YCH I åREDNICH PRZEDSI BIORSTW;149642900.00;126000000.00;Nie;brak;Nie
Zakup niskoemisyjnych, niskopod≥ogowych autobusÛw oraz stacjonarnych automatÛw KKM do sprzedaøy biletÛw, w celu obs≥ugi linii aglomeracyjnych;MIEJSKIE PRZEDSI BIORSTWO KOMUNIKACYJNE S.A. W KRAKOWIE;167451331.77;115718400.00;Nie;brak;Tak
RozwÛj Systemu Digitalizacji Akt PostÍpowaÒ Przygotowawczych (iSDA);PROKURATURA GENERALNA;103065708.56;87214202.58;Nie;telekomunikacja i e-us≥ugi;Nie
RozwÛj katalogu us≥ug cyfrowych dla klientÛw Administracji Podatkowej i Kontroli Skarbowej w zakresie centralizacji obs≥ugi podatkÛw CIT i VAT oraz obs≥ugi Jednolitego Pliku Kontrolnego (Projekt CVP).;MINISTERSTWO FINANS”W;97615960.00;82602625.35;Nie;telekomunikacja i e-us≥ugi;Nie
K-GESUT ñ Krajowa baza danych geodezyjnej ewidencji sieci uzbrojenia terenu;G£”WNY URZ•D GEODEZJI I KARTOGRAFII;87138430.00;73736539.46;Nie;telekomunikacja i e-us≥ugi;Nie
Opolskie mobilne! - usprawnienie transportu zbiorowego regionu i aglomeracji opolskiej.;WOJEW”DZTWO OPOLSKIE;76545000.00;64945000.00;Nie;transport;Tak
