Tytu≥ projektu;Nazwa beneficjenta;WartoúÊ projektu;Dofinansowanie z EU;Multimedia;Dziedzina;Czy projekt jest realizowany na obszarze wiÍkszym niø jedna jednostka administracyjna?
Wsparcie potencja≥u kadrowego WRPO 2014-2020 w latach 2015-2023 - IZ ;SAMORZ•D WOJEW”DZTWA WIELKOPOLSKIEGO;200626162.00;170532237.70;Nie;brak;Nie
Staøe zagraniczne dla uczniÛw i absolwentÛw szkÛ≥ zawodowych oraz mobilnoúÊ kadry kszta≥cenia zawodowego.;FUNDACJA ROZWOJU SYSTEMU EDUKACJI;165598020.00;165598020.00;Nie;wspÛ≥praca miÍdzynarodowa;Nie
Wdroøenie instrumentu poøyczkowego i reporÍczeniowego w ramach Krajowego Funduszu PrzedsiÍbiorczoúci Spo≥ecznej.;BANK GOSPODARSTWA KRAJOWEGO;158900000.00;133920920.00;Nie;brak;Nie
Zagraniczna mobilnoúÊ studentÛw niepe≥nosprawnych oraz znajdujπcych siÍ w trudnej sytuacji materialnej. Edycja2.;FUNDACJA ROZWOJU SYSTEMU EDUKACJI;118252244.25;118252244.25;Nie;wspÛ≥praca miÍdzynarodowa;Nie
Program praktyk zawodowych w PaÒstwowych Wyøszych Szko≥ach Zawodowych;MINISTERSTWO NAUKI I SZKOLNICTWA WYØSZEGO;135937750.00;114568335.70;Nie;nauka i edukacja;Nie
Dzia≥alnoúÊ Instytucji Zarzπdzajπcej i Certyfikujπcej w zakresie realizacji RPO WM 2014-2020 w latach 2015-2018 - Pomoc Techniczna;ZARZ•D WOJEW”DZTWA MA£OPOLSKIEGO (UMWM);126886141.00;107853219.85;Nie;brak;Nie
Projekt Pomocy Technicznej na lata 2015-2017;SAMORZ•D WOJEW”DZTWA POMORSKIEGO;90000000.00;76500000.00;Nie;brak;Nie
RozwÛj kszta≥cenia specjalizacyjnego lekarzy w dziedzinach istotnych z punktu widzenia potrzeb epidemiologiczno-demograficznych kraju;CENTRUM MEDYCZNE KSZTA£CENIA PODYPLOMOWEGO;89997771.10;75850121.48;Nie;nauka i edukacja;Nie
Dzia≥alnoúÊ Instytucji Poúredniczπcej (MCP) w zakresie realizacji RPO WM 2014-2020 w latach 2015-2018 - Pomoc Techniczna;MA£OPOLSKIE CENTRUM PRZEDSI BIORCZOåCI;76372234.00;64916398.90;Nie;brak;Nie
PLAN DZIA£A— POMOCY TECHNICZNEJ MJWPU na lata 2015 ñ 2018 w zakresie wsparcia procesÛw wdraøania RPO WM ;MAZOWIECKA JEDNOSTKA WDRAØANIA PROGRAM”W UNIJNYCH;78311618.00;62649293.60;Nie;brak;Nie
Staøe zagraniczne dla uczniÛw i absolwentÛw szkÛ≥ zawodowych oraz szkolenia kadry kszta≥cenia zawodowego;FUNDACJA ROZWOJU SYSTEMU EDUKACJI;65000001.00;56381108.00;Nie;wspÛ≥praca miÍdzynarodowa;Nie
Czas zawodowcÛw BIS - zawodowa Wielkopolska;WOJEW”DZTWO WIELKOPOLSKIE;63500000.00;53975000.00;Nie;brak;Nie
RÛwni na rynku pracy - YEI;KOMENDA G£”WNA OCHOTNICZYCH HUFC”W PRACY;55138345.50;48837004.24;Nie;praca i integracja spo≥eczna;Nie
Wsparcie potencja≥u kadrowego WRPO 2014-2020 w latach 2015-2023 - WUP w Poznaniu;SAMORZ•D WOJEW”DZTWA WIELKOPOLSKIEGO;45187593.00;38409453.00;Nie;brak;Nie
Zagraniczna mobilnoúÊ studentÛw niepe≥nosprawnych oraz znajdujπcych siÍ w trudnej sytuacji materialnej;FUNDACJA ROZWOJU SYSTEMU EDUKACJI;53595968.80;37709150.87;Nie;wspÛ≥praca miÍdzynarodowa;Nie
Dzia≥anie XII.1 - Potencja≥ Instytucji;WOJEW”DZTWO £”DZKIE;44334182.00;37684054.70;Nie;brak;Nie
Wspieranie realizacji I etapu wdraøania Zintegrowanego Systemu Kwalifikacji na poziomie administracji centralnej oraz instytucji nadajπcych kwalifikacje i zapewniajπcych jakoúÊ nadawania kwalifikacji;INSTYTUT BADA— EDUKACYJNYCH;42021882.08;35416042.22;Nie;brak;Nie
PLAN DZIA£A— POMOCY TECHNICZNEJ UMWM na lata 2015-2018 w zakresie wsparcia procesÛw zarzπdzania i wdraøania RPO WM;URZ•D MARSZA£KOWSKI WOJEW”DZTWA MAZOWIECKIEGO W WARSZAWIE;42236100.00;33788880.00;Nie;brak;Nie
MobilnoúÊ kadry edukacji szkolnej.;FUNDACJA ROZWOJU SYSTEMU EDUKACJI;31242634.50;31242634.50;Nie;wspÛ≥praca miÍdzynarodowa;Nie
Mapy potrzeb zdrowotnych - Baza Analiz Systemowych i Wdroøeniowych;MINISTERSTWO ZDROWIA;34993340.00;29492386.95;Nie;ochrona zdrowia;Nie
Centrum Symulacji Medycznych Uniwersytetu Medycznego w £odzi;UNIWERSYTET MEDYCZNY W £ODZI;33568532.83;28291559.46;Nie;nauka i edukacja;Nie
Sprawne zarzπdzanie i wdraøanie RPO WK-P na 2016 rok;WOJEW”DZTWO KUJAWSKO-POMORSKIE;33205295.00;28224500.75;Nie;brak;Nie
RÛwni na rynku pracy - EFS;KOMENDA G£”WNA OCHOTNICZYCH HUFC”W PRACY;32215601.25;27844257.64;Nie;praca i integracja spo≥eczna;Nie
Obudü swÛj potencja≥ - YEI;KOMENDA G£”WNA OCHOTNICZYCH HUFC”W PRACY;26977999.42;26977999.42;Nie;praca i integracja spo≥eczna;Tak
Akcja aktywizacja - YEI;KOMENDA G£”WNA OCHOTNICZYCH HUFC”W PRACY;24295000.00;23327567.15;Nie;praca i integracja spo≥eczna;Tak
Wdroøenie Programu Rozwojowego w oparciu o Centrum Symulacji Medycznych Warszawskiego Uniwersyteu Medycznego;WARSZAWSKI UNIWERSYTET MEDYCZNY;27647747.60;23301521.67;Nie;nauka i edukacja;Nie
Zatrudnienie pracownikÛw UrzÍdu Marsza≥kowskiego WojewÛdztwa Podkarpackiego w Rzeszowie zaangaøowanych w realizacjÍ RPO WP w 2016 r.;WOJEW”DZTWO PODKARPACKIE;27062044.71;23002738.00;Nie;administracja;Nie
Centrum Symulacji Medycznej ålπskiego Uniwersytetu Medycznego w Katowicach-odpowiedziπ na potrzeby wspÛ≥czesnej edukacji medycznej;åL•SKI UNIWERSYTET MEDYCZYNY W KATOWICACH;27241300.17;22958967.78;Nie;nauka i edukacja;Nie
Wsparcie potencja≥u organizacyjnego i instytucjonalnego WRPO 2014-2020 w latach 2015-2023 - IZ ;SAMORZ•D WOJEW”DZTWA WIELKOPOLSKIEGO;26520858.00;22542729.30;Nie;brak;Nie
Informacja i promocja WRPO 2014-2020 w latach 2015-2023 - IZ ;SAMORZ•D WOJEW”DZTWA WIELKOPOLSKIEGO;24972786.00;21226868.10;Nie;brak;Nie
Zatrudnienie pracownikÛw zaangaøowanych w RPO WL w 2016 r.;WOJEW”DZTWO LUBELSKIE;23872910.00;20291973.50;Nie;brak;Nie
RPO Pomoc Techniczna ñ zatrudnienie i szkolenia w UMWD w 2016 roku;INSTYTUCJA ZARZ•DZAJ•CA REGIONALNYM PROGRAMEM OPERACYJNYM DLA WOJEW”DZTWA DOLNOåL•SKIEGO/URZ•D MARSZA£KOWSKI WOJEW”DZTWA DOLNOåL•SKIEGO/SEKRETARZ WOJEW”DZTWA - DEPARTAMENT PRAWNY I KADR/WYDZIA£ KADR, SZKOLENIA I SPRAW SOCJALNYCH;23785167.00;20217391.95;Nie;brak;Nie
Wsparcie zarzπdzania i wdraøania. Komunikacja i badania w 2016 roku;WOJEW”DZTWO LUBUSKIE - URZ•D MARSZA£KOWSKI WOJEW”DZTWA LUBUSKIEGO;22815295.00;19393000.75;Nie;brak;Nie
Roczny Plan Dzia≥aÒ Pomocy Technicznej Regionalnego Programu Operacyjnego WojewÛdztwa Podlaskiego na lata 2014-2020 Rok 2016;WOJEW”DZTWO PODLASKIE URZ•D MARSZA£KOWSKI WOJEW”DZTWA PODLASKIEGO;21903754.00;18618190.00;Nie;administracja;Nie
Programy motywacyjne dla uczniÛw pomorskich szkÛ≥ zawodowych;SAMORZ•D WOJEW”DZTWA POMORSKIEGO;21538410.00;18307648.50;Nie;nauka i edukacja;Nie
