Cod SMIS,Titlu,Beneficiar, Region , County ,Locality,FEDR,member state amount,own contribution,Ineligible Expenses ,total amount,Priority Axis,Intervention Category
6987,Reabilitarea si extinderea Caminului de persoane varstnice Alba Iulia - serviciul social rezidential de interes regional,Municipiul Alba Iulia,Centru,Alba,Alba Iulia,1752091,384871,43611,1447728,3628302,Axa Prioritara 1 Sprijinirea dezvoltarii durabile a oraselor - poli urbani de crestere,Domeniul Major de Interventie 1.1 Planuri integrate de dezvoltare urbana - Centre urbane
6905,Reparatii capitale. Strazi cu dotare tehnico-edilitara in Municipiul Alba Iulia,Municipiul Alba Iulia,Centru,Alba,Alba Iulia,23322784,5123175,580530,5529803,34556292,Axa Prioritara 1 Sprijinirea dezvoltarii durabile a oraselor - poli urbani de crestere,Domeniul Major de Interventie 1.1 Planuri integrate de dezvoltare urbana - Centre urbane
11176,"Crearea de spatii publice urbane in municipiul Piatra Neamt, prin construirea unui pod si a unei arii de parcari in zona intersectiei Piata Stefan cel Mare, str. Orhei, Bdul Dacia si amenajarea complexa a Paraului Cuejdiu",Municipiul  Piatra Neamt,Nord Est,Neamt,Piatra Neamt,28477919,6255573,708847,8329822,43772161,Axa Prioritara 1 Sprijinirea dezvoltarii durabile a oraselor - poli urbani de crestere,Domeniul Major de Interventie 1.1 Planuri integrate de dezvoltare urbana - Centre urbane
11177,"Restaurarea si punerea in valoare a zonei istorice si culturale - Curtea Domneasca, din Municipiul Piatra Neamt - prin amenajari urbanistice, amenajari ale circulatiilor pietonale si carosabile - pasaj auto subteran, parcaje subterane.",Municipiul  Piatra Neamt,Nord Est,Neamt,Piatra Neamt,21101031,4635136,525228,6683098,32944494,Axa Prioritara 1 Sprijinirea dezvoltarii durabile a oraselor - poli urbani de crestere,Domeniul Major de Interventie 1.1 Planuri integrate de dezvoltare urbana - Centre urbane
11178,"Reabilitarea si modernizarea spatiilor din Strada Stefan cel Mare nr. 23 Piatra Neamt, pentru furnizarea unor servicii sociale.",Parteneriat intre Municipiul  Piatra Neamt si Consiliul Judetean Neamt,Nord Est,Neamt,Piatra Neamt,2182838,479491,54333,637920,3354581,Axa Prioritara 1 Sprijinirea dezvoltarii durabile a oraselor - poli urbani de crestere,Domeniul Major de Interventie 1.1 Planuri integrate de dezvoltare urbana - Centre urbane
6922,Modernizare DN 74 de la km 99+870 pana la km 103+175 - Str. Zlatnei si Str. Calea Motilor Municipiul Alba Iulia,Municipiul Alba Iulia,Centru,Alba,Alba Iulia,14410273,3165418,358688,4740217,22674595,Axa Prioritara 1 Sprijinirea dezvoltarii durabile a oraselor - poli urbani de crestere,Domeniul Major de Interventie 1.1 Planuri integrate de dezvoltare urbana - Centre urbane
7433,Modernizare si reabilitare accese pietonale si carosabile precum si iluminat arhitectural in Municipiul Botosani,Municipiul Botosani,Nord Est,Botosani,Botosani,19858526,4362203,494301,7280895,31995924,Axa Prioritara 1 Sprijinirea dezvoltarii durabile a oraselor - poli urbani de crestere,Domeniul Major de Interventie 1.1 Planuri integrate de dezvoltare urbana - Centre urbane
7432,Reabilitarea si modernizarea strazilor inelului principal de circulatie din ,Municipiul Botosani,Nord Est,Botosani,Botosani,20903769,4591805,520318,6155505,32171396,Axa Prioritara 1 Sprijinirea dezvoltarii durabile a oraselor - poli urbani de crestere,Domeniul Major de Interventie 1.1 Planuri integrate de dezvoltare urbana - Centre urbane
7434,Reabilitarea modernizarea parcurilor,Municipiul Botosani,Nord Est,Botosani,Botosani,4761974,1046034,118531,1404155,7330694,Axa Prioritara 1 Sprijinirea dezvoltarii durabile a oraselor - poli urbani de crestere,Domeniul Major de Interventie 1.1 Planuri integrate de dezvoltare urbana - Centre urbane
7436,Reutilare cladire in scopul transformarii in centru social,Municipiul Botosani,Nord Est,Botosani,Botosani,2185980,480181,54411,1207538,3928111,Axa Prioritara 1 Sprijinirea dezvoltarii durabile a oraselor - poli urbani de crestere,Domeniul Major de Interventie 1.1 Planuri integrate de dezvoltare urbana - Centre urbane
7437,Cresterea sigurantei si prevenirea criminalitatii in zona,Municipiul Botosani,Nord Est,Botosani,Botosani,1248820,274321,31085,1097437,2651662,Axa Prioritara 1 Sprijinirea dezvoltarii durabile a oraselor - poli urbani de crestere,Domeniul Major de Interventie 1.1 Planuri integrate de dezvoltare urbana - Centre urbane
7890,Sistem pentru Managementul Iluminatului Public in Municipiul Alexandria,UAT Mun. Alexandria,Sud ,Teleorman,Alexandria,15660293,3440002,389802,4635866,24125963,Axa Prioritara 1 Sprijinirea dezvoltarii durabile a oraselor - poli urbani de crestere,Domeniul Major de Interventie 1.1 Planuri integrate de dezvoltare urbana - Centre urbane
7922,Sistem pentru Managementul Traficului Rutier in Municipiul Alexandria,UAT Mun. Alexandria,Sud ,Teleorman,Alexandria,6168376,1354970,153538,1822440,9499325,Axa Prioritara 1 Sprijinirea dezvoltarii durabile a oraselor - poli urbani de crestere,Domeniul Major de Interventie 1.1 Planuri integrate de dezvoltare urbana - Centre urbane
7923,Sistem de supraveghere in vederea cresterii sigurantei si prevenirii criminalitatii in municipiul Alexandria,UAT Mun. Alexandria,Sud ,Teleorman,Alexandria,2242644,492628,55822,730211,3521305,Axa Prioritara 1 Sprijinirea dezvoltarii durabile a oraselor - poli urbani de crestere,Domeniul Major de Interventie 1.1 Planuri integrate de dezvoltare urbana - Centre urbane
10696,Revitalizarea utilitatii cladirilor degradate prin infiintarea unui centru de recreere pentru pensionari si a unui centru de zi pentru persoanele cu dizabilitati in municipiul Curtea de Arges,Consiliul Local Curtea de Arges,Sud ,Arges,Curtea de Arges,3669265,806005,91332,1276971,5843573,Axa Prioritara 1 Sprijinirea dezvoltarii durabile a oraselor - poli urbani de crestere,Domeniul Major de Interventie 1.1 Planuri integrate de dezvoltare urbana - Centre urbane
10697,"Cresterea sigurantei si securitatii cetatenilor din municipiul Curtea de Arges, prin implementarea unui sistem de supraveghere video",Consiliul Local Curtea de Arges,Sud ,Arges,Curtea de Arges,1283630,281967,31951,561494,2159042,Axa Prioritara 1 Sprijinirea dezvoltarii durabile a oraselor - poli urbani de crestere,Domeniul Major de Interventie 1.1 Planuri integrate de dezvoltare urbana - Centre urbane
10695,Cresterea calitatii infrastructurii rutiere in municipiul Curtea de Arges,Consiliul Local Curtea de Arges,Sud ,Arges,Curtea de Arges,30496993,6699091,759104,9694368,47649555,Axa Prioritara 1 Sprijinirea dezvoltarii durabile a oraselor - poli urbani de crestere,Domeniul Major de Interventie 1.1 Planuri integrate de dezvoltare urbana - Centre urbane
7889,"Dotare cu echipamente pentru cresterea sigurantei si prevenirea criminalitatii in zona de actiune urbana din municipiul Targoviste, judetul Dambovita",Municipiul Targoviste,Sud ,Dambovita,Targoviste,2093258,459553,52364,787328,3392504,Axa Prioritara 1 Sprijinirea dezvoltarii durabile a oraselor - poli urbani de crestere,Domeniul Major de Interventie 1.1 Planuri integrate de dezvoltare urbana - Centre urbane
7887,"Reabilitare si modernizare infrastructura utilitati publice urbane, reabilitarea si modernizarea spatiilor publice urbane in zona ""A"" a zonei de actiune urbana din municipiul Targoviste, judetul Dambovita",Municipiul Targoviste,Sud ,Dambovita,Targoviste,49225076,10800723,1237519,14541112,75804430,Axa Prioritara 1 Sprijinirea dezvoltarii durabile a oraselor - poli urbani de crestere,Domeniul Major de Interventie 1.1 Planuri integrate de dezvoltare urbana - Centre urbane
7888,"Reabilitare si modernizare infrastructura utilitati publice urbane, reabilitarea si modernizarea spatiilor publice urbane in zona ""B"" a zonei de actiune urbana din municipiul Targoviste, judetul Dambovita",Municipiul Targoviste,Sud ,Dambovita,Targoviste,45386579,9958499,1141019,16494793,72980889,Axa Prioritara 1 Sprijinirea dezvoltarii durabile a oraselor - poli urbani de crestere,Domeniul Major de Interventie 1.1 Planuri integrate de dezvoltare urbana - Centre urbane
6888,"Lucrari de interventie la obiectivul DN1 Sebes -Alba Iulia, km 378+0.20, Pasaj superior peste CF Alba Iulia",Municipiul Alba Iulia,Centru,Alba,Alba Iulia,10674798,2344869,265707,4448442,17733817,Axa Prioritara 1 Sprijinirea dezvoltarii durabile a oraselor - poli urbani de crestere,Domeniul Major de Interventie 1.1 Planuri integrate de dezvoltare urbana - Centre urbane
6924,Modernizare DN 1-E81 de la km 382+400 pana la KM 385+160 - Str. Alexandru Ioan Cuza inclusiv Podul peste Raul Ampoi si Pasajul peste CF Alba Iulia ,Municipiul Alba Iulia,Centru,Alba,Alba Iulia,19399627,4261399,482878,6231918,30375822,Axa Prioritara 1 Sprijinirea dezvoltarii durabile a oraselor - poli urbani de crestere,Domeniul Major de Interventie 1.1 Planuri integrate de dezvoltare urbana - Centre urbane
6927,"Reabilitarea Centrului Istoric Alba Iulia, Fortificatia de tip Vauban - Cai de Acces, Iluminat Exterior si Mobilier Urban. Zona Interioara",Municipiul Alba Iulia,Centru,Alba,Alba Iulia,47982082,10539935,1194327,16371492,76087836,Axa Prioritara 1 Sprijinirea dezvoltarii durabile a oraselor - poli urbani de crestere,Domeniul Major de Interventie 1.1 Planuri integrate de dezvoltare urbana - Centre urbane
7533,Modernizare strazi in Municipiul Targu Jiu Etapa II/2 (in cadrul unui proiect integrat),UAT Targu Jiu,Sud Vest,Gorj,Targu Jiu,20794108,4567716,517588,6099860,31979273,Axa Prioritara 1 Sprijinirea dezvoltarii durabile a oraselor - poli urbani de crestere,Domeniul Major de Interventie 1.1 Planuri integrate de dezvoltare urbana - Centre urbane
7534,"Creare si modernizare spatii publice urbane zona adiacenta Stazii Bicaz, Municipiul Targu Jiu",UAT Targu Jiu,Sud Vest,Gorj,Targu Jiu,3829286,841156,95315,4014251,8780008,Axa Prioritara 1 Sprijinirea dezvoltarii durabile a oraselor - poli urbani de crestere,Domeniul Major de Interventie 1.1 Planuri integrate de dezvoltare urbana - Centre urbane
7538,Sistem de supraveghere pentru cresterea  sigurantei (in scoli),UAT Targu Jiu,Sud Vest,Gorj,Targu Jiu,299388,65765,7452,89425,462030,Axa Prioritara 1 Sprijinirea dezvoltarii durabile a oraselor - poli urbani de crestere,Domeniul Major de Interventie 1.1 Planuri integrate de dezvoltare urbana - Centre urbane
12183,"Regenerarea Municipiului Husi, prin modernizarea spatiilor publice urbane",UAT Municipiul  Husi ,Nord Est,Vaslui,Husi,34570832,7593966,860506,10413123,53438427,Axa Prioritara 1 Sprijinirea dezvoltarii durabile a oraselor - poli urbani de crestere,Domeniul Major de Interventie 1.1 Planuri integrate de dezvoltare urbana - Centre urbane
12184,Creare parc nou in Municipiul Husi,UAT Municipiul  Husi ,Nord Est,Vaslui,Husi,1910116,419584,47545,927158,3304402,Axa Prioritara 1 Sprijinirea dezvoltarii durabile a oraselor - poli urbani de crestere,Domeniul Major de Interventie 1.1 Planuri integrate de dezvoltare urbana - Centre urbane
12185,Crearea unui centru consultativ pentru cetatenii Municipiului Husi,UAT Municipiul  Husi ,Nord Est,Vaslui,Husi,1721306,378109,42845,575925,2718185,Axa Prioritara 1 Sprijinirea dezvoltarii durabile a oraselor - poli urbani de crestere,Domeniul Major de Interventie 1.1 Planuri integrate de dezvoltare urbana - Centre urbane
12186,Cresterea nivelului de securitate sociala in Municipiul Husi prin implementarea unui sistem de supraveghere video,UAT Municipiul  Husi ,Nord Est,Vaslui,Husi,1108822,243568,27600,564169,1944159,Axa Prioritara 1 Sprijinirea dezvoltarii durabile a oraselor - poli urbani de crestere,Domeniul Major de Interventie 1.1 Planuri integrate de dezvoltare urbana - Centre urbane
7022,Reabilitare infrastructura de strazi in Municipiul Vaslui,UAT Municipiul  Vaslui,Nord Est,Vaslui,Vaslui,35792894,7862409,890925,11005601,55551829,Axa Prioritara 1 Sprijinirea dezvoltarii durabile a oraselor - poli urbani de crestere,Domeniul Major de Interventie 1.1 Planuri integrate de dezvoltare urbana - Centre urbane
