Recipient of funds,Name of Project,Type of fund,Summary of project (max 100 words),Start date,End date,ERDF/ESF investment £m,Total project costs £m,Percent of project funded by EU,Location (postcode),Local Enterprise Partnership area,Country,Type and focus of support (*Category of intervention)*
University of Central Lancashire,Uclan Innovation Clinic,ERDF,"Project will support new & existing SMEs to grow through development of new to firm/new to market products, delivered via a programme of support workshops, idea feasibility studies and bespoke development activities specific to the needs of individual businesses.  Working across disciplines it will deliver a tiered programme to cater for different levels of business maturity and the level of readiness of their new product or service idea. Through the combination of workshops, feasibility assessments, consultancy support, product testing/evaluation, research and skills expertise - gap bridging, this model will allow organisations to be supported appropriately and effectively meeting their needs profile.",01. Nov 15,31. Dez 18,1434364,2390607,60%, PR1 2HE , Lancashire , England ,
Sensor City Liverpool Limited,Sensor City,ERDF,"Sensor City will create a new 2,494 sq. m (m2) Innovation Centre for sensor technologies, focused on creating, nurturing, and fostering SMEs, and collaboration with larger companies - providing a facility of local, national, and international significance. Over 10 years, it aims to support a cluster of 300 new businesses, creating some 2,200 gross direct and indirect jobs, and generating £370m cumulative additional GVA. It will adopt leading standards in business development and growth based on scientific collaboration and knowledge transfer, related to Fraunhofer principles and the Customer Development and Lean Start-up practices pioneered by leading US entrepreneur, Steve Blank.",01. Aug 15,31. Dez 21,5000000,11555523,48%,L3 1AA,Liverpool City Region,England,
Lancashire County Council,BOOST Business Lancashire,ERDF,"This Project is to continue and enhance Boost, Lancashire's Business Growth Hub, which has been operating since early 2013. We wish to build on the good practice and successful approaches that we have developed, and respond to the feedback from Lancashire businesses on the kind of support and guidance that they have valued most. The overall aim of the project is to accelerate the growth of Small to Medium sized enterprises (SMEs) in Lancashire, to stimulate new investment and job creation by systematically identifying and removing the barriers to their growth, by encouraging innovation and in promoting enterprise. ",01. Jan 16,31. Dez 19,3706660,7356660,"50,38%",PR1 8XJ,Lancashire,England,
Northumberland Business Service Limited,North East Business Support Fund 3 (NEBSF3),ERDF,"The overarching objective of the project is to increase economic growth within the North East LEP area.  The beneficiaries of this project are eligible SMEs based within the North East LEP area who can demonstrate growth potential and increased impact, within both More Developed and Transition areas. The project will deliver business advice through the provision of a business advisor who will work with the SME to establish a Business Development Action Plan. The business advisor will assist the SME in sourcing external expertise which will allow them to address the Action Plan and achieve their growth potential.",Aug 15,Dez 17,3882147,7627175,"50,90%",NE63 8AP,North East,England,
Durham County Council ,North Durham Community Led Local Development,ERDF,"The overarching objective of the project is to increase economic growth within the North East LEP area.  The beneficiaries of this project are eligible SMEs based within the North East LEP area who can demonstrate growth potential and increased impact, within both More Developed and Transition areas. The project will deliver business advice through the provision of a business advisor who will work with the SME to establish a Business Development Action Plan. The business advisor will assist the SME in sourcing external expertise which will allow them to address the Action Plan and achieve their growth potential.",Feb 16,31. Aug 16,8050,11500,70%,DH1 5UQ,North East,England,
Durham County Council,South Durham Community Led Local Development,ERDF,"The overarching objective of the project is to increase economic growth within the North East LEP area.  The beneficiaries of this project are eligible SMEs based within the North East LEP area who can demonstrate growth potential and increased impact, within both More Developed and Transition areas. The project will deliver business advice through the provision of a business advisor who will work with the SME to establish a Business Development Action Plan. The business advisor will assist the SME in sourcing external expertise which will allow them to address the Action Plan and achieve their growth potential.",Feb 16,31. Aug 16,8050,11500,70%,DH1 5UQ,North East,England,
North Tyneside Council,North Tyneside and South Tyneside Community Led Local Development,ERDF,"The overarching objective of the project is to increase economic growth within the North East LEP area.  The beneficiaries of this project are eligible SMEs based within the North East LEP area who can demonstrate growth potential and increased impact, within both More Developed and Transition areas. The project will deliver business advice through the provision of a business advisor who will work with the SME to establish a Business Development Action Plan. The business advisor will assist the SME in sourcing external expertise which will allow them to address the Action Plan and achieve their growth potential.",Mrz 16,31. Aug 16,8000,20000,40%,NE28 0BY,North East,England,
Northumberland County Council,Northumberland and North Tyneside Community Led Local Development,ERDF,"CLLD is intended to concentrate investment within targeted areas (predominantly the 20% most deprived Lower Super Output Areas) specifically to address those multiple challenges experienced by communities characterised by high levels of deprivation, poor quality infrastructure and barriers to employment. ESI Fund investment will support the development and delivery of an integrated multi fund strategy, addressing local priorities identified by the target communities through a bottom up approach. This project covers areas within 23 wards in South East Northumberland plus the wards of Valley and Camperdown in North Tyneside. ",Mrz 16,31. Aug 16,6000,10000,60%,NE6 2EF,North East,England,
Newcastle City Council,North of the Tyne Community Led Local Development Preparatory Phase,ERDF,"CLLD is intended to concentrate investment within targeted areas (predominantly the 20% most deprived Lower Super Output Areas) specifically to address those multiple challenges experienced by communities characterised by high levels of deprivation, poor quality infrastructure and barriers to employment. ESI Fund investment will support the development and delivery of an integrated multi fund strategy, addressing local priorities identified by the target communities through a bottom up approach. This project covers an area in the North of the Tyne in Newcastle and adjacent part of North Tyneside (Wallsend).",Mrz 16,31. Aug 16,12000,20000,60%,NE1 8QN,North East,England,
Sunderland City Council,Sunderland Economic Corridor - Community Led Local Development Preparatory Phase,ERDF,"CLLD is intended to concentrate investment within targeted areas (predominantly the 20% most deprived Lower Super Output Areas) specifically to address those multiple challenges experienced by communities characterised by high levels of deprivation, poor quality infrastructure and barriers to employment. ESI Fund investment will support the development and delivery of an integrated multi fund strategy, addressing local priorities identified by the target communities through a bottom up approach. This project covers an area from Washington in the North to St Chads in the South and Hendon to the East.  ",Feb 16,31. Aug 16,20000,33500,60%,SR2 7DN,North East,England,
NBV Enterprise Solutions Limited,Growing Enterprise,ERDF,"Growing Enterprise (GE) will deliver a programme of business creation and growth and a co-financed investment fund to increase the number, the sustainability and job creation abilities of new start and SME businesses across the D2N2 and GLLEP areas. Support will include ideas generation, business skills development, one-to-one mentoring and coaching support for start-up and growing businesses in the early years of trading. It will promote enterprise and tackle barriers to starting and growing a business, including co-financed business investment. ",01. Feb 16,31. Jan 19,2511000,5023000,50%,NG6 0JU,D2N2,England,
Walsall Metropolitan Borough Council,Black Country Technical Assistance project,ERDF,"The project will build upon the success of the established Black Country Technical Assistance Team, playing a critical role in ensuring that new, quality ERDF projects and applications are designed in accordance with ESIF and national funding requirements. The project will facilitate wide ranging access to the Programme, through stakeholder engagement and capacity building. Local responses to the ESIF Implementation Plan will be co-ordinated and a strong project pipeline developed, integrating sustainable development and equality principles to meet EU and sub-regional targets. In addition wide-reaching communication will take place, resulting in improved visibility of ESIF funding in the sub-region.",01. Jan 16,31. Dez 18,274000,548000,50%,WS1 1TP,Black Country,England,
Stoke-on-Trent City Council,Staffordshire Technical Assistance,ERDF,"This project will address the objectives of the Open Call for Technical Assistance through increasing the capacity of organisations across Staffordshire to engage successfully with the 2014-2020 ERDF programme  this will be achieved through the interrelated roles of the Delivery Partners including Local Authorities and the Higher Education sector.  It will ensure a robust programme and financial management, forecasting and reporting throughout the programme to enable the achievement of the N+3 targets throughout the programme period and an error and irregularity rate of less than 2% by focusing on adherence to ERDF regulations to ensure compliance.",01. Jan 16,31. Dez 18,522553,870922,60%,ST4 1HH,Stoke-on-Trent and Staffordshire,England,
Shropshire Concil,The Marches Technical Assistance Project,ERDF,"The Marches TA project will provide dedicated ERDF support at a local level, additional to support available from the Managing Authority, to raise awareness of the ERDF programme/opportunities and assist applicants develop successful ERDF projects which meet the Marches ESIF Priorities and ERDF Operational Programme requirements, minimising risk, irregularities and potential claw back. The Marches TA team will support 56 applicants to submit applications, deliver 10 ERDF training events (80 attendees) and 24 dissemination events (540 attendees).",01. Jan 16,31. Dez 18,312000,540000,"57,88%",SY2 6ND,The Marches,England,
Cornwall Development Company,CIoS Growth Hub,ERDF,"The C&IoS Growth Hub will offer a single access point to the whole range of business support provision supporting local businesses to innovate, invest and grow - both nationally and internationally.  Private sector providers will be encouraged to get involved, aiming to develop a long-term financially sustainable model.   The Hub will deliver its activity through a web portal, social media and experienced Business Connectors and Navigators, working closely with other business support providers.",01. Okt 15,30. Sep 18,2640000,3300000,80%,TR15 3QG,Cornwall and the Isles of Scilly,England,
Cornwall Development Company,Cornwall Voucher Scheme (Business Investment for Growth - BIG II),ERDF,"BIG2 will co-invest in growth projects brought forward by innovative, ambitious and well-managed businesses leading to new job creation. The project will support the transformation of the Cornish economy through investments in long term and sustainable business growth. Investments supported will lead to product, process or service improvements with 75%/80% of the investments likely to be capex in nature. Productivity improvements will be the lead driver of our investment decisions. The project will support 200 businesses.",01. Okt 15,31. Dez 18,4400000,8800000,50%,TR15 3QG,Cornwall and the Isles of Scilly,England,
Cornwall Development Company,Atlantic and Moor Local Action Group (AMLAG) - CLLD Preparatory Support ERDF,ERDF,"The project provides preparatory funding to enable the Atlantic and Moor Local Action Group to develop a Community Led Local Development Strategy for the most deprived communities in the area.  This preparatory funding will support the engagement and training of local stakeholders; support the costs of targeted consultation activity; studies and evidence gathering and related administrative costs.  At the end of this phase a fully evidenced based Local Development Strategy for Community Led Local Development will have been developed, a Community Led Local Development Local Action Group established and the Accountable Body for the Community Led Local Development delivery phase identified.",01. Feb 16,31. Aug 16,18000,20000,90%,TR15 3QG,Cornwall and the Isles of Scilly,England,
Cornwall Development Company,Coast to Coast Local Action Group (C2CLAG) - CLLD Preparatory Support ERDF,ERDF,"The project provides preparatory funding to enable the Coast to Coast Local Action Group to develop a Community Led Local Development Strategy for the most deprived communities in the area.  This preparatory funding will support the engagement and training of local stakeholders; support the costs of targeted consultation activity; studies and evidence gathering and related administrative costs.  At the end of this phase a fully evidenced based Local Development Strategy for Community Led Local Development will have been developed, a Community Led Local Development Local Action Group established and the Accountable Body for the Community Led Local Development delivery phase identified.",01. Feb 16,31. Aug 16,18000,20000,90%,TR15 3QG,Cornwall and the Isles of Scilly,England,
