Beneificary Name                                               ,Operation Name/Summary  ,Operation start date ,Operation end date ,Total eligible expenditure allocated to the operation,"Union co-financing rate, as per priority axis                   ",Operation postcode  ,Country              ,priority number,priority label 
Schrader Electronics Limited,Develop a Heavy Truck Tyre Monitoring System,18.03.13,18.09.16,"2.888.913,33","1.733.348,00",BT41 1QS,Northern Ireland,57,"Investment in infrastructure, capacities and equipment in large companies directly linked to research and innovation activities"
Moy Park Limited,Process and Packaging Automation,04.02.13,04.02.17,"139.701,67","83.821,00",BT63 5QE,Northern Ireland,57,"Investment in infrastructure, capacities and equipment in large companies directly linked to research and innovation activities"
Schrader Electronics Limited,LF Programming Tools,08.04.13,09.03.16,"1.403.943,33","842.366,00",BT41 1QS,Northern Ireland,57,"Investment in infrastructure, capacities and equipment in large companies directly linked to research and innovation activities"
Wrightbus Limited,The Wrightbus Middle East Project,01.10.2013,30.06.2016,"541.225,00","324.735,00",BT42 1PY,Northern Ireland,57,"Investment in infrastructure, capacities and equipment in large companies directly linked to research and innovation activities"
Seagate Technology (Ireland),Heat Assisted Magnetic Recording (HAMR),01.01.15,30.06.20,"5.150.040,00","3.090.024,00",BT48 0BF,Northern Ireland,57,"Investment in infrastructure, capacities and equipment in large companies directly linked to research and innovation activities"
Terex GB Limited,I-140 & I-140RS,31.10.13,30.12.16,"188.860,00","113.316,00",BT71 4DR,Northern Ireland,57,"Investment in infrastructure, capacities and equipment in large companies directly linked to research and innovation activities"
Spatialest Limited,"The Design, Planning and Development of spatialest X",28.10.2013,28.04.2016,"117.056,67","70.234,00",BT52 1DE,Northern Ireland,56,"Investment in infrastructure, capacities and equipment in SMEs directly linked to research and innovation activities."
Terex GB Limited,Premiertrak 400X,27.11.13,30.06.17,"211.226,67","126.736,00",BT71 4DR,Northern Ireland,57,"Investment in infrastructure, capacities and equipment in large companies directly linked to research and innovation activities"
Terex GB Limited,TTS-620,09.12.13,30.12.16,"163.905,00","98.343,00",BT71 4DR,Northern Ireland,57,"Investment in infrastructure, capacities and equipment in large companies directly linked to research and innovation activities"
Capper Trading Limited,Straw & Bedding Solutions ,01.05.14,30.10.17,"1.046.590,00","627.954,00",BT71 6HW,Northern Ireland,56,"Investment in infrastructure, capacities and equipment in SMEs directly linked to research and innovation activities."
Montupet UK Limited,Panther Cylinder Head Project,13.01.14,30.06.17,"412.500,00","247.500,00",BT17 9HN,Northern Ireland,57,"Investment in infrastructure, capacities and equipment in large companies directly linked to research and innovation activities"
Catagen,Ageing Mechanisms and Procedures for Automotive Catalysts and Durability & Reliability Profiles for Testing Components,13.02.14,28.02.19,"725.291,67","435.175,00",BT9 5DJ,Northern Ireland,56,"Investment in infrastructure, capacities and equipment in SMEs directly linked to research and innovation activities."
EMS Environmental Marketing Solutions Limited,Density Separator,20.02.14,30.03.16,"117.233,33","70.340,00",BT71 7EF,Northern Ireland,56,"Investment in infrastructure, capacities and equipment in SMEs directly linked to research and innovation activities."
Almac Sciences Limited, Development of Computational and Molecular Biology Platforms  ,01.09.14,30.03.18,"2.501.871,67","1.501.123,00",BT63 5QD,Northern Ireland,57,"Investment in infrastructure, capacities and equipment in large companies directly linked to research and innovation activities"
Arcatech Limited,Enhanced Access testing tool for New Generation Networks,12.03.14,01.12.16,"299.166,67","179.500,00",BT28 2SA,Northern Ireland,56,"Investment in infrastructure, capacities and equipment in SMEs directly linked to research and innovation activities."
