Ref No,Beneficiary Name,Operation Name,Operation Postcode,Country,Category of Intervention,Operation Summary,Operation start date,Operation end date,Total Eligible Expenditure Allocated to the Operation ,Union Co-financing rate
100176,DFPF Ltd t/a People 1st,LEMIS(plus),BT32 4AW,Northern Ireland,TO8 IP (ia)/ TO8 IP (ib),"Contribute to a reduction of the unemployment rate among the long term unemployed
and people with common employability barriers through the identification and alleviation
of barriers to employment. Case-loaded clients who remain engaged will be guaranteed
support for a one year period after which they may seek an extension.
Area: South East Northern Ireland.",01.04.2015,31.03.2018," £999.269,00 ",40%
100171,The Princes Trust,Explore Enterprise Programme,BT12 5GH,Northern Ireland,TO8 IP (ia)/ TO8 IP (ib),"The Explore Enterprise programme will support 1,184 unemployed and economically
inactive 18-30 year olds to move towards self-employment/employment, through
access to a flexible menu of employability/self-employment courses, training and oneto-
one business mentoring.",01.04.2015,31.03.2018," £1.313.829,00 ",40%
801,The Conservation Volunteers,Training for Employment,BT6 0BP,Northern Ireland,TO8 IP (ia)/ TO8 IP (ib),"TCV is running a programme of training and development focused on the long-term
unemployed at its offices and other locations across Northern Ireland, focusing mainly
on land-based qualifications and employment and helping 630 unemployed people to
gain qualifications and practical work experience.",01.04.2015,31.03.2018," £1.133.850,00 ",40%
100111,The Women's Centre Derry,PROSPER 2,BT48 6BB,Northern Ireland,TO8 IP (ia)/ TO8 IP (ib),"To enable unemployed people, inactive people and people far from the labour market
to gain jobs, skills, work experience and qualifications.
To address disadvantage and the challenges/barriers faced by women far from the
labour market.
To deliver support activities to build employability and capacity.",01.04.2015,31.03.2018," £798.095,00 ",40%
100100,Shankill Women's Centre,"Education, Training & Employability Project (ETEP)",BT13 1FD,Northern Ireland,TO8 IP (ia)/ TO8 IP (ib),"Empower individuals to meet their personal and educational development goals.
Increase numbers participating in employment and training.
Address barriers to participation.
Individuals will recognise their value and potential and will develop their personal and
professional skills.",01.04.2015,31.03.2018," £726.557,00 ",40%
100097,Ashton Community Trust,LEMIS,BT15 2BP,Northern Ireland,TO8 IP (ia)/ TO8 IP (ib),"To provide the long term unemployed, economically inactive and NEETs with a suite
of services which help them overcome their personal barriers to employment, develop
employment related skills, leading to securing employment.",01.04.2015,31.03.2018," £8.629.390,00 ",40%
100211,Fermanagh and Omagh District Council,ASPIRE,BT78 1EE,Northern Ireland,TO8 IP (ia)/ TO8 IP (ib),"The Fermanagh and Omagh District Council led ASPIRE Project, working in partnership
with the Western Health & Social Care Trust and Fermanagh Rural Community Initiative
will support 300 participants per year to avail of individually tailored and specialist
support to meet their employability and skills development needs.",01.04.2015,31.03.2018," £2.765.673,00 ",40%
100066,Reed in Partnership,Work Routes,BT35 6JB,Northern Ireland,TO8 IP (ia)/ TO8 IP (ib),"Engage 625 residents furthest from the labour market within the new Armagh, Banbridge,
Craigavon (ABC) Council area. (20% from super output areas)
Support 125 ABC residents into sustainable employment.
Move the hardest-to-engage ABC residents closer to employment by delivering soft outcomes.
180 participants to achieve a QCF L1 Unit or Award.",01.04.2015,31.03.2018," £786.309,00 ",40%
100139,Belfast Metropolitan College,Manufacturing Skills for Industry,BT12 7DU,Northern Ireland,TO8 IP (ia)/ TO8 IP (ib),"Manufacturing Skills for Industry is a sector employability programme that assists
long-term unemployed and economically inactive individuals into employment and/or
further education. The programme trains participants to recognised industry standards,
supporting them to gain technical, employability and essential skills along with an
industry relevant qualification.",01.04.2015,31.03.2018," £407.159,00 ",40%
100047,Women In Business NI,The Connect Programme,BT15 5GH,Northern Ireland,TO8 IP (ia)/ TO8 IP (ib),"The project will cater for women who may wish to consider employment or selfemployment,
with more intensive training, mentoring and peer support for those
interested in enterprise. We aim to inspire, encourage, motivate and support women
to move into further training, secure jobs and start up their own business.",01.04.2015,31.03.2018," £366.654,00 ",40%
100209,TRIAX,Skills 2020,BT48 9LH,Northern Ireland,TO8 IP (ia)/ TO8 IP (ib),"Skills 2020 is a new regional collaborative employability and training programme
targeting and recruiting participants most removed from the labour market. The project
provides a concentrated support service for unemployed and economically inactive
individuals at a community level with outreach centres in the Derry City and Strabane
District Council.",01.04.2015,31.03.2018," £2.549.412,00 ",40%
