Operation Name,Recipient organisation,ESF/ ERDF Grant requested,Total eligible expenditure,Programme,Description,Postcode,Union co-financing rate,Start date,End date,Theme,Country
Active and Low Carbon Travel Hubs – LUPS ,Transport Scotland,5417475.3,13543688.24,ERDF,"Challenge fund to develop 4 active / low carbon hubs, create additional paths and increase ULEV registrations to increase active travel, provide refuelling facilities for a range of alternative transport modes, and reduce greenhouse gas emissions.",G4 0HF,0.4,02/5/16 , 31/12/18,Strategic Intervention – Low Carbon Travel and Transport Programme,Scotland
Active and Low Carbon Travel Hubs – H & I,Transport Scotland,2257281.36,4514562.72,ERDF,"Challenge fund to develop 2 active / low carbon hubs, create additional paths and increase ULEV registrations to increase active travel, provide refuelling facilities for a range of alternative transport modes, and reduce greenhouse gas emissions.",G4 0HF,0.5,02/5/16 , 31/12/18,Strategic Intervention – Low Carbon Travel and Transport Programme,Scotland
SI Management Costs – LUPS,Transport Scotland,132524.7,331311.77,ERDF,Management Costs,G4 0HF,0.4,01/03/16 , 31/12/18,Strategic Intervention – Low Carbon Travel and Transport Programme,Scotland
SI Management Costs – H & I,Transport Scotland,55218.63,110437.27,ERDF,Management Costs,G4 0HF,0.5,01/03/16 , 31/12/18,Strategic Intervention – Low Carbon Travel and Transport Programme,Scotland
Challenge Fund Management Costs - LUPS ,Transport Scotland,450000,1125000,ERDF,Setting up and delivery of challenge fund,G4 0HF,0.4,02/05/16 , 31/12/18,Strategic Intervention – Low Carbon Travel and Transport Programme,Scotland
Challenge Fund Management Costs – H & I,Transport Scotland,187500,375000,ERDF,Setting up and delivery of challenge fund,G4 0HF,0.5,02/05/16 , 31/12/18,Strategic Intervention – Low Carbon Travel and Transport Programme,Scotland
LCITP – catalyst and development business support - SE,Scottish Enterprise,555333,2130000,ERDF,Increase low carbon infrastructure levered into Scottish businesses by private and institutional investors.,G2 6HQ,0.4,01/06/16 , 31/12/18,Strategic Intervention – Low Carbon Travel and Transport Programme,Scotland
National Smart Integrated Ticketing,Transport Scotland,5400000,13500000,ERDF,Creation of a National Smart Integrated Ticketing scheme for integrated travel in Scotland. ,G4 0HF,0.4,01/02/2016 , 31/12/2018,Strategic Intervention – Low Carbon Travel and Transport Programme,Scotland
SG Catalyst & Development Business Support - LUPS,Scottish Government,2334670,5836676,ERDF,"To increase low carbon investment levered into Scottish businesses by private and institutional investors. Structured support to projects at catalyst and development stages.  The 'catalyst' stage the programme will provide support to projects up to the development of an initial business case. The 'development' stage will support projects from business case up to investment grade case, and provides the support needed to develop the project to an investible proposition to leverage private investment.",G2 8LU,0.4,20/03/15 , 31/12/18,Strategic Intervention - Low Carbon Infrastructure Transition Programme ,Scotland
SG Catalyst & Development  Business Support- H&I,Scottish Government,1467000,2934000,ERDF,"To increase low carbon investment levered into Scottish businesses by private and institutional investors. Structured support to projects at catalyst and development stages.  The 'catalyst' stage the programme will provide support to projects up to the development of an initial business case. The 'development' stage will support projects from business case up to investment grade case, and provides the support needed to develop the project to an investible proposition to leverage private investment.",G2 8LU,0.5,20/03/15 , 31/12/18,Strategic Intervention - Low Carbon Infrastructure Transition Programme ,Scotland
