Lead Beneficiary,Operation Title,EU Funds Awarded,Total Project Cost,Fund,Region,approval date
Cardiff University,Cardiff University Brain Research Imaging Centre  II (CUBRIC II),£4.578.474,£16.156.949,ERDF,East Wales ,2016
Cardiff University,FLEXIS East,£5.621.112,£9.827.770,ERDF,East Wales ,2016
Cardiff University,Institute for Compound Semiconductor ,£13.150.000,£32.670.000,ERDF,East Wales ,2016
"WG - Department for Economy, Science and Transport",Ser Cymru II (East Wales),£8.000.000,£18.473.119,ERDF,East Wales ,2016
"WG - Department for Economy, Science and Transport",SMART Expertise (East Wales),£9.100.000,£17.500.000,ERDF,East Wales ,2016
"WG - Department for Economy, Science and Transport",SMARTCymru (East Wales),£12.259.800,£29.400.000,ERDF,East Wales ,2016
"WG - Department for Economy, Science and Transport",SMARTInnovation (East Wales),£3.779.021,£7.558.043,ERDF,East Wales ,2016
Finance Wales Plc,Wales Business Fund EW SO2.1 FI,£9.900.000,£22.330.000,ERDF,East Wales ,2016
Finance Wales Plc,Wales Business Fund EW SO2.5 FI,£5.500.000,£12.650.000,ERDF,East Wales ,2016
Wales Co operative Centre,Social Business Wales East Wales,£1.097.715,£2.206.054,ERDF,East Wales ,2016
Wales Council for Voluntary Action,Social Business Growth Fund EW,£500.000,£1.000.000,ERDF,East Wales ,2016
"WG - Department for Economy, Science and Transport",Entrepreneurship Support - Business Wales (East Wales),£6.199.870,£10.333.119,ERDF,East Wales ,2016
"WG - Department for Economy, Science and Transport",SME Support - Business Wales (East Wales),£6.673.944,£11.123.245,ERDF,East Wales ,2016
"WG - Department for Economy, Science and Transport",Superfast Broadband Business Exploitation East Wales,£1.705.032,£3.534.847,ERDF,East Wales ,2016
WAG The Economic Development Group within DEandT,Arbed 3 EW,£3.550.000,£7.100.000,ERDF,East Wales ,2016
"WG - Department for Economy, Science and Transport",Superfast Broadband Infill East Wales,£7.096.602,£14.193.202,ERDF,East Wales ,2016
"WG - Department for Economy, Science and Transport",Ultrafast Broadband East Wales,£2.202.697,£4.405.394,ERDF,East Wales ,2016
Bridgend County Borough Council,South East Regional Engagement Team ERDF EW,£40.024,£80.050,ERDF,East Wales ,2016
Ceredigion County Council,Mid Wales Regional Engagement Team ERDF EW,£29.402,£58.804,ERDF,East Wales ,2016
Conwy County Borough Council,North Wales Regional Engagement Team ERDF EW,£47.701,£95.402,ERDF,East Wales ,2016
